id,category,question,expected_decision,observed_decision,observed_intent,observed_answer,expected_answer_contains,expected_audit_reason,passed,failure_reason,route,source_opportunity_id
slc-0016,missing_stable_knowledge,What is the current price of Tesla stock?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,missing_stable_path,True,,entity_qa,slo-0021
slc-0017,current_claim_guard_case,How much is Tesla stock today?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,current_fact_without_as_of,True,,entity_qa,slo-0022
slc-0018,current_claim_guard_case,What is SpaceX worth right now?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,current_fact_without_as_of,True,,entity_qa,slo-0023
slc-0019,current_claim_guard_case,What is SpaceX's valuation right now?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,current_fact_without_as_of,True,,entity_qa,slo-0024
slc-0020,current_claim_guard_case,What is Musk doing today?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,current_fact_without_as_of,True,,entity_qa,slo-0025
slc-0021,current_claim_guard_case,What is Elon Musk doing today?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,current_fact_without_as_of,True,,entity_qa,slo-0026
slc-0022,missing_stable_knowledge,What is Elon Musk's phone number?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0027
slc-0023,missing_stable_knowledge,What is Elon Musk's home address?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0028
slc-0024,missing_stable_knowledge,What is Elon Musk's date of birth?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0029
slc-0025,current_claim_guard_case,Where does Elon Musk live right now?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,current_fact_without_as_of,True,,entity_qa,slo-0030
slc-0026,missing_stable_knowledge,What is Tesla's latest quarterly revenue?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,missing_stable_path,True,,entity_qa,slo-0031
slc-0027,missing_stable_knowledge,What is Forbes' latest ranking of Elon Musk?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,missing_stable_path,True,,entity_qa,slo-0032
slc-0028,current_claim_guard_case,What is Tesla's market cap right now?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,current_fact_without_as_of,True,,entity_qa,slo-0033
slc-0029,missing_stable_knowledge,Does Forbes lead Tesla?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0034
slc-0030,missing_stable_knowledge,Does Tesla lead Elon Musk?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0035
slc-0031,relation_inversion_guard_case,Is Tesla the founder of Elon Musk?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,inverted_relation,True,,entity_qa,slo-0036
slc-0032,relation_inversion_guard_case,Is SpaceX the founder of Elon Musk?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,inverted_relation,True,,entity_qa,slo-0037
slc-0033,relation_inversion_guard_case,Did SpaceX found Elon Musk?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,inverted_relation,True,,entity_qa,slo-0038
slc-0034,relation_inversion_guard_case,Did Tesla found Elon Musk?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,inverted_relation,True,,entity_qa,slo-0039
slc-0035,missing_stable_knowledge,Is Rocket a company?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0040
slc-0036,missing_stable_knowledge,Is leadership a company?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0041
slc-0037,missing_stable_knowledge,Is net worth a stable physical property?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0042
slc-0038,missing_stable_knowledge,Is leadership a product made by Tesla?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0043
slc-0039,missing_stable_knowledge,Is Bloomberg News the same as Bloomberg L.P.?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0044
slc-0040,missing_stable_knowledge,Is Forbes the same as Bloomberg News?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0045
slc-0041,weak_link_safety_case,Does a weak link prove the claim?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,weak_link_promoted_to_fact,True,,entity_qa,slo-0046
slc-0042,missing_stable_knowledge,How is Elon Musk connected to Starlink?,audit,audit,connection_path,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0047
slc-0043,missing_stable_knowledge,How is Tesla connected to Forbes?,audit,audit,connection_path,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0048
slc-0044,missing_stable_knowledge,How is Starlink connected to net worth?,audit,audit,connection_path,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0049
slc-0045,missing_stable_knowledge,How is Bloomberg News connected to SpaceX rockets?,audit,audit,connection_path,I cannot answer from the wiki overlay because one or both entities are not present in the overlay.,,missing_stable_path,True,,cross_page_qa,slo-0050
slc-0046,missing_stable_knowledge,How is Bloomberg News connected to Bloomberg LP?,audit,audit,connection_path,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0051
slc-0047,missing_stable_knowledge,How is Tesla connected to lithium-ion batteries?,audit,audit,connection_path,I cannot answer from the wiki overlay because one or both entities are not present in the overlay.,,missing_stable_path,True,,cross_page_qa,slo-0052
slc-0048,missing_stable_knowledge,How is Forbes connected to SpaceX?,audit,audit,connection_path,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0053
slc-0049,missing_stable_knowledge,How is Tesla connected to NASA?,audit,audit,connection_path,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0054
slc-0050,missing_stable_knowledge,How is Reuters connected to rockets?,audit,audit,connection_path,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0055
slc-0051,missing_stable_knowledge,What path connects Elon Musk to Starlink?,audit,audit,relation_chain,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0056
slc-0052,missing_stable_knowledge,What path connects SpaceX to reusable rockets?,audit,audit,relation_chain,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0057
slc-0053,missing_stable_knowledge,What path connects Tesla to Forbes?,audit,audit,relation_chain,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0058
slc-0054,missing_stable_knowledge,What path connects Starlink to net worth?,audit,audit,relation_chain,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,,missing_stable_path,True,,cross_page_qa,slo-0059
slc-0055,missing_stable_knowledge,Does Tesla prove Musk's net worth?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0060
slc-0056,unsupported_universal_guard_case,"If SpaceX makes rockets, are all rockets SpaceX products?",audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,unsupported_universal_claim,True,,entity_qa,slo-0061
slc-0057,missing_stable_knowledge,"If Tesla makes electric cars, is every electric car a Tesla?",audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0062
slc-0058,missing_stable_knowledge,"If Musk leads Tesla, does Tesla lead Musk?",audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,,missing_stable_path,True,,entity_qa,slo-0063
slc-0059,current_claim_guard_case,What is Tesla's current stock price through the overlay?,audit,audit,unsupported_or_too_far,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted fact in the overlay.,,current_fact_without_as_of,True,,cross_page_qa,slo-0064
slc-0060,missing_stable_knowledge,What is SpaceX's current valuation in the overlay?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,missing_stable_path,True,,entity_qa,slo-0065
slc-0061,missing_stable_knowledge,What is Tesla's latest quarterly revenue from the overlay?,audit,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,,missing_stable_path,True,,entity_qa,slo-0066
