source_page,answerable_facts,ingestion_candidates,is_high_yield,is_low_yield
the business council,3,7,True,False
the mercury news,3,7,True,False
abe fortas,3,6,True,False
andrew carnegie,3,6,True,True
canada,3,6,True,False
harvard university,3,6,True,False
islam in the united states,3,6,True,False
jean-baptiste say,3,6,True,True
johns hopkins university,3,6,True,True
mojave desert,3,6,True,True
phi beta kappa,3,6,True,False
tableau software,3,6,True,True
ted (conference),3,6,True,False
thomas taggart,3,6,True,False
whaling in western australia,3,6,True,False
william randolph,3,6,True,False
amazon bookstore cooperative,3,5,True,False
andrew morrison,3,5,True,False
cbs news,3,5,True,False
hyder ali,3,5,True,False
leonard peltier,3,5,True,False
lg chem,3,5,True,False
mandate for leadership,3,5,True,False
media research center,3,5,True,False
opportunity fund,3,5,True,False
oracle nosql database,3,5,True,False
royal navy,3,5,True,False
williams college,3,5,True,False
yuri gagarin,3,5,True,False
adam smith,3,4,True,True
airbus,3,4,True,True
congressional budget office,3,4,True,False
digital services act,3,4,True,False
everytown for gun safety,3,4,True,False
gun owners of america,3,4,True,False
party for socialism and liberation,3,4,True,False
william jennings bryan,3,4,True,False
cecil rhodes,3,3,True,True
john adams,3,3,True,False
thomas carlyle,3,3,True,True
american vegetarian party,3,2,True,False
nation of islam,3,2,True,False
thomas jefferson building,3,2,True,False
world values survey,3,2,True,False
"medford, massachusetts",3,1,True,False
test site,3,1,True,False
amazon prime pantry,3,0,True,False
anglican church,3,0,True,False
bell telephone laboratories,3,0,True,False
bentley motors limited,3,0,True,False
big board,3,0,True,False
bloomberg innovation index,3,0,True,False
byd t3,3,0,True,False
chrysler corporation,3,0,True,False
compaq computer,3,0,True,False
corporations act,3,0,True,False
cst-100 starliner,3,0,True,False
george w,3,0,True,False
hewlett packard,3,0,True,False
kistler aerospace,3,0,True,False
lawrence joseph ellison,3,0,True,False
los angeles auto,3,0,True,False
mazda roadster,3,0,True,False
merritt island,3,0,True,False
nasdaq omx group,3,0,True,False
orbital sciences pegasus,3,0,True,False
president kennedy,3,0,True,False
san jose international,3,0,True,False
thor bjorgolfsson,3,0,True,False
warner bros,3,0,True,False
washington post,3,0,True,False
applied materials,2,25,True,False
army ballistic missile agency,2,22,True,True
kimbal musk,2,21,True,True
nasa railroad,2,21,True,False
united states merchant marine academy,2,21,True,False
itp aero,2,20,True,False
sierra nevada corporation,2,20,True,True
air force research laboratory,2,19,True,False
project mercury,2,19,True,False
ual corporation,2,19,True,False
commercial spaceflight federation,2,18,True,True
joseph schumpeter,2,18,True,True
internet america,2,17,True,False
john overdeck,2,17,True,False
nasdaq nordic,2,17,True,False
rockwell collins,2,17,True,True
michael bloomberg,2,16,True,True
canadian space agency,2,15,True,False
los angeles air force base,2,15,True,False
musk foundation,2,15,True,False
new horizons,2,15,True,False
sixteenth air force,2,15,True,False
united online,2,15,True,False
virgin galactic,2,15,True,True
air combat command,2,14,True,False
apparel group,2,14,True,False
international astronautical federation,2,14,True,False
lockheed martin,2,14,True,True
saturn corporation,2,14,True,True
tesla robotaxi,2,14,True,False
tom wheeler,2,14,True,True
airspan networks,2,13,True,False
ares i-x,2,13,True,False
combined charging system,2,13,True,False
goddard space flight center,2,13,True,False
honeywell aerospace,2,13,True,True
james h. clark,2,13,True,False
john foster dulles,2,13,True,False
kristina m. johnson,2,13,True,False
mgm holdings,2,13,True,False
new glenn,2,13,True,False
patrick space force base,2,13,True,True
robert h. michel,2,13,True,False
ron paul,2,13,True,False
the american conservative,2,13,True,False
volkswagen golf,2,13,True,False
world lung foundation,2,13,True,False
bloomberg industry group,2,12,True,False
bse sensex,2,12,True,True
daniel j. boorstin,2,12,True,False
eric holder,2,12,True,False
general motors,2,12,True,False
history of amazon,2,12,True,False
neutron star interior composition explorer,2,12,True,False
redwood shores,2,12,True,False
vegas loop,2,12,True,False
american academy of achievement,2,11,True,False
andrej karpathy,2,11,True,False
barry goldwater,2,11,True,True
charles koch,2,11,True,True
citizen watch,2,11,True,False
council for national policy,2,11,True,False
helen sharman,2,11,True,False
james a. garfield monument,2,11,True,False
oliver daemen,2,11,True,False
orbiting carbon observatory,2,11,True,False
sam altman,2,11,True,False
tim berners-lee,2,11,True,False
b. c. forbes,2,10,True,False
dell technologies,2,10,True,False
edwardsville amazon warehouse collapse,2,10,True,False
financial industry regulatory authority,2,10,True,False
financial news network,2,10,True,False
financial stability board,2,10,True,False
international energy agency,2,10,True,False
jose mugrabi,2,10,True,False
mysql ab,2,10,True,False
volvo amazon,2,10,True,False
forbes travel guide,2,9,True,False
franklin news foundation,2,9,True,False
gigafactory new york,2,9,True,False
joseph ellison,2,9,True,False
mark carney,2,9,True,True
max hodak,2,9,True,True
national democratic redistricting committee,2,9,True,False
nevada republican party,2,9,True,False
peace and freedom party,2,9,True,False
point arguello,2,9,True,False
port canaveral,2,9,True,False
richard rush,2,9,True,False
robert bork,2,9,True,False
rocket science games,2,9,True,False
rss kármán line,2,9,True,False
thomas pink,2,9,True,False
united states air force basic military training,2,9,True,False
united technologies,2,9,True,True
bloomberg government,2,8,True,False
caterham cars,2,8,True,True
denver international airport,2,8,True,False
gigafactory texas,2,8,True,True
glen taylor,2,8,True,False
howard university college of medicine,2,8,True,False
james j. hill,2,8,True,False
john mcafee,2,8,True,False
march,2,8,True,False
mercedes-benz group,2,8,True,True
mississippi republican party,2,8,True,False
north carolina democratic party,2,8,True,False
pershing ii,2,8,True,False
pew research center,2,8,True,False
rancho cucamonga,2,8,True,False
republican party of new mexico,2,8,True,False
republican party of virginia,2,8,True,False
rolls-royce merlin,2,8,True,False
roots blower company,2,8,True,False
sam walton,2,8,True,False
sm-65 atlas,2,8,True,True
trevor blackwell,2,8,True,False
united press international,2,8,True,False
wojciech zaremba,2,8,True,False
women airforce service pilots,2,8,True,False
alfa romeo,2,7,True,False
andreas kaplan,2,7,True,True
arizona republican party,2,7,True,False
arthur c. clarke,2,7,True,False
bankers trust,2,7,True,False
barbara jordan,2,7,True,False
christian coalition of america,2,7,True,False
christopher payne,2,7,True,False
congressional hispanic caucus,2,7,True,False
deutsche bank,2,7,True,False
ferdinand pecora,2,7,True,False
fifth party system,2,7,True,False
financial accounting standards board,2,7,True,True
foundation for moral law,2,7,True,False
fred thompson,2,7,True,False
ginni thomas,2,7,True,False
international astronomical union,2,7,True,False
john coyle white,2,7,True,False
larry page,2,7,True,True
los angeles,2,7,True,True
mark krikorian (activist),2,7,True,False
new south wales,2,7,True,False
officer candidate school (united states army),2,7,True,False
paul g. kirk,2,7,True,False
paul sahre,2,7,True,False
princeton university,2,7,True,False
reagan democrat,2,7,True,False
richard cantillon,2,7,True,True
roman yampolskiy,2,7,True,False
united states marine corps rank insignia,2,7,True,False
walter j. ong,2,7,True,False
william r. king,2,7,True,False
arthur ransome,2,6,True,False
bard college,2,6,True,False
buttonwood agreement,2,6,True,False
great recession in oceania,2,6,True,False
maine republican party,2,6,True,False
nanobots (album),2,6,True,False
ohio state university,2,6,True,False
revolutionary communists of america,2,6,True,False
robert freitas,2,6,True,False
software development,2,6,True,True
south wales,2,6,True,False
united states marine corps reserve,2,6,True,False
university of oxford,2,6,True,False
warren buffett,2,6,True,True
york university,2,6,True,False
alejandro agag,2,5,True,False
amazon web services,2,5,True,True
amazonian guard,2,5,True,False
armadillo aerospace,2,5,True,False
brian sewell,2,5,True,False
campaign for tobacco-free kids,2,5,True,False
dow jones,2,5,True,False
indian maritime history,2,5,True,False
international docking system standard,2,5,True,False
john boehner,2,5,True,False
john d. rockefeller,2,5,True,True
john sirica,2,5,True,False
las vegas,2,5,True,True
marc jacobs,2,5,True,True
mark zuckerberg,2,5,True,True
martin van buren,2,5,True,False
microsoft azure,2,5,True,True
national federation of democratic women,2,5,True,False
new hampshire,2,5,True,False
nikola tesla,2,5,True,False
north carolina republican party,2,5,True,False
project for the new american century,2,5,True,False
richard branson,2,5,True,False
roger sherman,2,5,True,False
samuel p. huntington,2,5,True,False
uniforms of the united states air force,2,5,True,False
university of pennsylvania,2,5,True,False
walter chrysler,2,5,True,False
1952 republican national convention,2,4,True,False
amazon echo,2,4,True,False
amazon rekognition,2,4,True,False
april,2,4,True,False
carl menger,2,4,True,True
democratic attorneys general association,2,4,True,False
deutsche post,2,4,True,False
foothill transit,2,4,True,False
harvard business school,2,4,True,False
japan,2,4,True,False
john a. brooks,2,4,True,False
liberty university,2,4,True,False
naval air station,2,4,True,True
new jersey republican party,2,4,True,False
palgrave macmillan,2,4,True,False
regent university,2,4,True,False
roger b. taney,2,4,True,False
st. louis,2,4,True,False
standard oil,2,4,True,False
united states census,2,4,True,False
washington state republican party,2,4,True,False
west virginia republican party,2,4,True,False
amazon redshift,2,3,True,False
apple ii,2,3,True,False
arthur wing pinero,2,3,True,False
control unit,2,3,True,False
disability in the united states,2,3,True,False
duke university,2,3,True,False
engineering,2,3,True,False
equal rights party (united states),2,3,True,False
france,2,3,True,True
jack warner estate,2,3,True,False
james a. garfield,2,3,True,False
laurie hays,2,3,True,False
marty markowitz,2,3,True,False
o'neill house office building,2,3,True,False
o. douglas,2,3,True,True
post office protocol,2,3,True,False
public domain,2,3,True,False
racial segregation in the united states,2,3,True,False
republican party of puerto rico,2,3,True,False
royal mail,2,3,True,False
same-sex marriage,2,3,True,False
saudi arabia,2,3,True,False
timbavati private nature reserve,2,3,True,False
united states foreign intelligence surveillance court,2,3,True,False
world government,2,3,True,True
analytics,2,2,True,False
arkansas creoles,2,2,True,False
city racing,2,2,True,False
gary hume,2,2,True,False
germany,2,2,True,False
"kingston, ontario",2,2,True,False
personal choice party,2,2,True,False
rhode island republican party,2,2,True,False
roman emperor,2,2,True,False
russia,2,2,True,False
technological singularity,2,2,True,False
bruce forbes,2,1,True,False
merlin,2,1,True,False
upper east side,2,1,True,False
air resources board,2,0,True,False
amazon glacier,2,0,True,False
amazon locker,2,0,True,False
andersen consulting,2,0,True,False
ashanti empire,2,0,True,False
blue ring pathfinder,2,0,True,False
c-124 globemaster,2,0,True,False
civil aviation organization,2,0,True,False
cooke air force base,2,0,True,False
danish american,2,0,True,False
deep space network,2,0,True,False
dragon c2,2,0,True,False
eads astrium,2,0,True,False
electric cars,2,0,True,False
elmer sperry,2,0,True,False
fashion group,2,0,True,False
fort lauderdale,2,0,True,False
general public license,2,0,True,False
h. w. bush,2,0,True,False
horniman circle,2,0,True,False
informix software,2,0,True,False
iridium communications inc,2,0,True,False
jb straubel,2,0,True,False
jd edwards enterpriseone,2,0,True,False
jersey standard,2,0,True,False
joint long range proving ground,2,0,True,False
mail transfer protocol,2,0,True,False
manned spacecraft center,2,0,True,False
mark r. shaw,2,0,True,False
miami palmetto high,2,0,True,False
michael arougheti,2,0,True,False
nasarawa amazons,2,0,True,False
openai global,2,0,True,False
oracle e-business suite,2,0,True,False
orbital sciences,2,0,True,False
otc pink,2,0,True,False
peoplesoft enterpriseone,2,0,True,False
peter rive,2,0,True,False
peter vallone,2,0,True,False
president barack,2,0,True,False
president donald trump,2,0,True,False
public advocate,2,0,True,False
raytheon technologies,2,0,True,False
republican party (us),2,0,True,False
robert n. noyce,2,0,True,False
royal holloway,2,0,True,False
salomon smith barney,2,0,True,False
senate staff health and fitness facility,2,0,True,False
silver knight award,2,0,True,False
sony playstation,2,0,True,False
titan iii,2,0,True,False
tokyo broadcasting,2,0,True,False
u.s. bicentennial,2,0,True,False
u.s. congress,2,0,True,False
united states steel corporation,2,0,True,False
us armed forces,2,0,True,False
us navy,2,0,True,False
valor equity partners,2,0,True,False
walt disney company,2,0,True,False
web services,2,0,True,False
west covina,2,0,True,False
white knight two,2,0,True,False
world bank,2,0,True,False
world government summit,2,0,True,False
amazon prime video,1,21,False,False
ashlee vance,1,21,False,False
brian binnie,1,21,False,True
commercial resupply services,1,21,False,True
falcon heavy test flight,1,21,False,False
greg brockman,1,21,False,True
network solutions,1,21,False,False
safra catz,1,21,False,True
space.com,1,21,False,True
south carolina presidential primary,1,20,False,False
vector launch,1,20,False,True
barbara morgan,1,19,False,True
j.d. power,1,19,False,False
naval academy preparatory school,1,19,False,False
rss first step,1,19,False,False
spacex,1,19,False,False
stoke space,1,19,False,False
blue origin goddard,1,18,False,False
project gemini,1,18,False,False
revenge of the electric car,1,18,False,False
space age,1,18,False,False
stennis space center,1,18,False,False
tesla powerpack,1,18,False,False
1886 united states house of representatives elections,1,17,False,False
akamai technologies,1,17,False,False
artemis accords,1,17,False,False
asahi kasei,1,17,False,True
bob miner,1,17,False,True
delta iv,1,17,False,False
royal mail steam packet company,1,17,False,False
strategic air command,1,17,False,False
automated transfer vehicle,1,16,False,True
gordon cooper,1,16,False,True
military history of the united states during world war ii,1,16,False,False
spacex crew-2,1,16,False,False
sperry corporation,1,16,False,False
artemis ii,1,15,False,True
black thursday,1,15,False,False
buzz aldrin,1,15,False,True
community notes,1,15,False,False
history of the united states (1991–2016),1,15,False,False
jack dorsey,1,15,False,False
john micklethwait,1,15,False,False
launch control center,1,15,False,True
marconi electronic systems,1,15,False,False
mercury control center,1,15,False,True
rotating regional primary system,1,15,False,False
uniformed services university of the health sciences,1,15,False,False
united states capitol complex,1,15,False,False
air force historical research agency,1,14,False,False
artemis iii,1,14,False,False
atlas ii,1,14,False,False
big tech,1,14,False,True
british aerospace,1,14,False,False
chevrolet volt,1,14,False,False
elevation partners,1,14,False,True
ford f-150 lightning,1,14,False,False
frank c. walker,1,14,False,False
international financial reporting standards,1,14,False,False
lyndon rive,1,14,False,False
mark hurd,1,14,False,True
michael lawrence haider,1,14,False,False
nissan leaf,1,14,False,True
numbered air force,1,14,False,False
samuel alito,1,14,False,False
second air force,1,14,False,False
swarm technologies,1,14,False,False
third air force,1,14,False,False
united states copyright office,1,14,False,False
amazon hq2,1,13,False,False
bae systems,1,13,False,True
center for security policy,1,13,False,False
deep space climate observatory,1,13,False,True
fidelity investments,1,13,False,True
hermann oberth,1,13,False,True
hyperloop transportation technologies,1,13,False,True
john franklyn mars,1,13,False,False
les echos (france),1,13,False,False
malcolm forbes,1,13,False,True
michael flynn,1,13,False,False
national reconnaissance office,1,13,False,False
paul wolfowitz,1,13,False,False
russell senate office building,1,13,False,False
spacex crs-33,1,13,False,True
united nations security council,1,13,False,False
1920 republican party presidential primaries,1,12,False,False
affordable connectivity program,1,12,False,False
alan greenspan,1,12,False,False
amazon delta,1,12,False,False
bangladesh satellite-1,1,12,False,False
bloomberg law,1,12,False,False
blue origin ns-17,1,12,False,False
blue origin ns-23,1,12,False,False
christy walton,1,12,False,True
daryl chapin,1,12,False,False
game boy color,1,12,False,False
gary johnson,1,12,False,False
gigafactory mexico,1,12,False,False
john franklin enders,1,12,False,False
june,1,12,False,False
michael j. saylor,1,12,False,False
omelek island,1,12,False,True
project juno,1,12,False,False
richard sylla,1,12,False,False
robert kagan,1,12,False,False
robert zubrin,1,12,False,False
spacex crew-3,1,12,False,False
thomas s. power,1,12,False,False
tom mueller,1,12,False,False
ulrike malmendier,1,12,False,True
united states senate democratic steering and outreach committee,1,12,False,False
wikimedia foundation,1,12,False,False
world war i,1,12,False,False
1840 united states presidential election,1,11,False,False
alan bovik,1,11,False,False
amazon labor union,1,11,False,False
bernard arnault,1,11,False,False
business jet,1,11,False,False
clarium capital,1,11,False,False
communications satellite,1,11,False,True
congressional hispanic conference,1,11,False,False
control data corporation,1,11,False,True
david pecker,1,11,False,False
errol musk,1,11,False,False
fundraising for the 2012 united states presidential election,1,11,False,False
gerald pearson,1,11,False,False
international democracy union,1,11,False,False
james wilson (founding father),1,11,False,False
k. eric drexler,1,11,False,False
korean war,1,11,False,True
logistics of the 2020 republican national convention,1,11,False,False
los angeles times,1,11,False,False
mary ruwart,1,11,False,False
national security of the united states,1,11,False,False
post–world war i recession,1,11,False,False
red bull,1,11,False,False
right side broadcasting network,1,11,False,False
south sea company,1,11,False,False
space station,1,11,False,True
spaceshiptwo,1,11,False,False
spencer abraham,1,11,False,False
steve ballmer,1,11,False,False
super tuesday,1,11,False,True
tenth air force,1,11,False,False
world online,1,11,False,False
akira yoshino,1,10,False,True
aristotle onassis,1,10,False,True
audible (service),1,10,False,False
barack obama 2008 presidential campaign,1,10,False,False
blue origin ns-18,1,10,False,False
blue origin ns-21,1,10,False,False
business insider,1,10,False,False
charles breyer,1,10,False,False
ed koch,1,10,False,False
flocken elektrowagen,1,10,False,False
goodrich corporation,1,10,False,True
human rights party (united states),1,10,False,False
international airport,1,10,False,True
james harris (socialist workers party politician),1,10,False,False
james madison memorial building,1,10,False,False
luminar technologies,1,10,False,False
max levchin,1,10,False,True
near earth network,1,10,False,False
prohibition in the united states,1,10,False,False
serve america movement,1,10,False,False
spaceshipone,1,10,False,True
united states air force thunderbirds,1,10,False,False
yoshua bengio,1,10,False,False
alpha magnetic spectrometer,1,9,False,False
alternative for germany,1,9,False,False
amazon drive,1,9,False,False
amazon lab126,1,9,False,False
american city business journals,1,9,False,False
amie street,1,9,False,False
axiom station,1,9,False,False
benjamin franklin,1,9,False,True
bnn bloomberg,1,9,False,False
boeing b-29 superfortress,1,9,False,False
companies act,1,9,False,False
francis e. warren,1,9,False,False
georgia republican party,1,9,False,False
green new deal,1,9,False,False
gulf coast of the united states,1,9,False,False
harvard business review,1,9,False,False
henry marion howe,1,9,False,False
hispanics in the united states air force,1,9,False,False
howard hughes,1,9,False,False
hubert work,1,9,False,False
john mccain,1,9,False,False
kawasaki heavy industries,1,9,False,False
leonard leo,1,9,False,False
mark charles,1,9,False,False
naval history and heritage command,1,9,False,False
pecora commission,1,9,False,False
pgm-19 jupiter,1,9,False,False
robert s. langer,1,9,False,False
roy moore,1,9,False,False
san francisco bay,1,9,False,True
spaceflight,1,9,False,False
titan iv,1,9,False,False
ulf merbold,1,9,False,False
united states secretary of the treasury,1,9,False,False
workers world party,1,9,False,False
abigail johnson,1,8,False,False
amalgam comics,1,8,False,False
amazon dash,1,8,False,False
amazon eve,1,8,False,True
america first policy institute,1,8,False,False
audi q8,1,8,False,False
august,1,8,False,False
bbc news,1,8,False,False
bloomberg news,1,8,False,False
blue origin ns-19,1,8,False,False
canada convoy protest,1,8,False,False
charles luckman,1,8,False,False
congressional jewish caucus,1,8,False,False
david rubenstein,1,8,False,False
george wallace,1,8,False,False
george washington jones (tennessee politician),1,8,False,False
george white (ohio politician),1,8,False,False
great lakes,1,8,False,False
great recession in asia,1,8,False,False
ilya sutskever,1,8,False,False
internet,1,8,False,False
jewish news,1,8,False,False
justice party (united states),1,8,False,False
kansas republican party,1,8,False,False
limited liability partnership,1,8,False,False
lotus esprit,1,8,False,False
mason patrick,1,8,False,False
michael liebreich,1,8,False,False
mithril capital,1,8,False,False
morgan motor company,1,8,False,True
morgan stanley,1,8,False,True
national enquirer,1,8,False,False
national highway traffic safety administration,1,8,False,False
national historic landmark,1,8,False,True
nevada corporation,1,8,False,True
new south,1,8,False,False
new york theatre workshop,1,8,False,False
nullifier party,1,8,False,False
oracle cloud,1,8,False,True
peter thiel,1,8,False,False
pierce butler (american politician),1,8,False,False
royal air force,1,8,False,True
senate republican conference,1,8,False,False
sky news,1,8,False,False
strategic defense initiative,1,8,False,False
the daily pennsylvanian,1,8,False,False
the new york observer,1,8,False,False
united airlines,1,8,False,False
united states capitol visitor center,1,8,False,False
von holzhausen,1,8,False,False
walter mondale,1,8,False,False
world (magazine),1,8,False,False
2012 republican national convention,1,7,False,False
alabama real estate bubble of the 1810s,1,7,False,False
alvin lucier,1,7,False,False
american jews,1,7,False,False
aston martin,1,7,False,False
bernie ecclestone,1,7,False,True
beta kappa,1,7,False,False
billie jean king,1,7,False,False
bloomberg markets,1,7,False,False
brian moore (political activist),1,7,False,False
camille jenatzy,1,7,False,False
carlos slim,1,7,False,True
christian lacroix,1,7,False,True
covenant of mayors,1,7,False,False
discover card,1,7,False,False
dodger stadium,1,7,False,False
european commission,1,7,False,False
fernando ferrer,1,7,False,False
game boy,1,7,False,False
harry reid,1,7,False,False
"hawthorne, california",1,7,False,False
hms amazon,1,7,False,False
j. waldo smith,1,7,False,False
january,1,7,False,False
kamala harris,1,7,False,False
kiva (organization),1,7,False,False
konrad kyeser,1,7,False,False
leonard w. hall,1,7,False,False
louisiana creole people,1,7,False,False
mayor of paris,1,7,False,False
millennium falcon,1,7,False,False
nasarawa state,1,7,False,False
national guard (united states),1,7,False,False
national league of cities,1,7,False,False
northeastern united states,1,7,False,False
order of merit of the italian republic,1,7,False,False
paul krugman,1,7,False,False
phoenix suns,1,7,False,False
radarsat constellation,1,7,False,True
robert hadfield,1,7,False,False
socialist workers party (united states),1,7,False,False
steve jobs,1,7,False,True
united states air force academy,1,7,False,False
united states coast guard,1,7,False,False
united states house committee on ways and means,1,7,False,False
united states marine corps history division,1,7,False,False
uss amazon,1,7,False,False
wet nellie,1,7,False,True
ai futures project,1,6,False,False
air command,1,6,False,True
alabama fever,1,6,False,False
amazon basin,1,6,False,True
amazon breakthrough novel award,1,6,False,False
amazon kindle,1,6,False,True
american party (1924),1,6,False,False
anti-masonic party,1,6,False,False
athabasca valles,1,6,False,False
baidu tieba,1,6,False,True
bill gates,1,6,False,True
biz stone,1,6,False,True
blue origin ns-16,1,6,False,False
christian dior,1,6,False,True
commercial orbital transportation services,1,6,False,False
east north central states,1,6,False,False
farmer–labor party,1,6,False,False
february,1,6,False,False
federal election commission,1,6,False,False
fellow of the royal society,1,6,False,False
flight test,1,6,False,True
giorgetto giugiaro,1,6,False,False
great depression,1,6,False,False
hesperia planum,1,6,False,False
household income in the united states,1,6,False,False
ibm system,1,6,False,False
inspector general,1,6,False,False
james douglas (businessman),1,6,False,False
john hickenlooper,1,6,False,False
joseph mccarthy,1,6,False,False
julian bond,1,6,False,False
legal marijuana now party,1,6,False,False
lvmh tower,1,6,False,False
mark callahan,1,6,False,False
mark mateschitz,1,6,False,False
meta platforms,1,6,False,True
middle east,1,6,False,False
military health system,1,6,False,False
military history of jewish americans,1,6,False,False
motor trend,1,6,False,True
national convention,1,6,False,False
national party (united states),1,6,False,False
naval criminal investigative service,1,6,False,False
new york stock exchange building,1,6,False,True
nobel prize,1,6,False,True
november,1,6,False,True
oracle,1,6,False,True
"our enemy, the state",1,6,False,False
oxford university press,1,6,False,False
political positions of paul ryan,1,6,False,False
r street institute,1,6,False,False
republican majority for choice,1,6,False,False
restore britain,1,6,False,False
roger ailes,1,6,False,False
singer roadster,1,6,False,False
soyuz ms-17,1,6,False,False
star trek beyond,1,6,False,False
technological and industrial history of canada,1,6,False,False
trade union,1,6,False,False
tucker carlson,1,6,False,False
unionist politician (american civil war),1,6,False,False
united states air force honor guard,1,6,False,False
united states coast guard training center cape may,1,6,False,False
united states department of justice,1,6,False,False
virgin group,1,6,False,True
western hemisphere,1,6,False,False
1944 united states presidential election,1,5,False,False
air suspension,1,5,False,False
amancio ortega,1,5,False,True
amazon clinic,1,5,False,False
america first committee,1,5,False,False
american enterprise institute,1,5,False,False
american nazi party,1,5,False,False
american system (economic plan),1,5,False,False
assassination of robert f. kennedy,1,5,False,False
bob barr 2008 presidential campaign,1,5,False,False
british america,1,5,False,False
bryanston high school,1,5,False,False
campaign finance reform amendment,1,5,False,False
"cotulla, texas",1,5,False,False
dahomey amazons,1,5,False,False
david brooks (commentator),1,5,False,False
delaware moors,1,5,False,False
edward mounier boxer,1,5,False,False
election day (united states),1,5,False,False
family research council,1,5,False,False
general public,1,5,False,False
john g. carlisle,1,5,False,False
john hay,1,5,False,False
joint base,1,5,False,False
leadership for healthy communities,1,5,False,False
major general,1,5,False,True
mary celeste,1,5,False,False
metoo movement,1,5,False,False
michael knowles (political commentator),1,5,False,False
moon,1,5,False,False
municipal securities rulemaking board,1,5,False,False
musk,1,5,False,False
national affairs,1,5,False,False
national conference of democratic mayors,1,5,False,False
national federation of independent business,1,5,False,False
national renaissance party (united states),1,5,False,False
national statuary hall collection,1,5,False,False
new york city subway,1,5,False,False
russell ohl,1,5,False,False
