title,score,expected_yield_class,source_hint,already_fetched,recheck_required,positive_reasons,negative_reasons
The Des Moines Register,43.5,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Albany, New York",43.48,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Des Moines, Iowa",43.48,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Cleveland, Ohio",43.46,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Charlotte, North Carolina",43.44,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Omaha, Nebraska",43.44,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Montgomery, Alabama",43.42,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Arlington County, Virginia",43.4,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Colorado Springs, Colorado",43.38,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Michael Harrington,43.38,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Washington, DC",43.38,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Air Force Reserve Command,43.36,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Denver, Colorado",43.36,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Houston, Texas",43.36,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Jackson, Mississippi",43.36,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Saint Paul, Minnesota",43.36,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Cambridge, Massachusetts",43.34,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Health care,43.34,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"New Haven, Connecticut",43.34,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Margaret Sanger,43.32,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Miami-Dade County, Florida",43.32,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Southern California,43.32,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Tulsa, Oklahoma",43.32,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Upper Midwest,43.32,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Los Angeles, California",43.3,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Pittsburgh, Pennsylvania",43.3,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Sioux City, Iowa",43.3,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Western Europe,43.3,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Dallas, Texas",43.28,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Deficit spending,43.28,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Milwaukee, Wisconsin",43.28,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
New Amsterdam,43.28,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Yale Law School,43.28,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Arlington, Virginia",43.26,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Boca Raton, Florida",43.26,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Johnson & Johnson,43.26,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Mao Zedong,43.26,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Philadelphia, Pennsylvania",43.26,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Brooke Rollins,43.24,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Detroit, Michigan",43.24,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
East Asia,43.24,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Natural gas,43.24,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"New York City, New York",43.24,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Samuel Gompers,43.24,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Claude Shannon,43.22,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
East Harlem,43.22,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Miami, Florida",43.22,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Starbase, Texas",43.22,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Yellowstone National Park,43.22,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
David Chalmers,43.2,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"El Segundo, California",43.2,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Independence, Missouri",43.2,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
United States corporate law,43.2,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Auburn, Alabama",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Burbank, California",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Digital Revolution,43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Hamilton, Ontario",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Honolulu, Hawaii",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Maritime Southeast Asia,43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Milton, Massachusetts",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Newton, Massachusetts",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Prescott, Arizona",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Salem, Oregon",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
South Asia,43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Sunnyvale, California",43.18,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
American history,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Anne Arundel County, Maryland",43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Asheville, North Carolina",43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Chapter 11 bankruptcy,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Frank Collin,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
GHQ Air Force,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Henry VIII,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Marvel Comics,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
McDonnell Aircraft,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Providence Plantations,43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Salem, Virginia",43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Santa Clara, California",43.16,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Bedford Hills, New York",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Braintree, Massachusetts",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Brevard County, Florida",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Cape Canaveral, Florida",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Google Search,43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Harris County, Texas",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Herndon, Virginia",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Howard County, Maryland",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Jacksonville, Illinois",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Menlo Park, California",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Moreland Hills, Ohio",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Mountain View, California",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Queens, New York",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Redmond, Washington",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Scarborough, Ontario",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Secondary education,43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Southern Baptist,43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Suitland, Maryland",43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Technological revolution,43.14,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Antebellum South Carolina,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Basel, Switzerland",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Basic training,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Beijing, China",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Belcourt, North Dakota",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Brian Christian,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Brighton, Massachusetts",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Calvert County, Maryland",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Camden, Maine",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Canadian National,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Cannabis legalization,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Chapter 7 bankruptcy,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Coronado, California",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Google Docs,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Great War,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Greenwich, Connecticut",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Hamden, Connecticut",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Joseph Bonne,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Klaus Schwab,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Kurt Mertig,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Landes Bioscience,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Lompoc, California",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Mecosta, Michigan",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Norwalk, Connecticut",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Orange County, Indiana",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Pineville, North Carolina",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Providence Equity Partners,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Redlands, California",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Robert Kuok,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
San Mateo County,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Sheffield, Alabama",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Springfield, Minnesota",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Statuary Hall,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Steve Wozniak,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Stratford Centre,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Thomas Gresham,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
US Organization,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Wallace Fard Muhammad,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Yana Peel,43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Yucaipa, California",43.12,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Census Bureau,38.18,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Carnegie Steel,38.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Household income,38.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Prohibition era,38.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Alouette 1,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Emlen Institution,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Enrico Tonti,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Epic Games,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
George Herbert Walker Bush,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Jean Fayeton,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Mind Children,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Outset Contemporary Art Fund,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Telewizja Polska,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
The Alignment Problem,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
The Antitrust Paradox,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Thunder Bay,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Willem van Biljon,38.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form,
Concurrent resolution,19.0,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Concurrent powers,18.94,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Internal Revenue Service,18.88,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Ted Lerner,18.62,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
The Apotheosis of Washington,18.62,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American culture,18.6,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Underground Railroad,18.6,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Black Nova Scotians,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Plantation complexes in the Southern United States,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
State Britain,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Stephen Park (artist),18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Tense (artwork),18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
The Brussels Times,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
The Jerusalem Post,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
The Woodrow Wilson Award for Global Corporate Citizenship,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Treatment of slaves in the United States,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
U.S. Customs and Border Protection,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Variety (magazine),18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Villanova University,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Virgin Galactic Unity 22,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Virginia Abernethy,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Vulnerable world hypothesis,18.58,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African Americans in Alabama,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African Americans in Oklahoma,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American art,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American dance,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American English,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American folktales,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American leftism,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American LGBTQ community,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American names,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American neighborhood,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American self-determination,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
African-American Vernacular English,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Association for the Study of African American Life and History,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Central Intercollegiate Athletic Association,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
China–United States trade war,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Civil rights movements,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Democratic Senatorial Campaign Committee,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
First impeachment of Donald Trump,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Louisiana Purchase,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
