source,relation_type,target,confidence,reason,evidence,manual_label,notes
government,made_of,political_ideals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=political_ideology, degree=4, hub_penalty=1.00)",political_ideology,plusable,
highway,made_of,tar,0.769681,"transitive pattern: made_of -> made_of (count=219, via=asphalt, degree=3, hub_penalty=1.00)",asphalt,plusable,
houses,made_of,clay,0.769681,"transitive pattern: made_of -> made_of (count=219, via=brick, degree=3, hub_penalty=1.00)",brick,plusable,
internet,made_of,sister_naked,0.769681,"transitive pattern: made_of -> made_of (count=219, via=tu_hermana_en_bolas, degree=2, hub_penalty=1.00)",tu_hermana_en_bolas,Wrong,
jelly_beans,made_of,minerals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=sugar, degree=4, hub_penalty=1.00)",sugar,Wrong,
mount_everst,made_of,snowflakes,0.769681,"transitive pattern: made_of -> made_of (count=219, via=snow, degree=2, hub_penalty=1.00)",snow,plusable,
outfit,made_of,silk,0.769681,"transitive pattern: made_of -> made_of (count=219, via=clothes, degree=2, hub_penalty=1.00)",clothes,plusable,
pepsi,made_of,minerals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=sugar, degree=4, hub_penalty=1.00)",sugar,wrong,
plate,made_of,clay,0.769681,"transitive pattern: made_of -> made_of (count=219, via=ceramic, degree=4, hub_penalty=1.00)",ceramic,plusable,
punch_bag,made_of,cow_skin,0.769681,"transitive pattern: made_of -> made_of (count=219, via=leather, degree=4, hub_penalty=1.00)",leather,plusable,
shoes,made_of,cow_skin,0.769681,"transitive pattern: made_of -> made_of (count=219, via=leather, degree=4, hub_penalty=1.00)",leather,plusable,
soccer_ball,made_of,cow_skin,0.769681,"transitive pattern: made_of -> made_of (count=219, via=leather, degree=4, hub_penalty=1.00)",leather,plusable,
song,made_of,organized_sounds,0.769681,"transitive pattern: made_of -> made_of (count=219, via=music, degree=6, hub_penalty=1.00)",music,correct,
song,made_of,sound,0.769681,"transitive pattern: made_of -> made_of (count=219, via=music, degree=6, hub_penalty=1.00)",music,,
song,made_of,sounds,0.769681,"transitive pattern: made_of -> made_of (count=219, via=music, degree=6, hub_penalty=1.00)",music,,
talbe,made_of,leaves,0.769681,"transitive pattern: made_of -> made_of (count=219, via=tree, degree=7, hub_penalty=1.00)",tree,,
talbe,made_of,wood,0.769681,"transitive pattern: made_of -> made_of (count=219, via=tree, degree=7, hub_penalty=1.00)",tree,,
teakettles,made_of,clay,0.769681,"transitive pattern: made_of -> made_of (count=219, via=ceramic, degree=4, hub_penalty=1.00)",ceramic,,
toast,made_of,dough,0.769681,"transitive pattern: made_of -> made_of (count=219, via=bread, degree=3, hub_penalty=1.00)",bread,,
toast,made_of,wheat,0.769681,"transitive pattern: made_of -> made_of (count=219, via=bread, degree=3, hub_penalty=1.00)",bread,,
town_house,made_of,clay,0.769681,"transitive pattern: made_of -> made_of (count=219, via=brick, degree=3, hub_penalty=1.00)",brick,,
troll,made_of,epic_fail,0.769681,"transitive pattern: made_of -> made_of (count=219, via=fail, degree=2, hub_penalty=1.00)",fail,,
utopia,made_of,political_ideology,0.769681,"transitive pattern: made_of -> made_of (count=219, via=community, degree=2, hub_penalty=1.00)",community,,
vera_bradley,made_of,fibers,0.769681,"transitive pattern: made_of -> made_of (count=219, via=cloth, degree=3, hub_penalty=1.00)",cloth,,
volcano,made_of,molten_rock,0.769681,"transitive pattern: made_of -> made_of (count=219, via=lava, degree=3, hub_penalty=1.00)",lava,,
wood,made_of,leaves,0.769681,"transitive pattern: made_of -> made_of (count=219, via=tree, degree=7, hub_penalty=1.00)",tree,,
admiralty_island,at_location,caribbean_sea,0.739375,"transitive pattern: at_location -> at_location (count=119, via=abc_islands, degree=3, hub_penalty=1.00)",abc_islands,,
book,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
book,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
book,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
envelope,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
envelope,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
envelope,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
index_card,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
index_card,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
index_card,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
letter,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
letter,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
letter,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
money,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
money,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
money,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
pages_of_book,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
pages_of_book,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
pages_of_book,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
paper_airplane,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
paper_airplane,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
paper_airplane,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
post_note,made_of,cellulose,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
post_note,made_of,trees,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
post_note,made_of,wood,0.733862,"transitive pattern: made_of -> made_of (count=219, via=paper, degree=11, hub_penalty=0.95)",paper,,
a,part_of,formal_language,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alphabet, degree=3, hub_penalty=1.00)",alphabet,,
aconcagua,part_of,bolivia,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
aconcagua,part_of,chile,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
aconcagua,part_of,colombia,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
aconcagua,part_of,ecuador,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
aconcagua,part_of,peru,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
aconcagua,part_of,south_america,0.718472,"transitive pattern: part_of -> part_of (count=78, via=argentina, degree=5, hub_penalty=1.00)",argentina,,
additions_to_esther,part_of,old_testament,0.718472,"transitive pattern: part_of -> part_of (count=78, via=apocrypha, degree=2, hub_penalty=1.00)",apocrypha,,
adelie_coast,part_of,antarctic,0.718472,"transitive pattern: part_of -> part_of (count=78, via=antarctica, degree=4, hub_penalty=1.00)",antarctica,,
admiralty_island,part_of,alaska,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alexander_archipelago, degree=2, hub_penalty=1.00)",alexander_archipelago,,
admiralty_range,part_of,antarctic,0.718472,"transitive pattern: part_of -> part_of (count=78, via=antarctica, degree=4, hub_penalty=1.00)",antarctica,,
adrenal_cortex,part_of,endocrine_system,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,,
adrenal_cortex,part_of,kidney,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,,
adrenal_medulla,part_of,endocrine_system,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,,
adrenal_medulla,part_of,kidney,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,,
advent_sunday,part_of,church_calendar,0.718472,"transitive pattern: part_of -> part_of (count=78, via=advent, degree=2, hub_penalty=1.00)",advent,,
aegean_island,part_of,mediterranean,0.718472,"transitive pattern: part_of -> part_of (count=78, via=aegean, degree=2, hub_penalty=1.00)",aegean,,
al_ain,part_of,united_arab_emirates,0.718472,"transitive pattern: part_of -> part_of (count=78, via=abu_dhabi, degree=2, hub_penalty=1.00)",abu_dhabi,,
alaska_peninsula,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,,
alaska_range,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,,
alaskan_pipeline,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,,
aleutian_islands,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,,
alexander_archipelago,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,,
algeciras,part_of,spain,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andalusia, degree=2, hub_penalty=1.00)",andalusia,,
algiers,part_of,maghreb,0.718472,"transitive pattern: part_of -> part_of (count=78, via=algeria, degree=4, hub_penalty=1.00)",algeria,,
alleghenies,part_of,east,0.718472,"transitive pattern: part_of -> part_of (count=78, via=appalachians, degree=3, hub_penalty=1.00)",appalachians,,
alveolar_artery,part_of,jaw,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alveolar_ridge, degree=2, hub_penalty=1.00)",alveolar_ridge,,
anal_sphincter,part_of,body,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,,
anal_sphincter,part_of,human_body,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,,
anal_sphincter,part_of,normal_human_body,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,,
anal_sphincter,part_of,rectum,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,,
anchorage,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,,
ancohuma,part_of,argentina,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
a,part_of,formal_language,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alphabet, degree=3, hub_penalty=1.00)",alphabet,plusable,
aconcagua,part_of,bolivia,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,wrong,
aconcagua,part_of,chile,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,wrong,
aconcagua,part_of,colombia,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,wrong,
aconcagua,part_of,ecuador,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,wrong,
aconcagua,part_of,peru,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,Wrong,
aconcagua,part_of,south_america,0.718472,"transitive pattern: part_of -> part_of (count=78, via=argentina, degree=5, hub_penalty=1.00)",argentina,correct,
additions_to_esther,part_of,old_testament,0.718472,"transitive pattern: part_of -> part_of (count=78, via=apocrypha, degree=2, hub_penalty=1.00)",apocrypha,plusable,
adelie_coast,part_of,antarctic,0.718472,"transitive pattern: part_of -> part_of (count=78, via=antarctica, degree=4, hub_penalty=1.00)",antarctica,plusable,
admiralty_island,part_of,alaska,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alexander_archipelago, degree=2, hub_penalty=1.00)",alexander_archipelago,correct,
admiralty_range,part_of,antarctic,0.718472,"transitive pattern: part_of -> part_of (count=78, via=antarctica, degree=4, hub_penalty=1.00)",antarctica,plusable,
adrenal_cortex,part_of,endocrine_system,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,Correct,
adrenal_cortex,part_of,kidney,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,wrong,
adrenal_medulla,part_of,endocrine_system,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,correct,
adrenal_medulla,part_of,kidney,0.718472,"transitive pattern: part_of -> part_of (count=78, via=adrenal_gland, degree=4, hub_penalty=1.00)",adrenal_gland,wrong,
advent_sunday,part_of,church_calendar,0.718472,"transitive pattern: part_of -> part_of (count=78, via=advent, degree=2, hub_penalty=1.00)",advent,correct,
aegean_island,part_of,mediterranean,0.718472,"transitive pattern: part_of -> part_of (count=78, via=aegean, degree=2, hub_penalty=1.00)",aegean,plusable,
al_ain,part_of,united_arab_emirates,0.718472,"transitive pattern: part_of -> part_of (count=78, via=abu_dhabi, degree=2, hub_penalty=1.00)",abu_dhabi,Correct,
alaska_peninsula,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,correct,
alaska_range,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,correct,
alaskan_pipeline,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,correct,
aleutian_islands,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,correct,
alexander_archipelago,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,correct,
algeciras,part_of,spain,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andalusia, degree=2, hub_penalty=1.00)",andalusia,correct,
algiers,part_of,maghreb,0.718472,"transitive pattern: part_of -> part_of (count=78, via=algeria, degree=4, hub_penalty=1.00)",algeria,plusable,
alleghenies,part_of,east,0.718472,"transitive pattern: part_of -> part_of (count=78, via=appalachians, degree=3, hub_penalty=1.00)",appalachians,plusable,
alveolar_artery,part_of,jaw,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alveolar_ridge, degree=2, hub_penalty=1.00)",alveolar_ridge,plusable,
anal_sphincter,part_of,body,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,correct,
anal_sphincter,part_of,human_body,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,correct,
anal_sphincter,part_of,normal_human_body,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,plusable,
anal_sphincter,part_of,rectum,0.718472,"transitive pattern: part_of -> part_of (count=78, via=anus, degree=5, hub_penalty=1.00)",anus,,
anchorage,part_of,united_states,0.718472,"transitive pattern: part_of -> part_of (count=78, via=alaska, degree=9, hub_penalty=1.00)",alaska,,
ancohuma,part_of,argentina,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
ancohuma,part_of,chile,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
ancohuma,part_of,colombia,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
ancohuma,part_of,ecuador,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
ancohuma,part_of,peru,0.718472,"transitive pattern: part_of -> part_of (count=78, via=andes, degree=8, hub_penalty=1.00)",andes,,
andes,part_of,south_america,0.718472,"transitive pattern: part_of -> part_of (count=78, via=argentina, degree=5, hub_penalty=1.00)",argentina,,
anklebone,part_of,leg,0.718472,"transitive pattern: part_of -> part_of (count=78, via=ankle, degree=2, hub_penalty=1.00)",ankle,,
annaba,part_of,maghreb,0.718472,"transitive pattern: part_of -> part_of (count=78, via=algeria, degree=4, hub_penalty=1.00)",algeria,,
antarctic_peninsula,part_of,antarctic,0.718472,"transitive pattern: part_of -> part_of (count=78, via=antarctica, degree=4, hub_penalty=1.00)",antarctica,,
antigua,part_of,caribbean,0.718472,"transitive pattern: part_of -> part_of (count=78, via=antigua_and_barbuda, degree=3, hub_penalty=1.00)",antigua_and_barbuda,,
antigua,part_of,leeward_islands,0.718472,"transitive pattern: part_of -> part_of (count=78, via=antigua_and_barbuda, degree=3, hub_penalty=1.00)",antigua_and_barbuda,,
aoa,part_of,samoa,0.718472,"transitive pattern: part_of -> part_of (count=78, via=american_samoa, degree=2, hub_penalty=1.00)",american_samoa,,
appalachia,part_of,east,0.718472,"transitive pattern: part_of -> part_of (count=78, via=appalachians, degree=3, hub_penalty=1.00)",appalachians,,
april_fools,part_of,gregorian_calendar,0.718472,"transitive pattern: part_of -> part_of (count=78, via=april, degree=4, hub_penalty=1.00)",april,,
april_fools,part_of,q2,0.718472,"transitive pattern: part_of -> part_of (count=78, via=april, degree=4, hub_penalty=1.00)",april,,
apron,part_of,transportation_system,0.718472,"transitive pattern: part_of -> part_of (count=78, via=airfield, degree=3, hub_penalty=1.00)",airfield,,
apron_string,part_of,airfield,0.718472,"transitive pattern: part_of -> part_of (count=78, via=apron, degree=3, hub_penalty=1.00)",apron,,
apron_string,part_of,fairway,0.718472,"transitive pattern: part_of -> part_of (count=78, via=apron, degree=3, hub_penalty=1.00)",apron,,
abandoned_airfield,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_canal,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_causeway,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_complex,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_home,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_mine,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_mission,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,plusable,
abandoned_police_station,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_prison,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_railroad,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_township,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abandoned_well,is_a,tangible_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abandoned_thing,correct,
abasia_trepidans,is_a,disability_of_walking,0.691432,transitive pattern: is_a -> is_a (count=45),abasia,correct,
abasia_trepidans,is_a,inability,0.691432,transitive pattern: is_a -> is_a (count=45),abasia,plusable,
abatement_of_nuisance,is_a,moderation,0.691432,transitive pattern: is_a -> is_a (count=45),abatement,plusable,
abbe,is_a,superior,0.691432,transitive pattern: is_a -> is_a (count=45),abbot,plusable,
abdominal_aorta_saccular_aneurysm,is_a,aneurysm,0.691432,transitive pattern: is_a -> is_a (count=45),abdominal_aortic_aneurysm,correct,
abdominal_aorta_saccular_aneurysm,is_a,aortic_aneurysm,0.691432,transitive pattern: is_a -> is_a (count=45),abdominal_aortic_aneurysm,correct,
abdominal_aorta_saccular_aneurysm,is_a,disease_afflicting_abdominal_aorta,0.691432,transitive pattern: is_a -> is_a (count=45),abdominal_aortic_aneurysm,correct,
abdominal_aorta_saccular_aneurysm,is_a,vascular_disease,0.691432,transitive pattern: is_a -> is_a (count=45),abdominal_aortic_aneurysm,correct,
aberrance,is_a,misbehavior,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,plusable,
aberrance,is_a,physiological_state,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
aberrance,is_a,retardation,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
aberrance,is_a,social_quantity,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
aberrance,is_a,unfamiliarity,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
abnormal_protusion_biological,is_a,atypical_thing,0.691432,transitive pattern: is_a -> is_a (count=45),abnormal_protrusion,plusable,
abnormal_protusion_biological,is_a,protrusion,0.691432,transitive pattern: is_a -> is_a (count=45),abnormal_protrusion,correct,
abortion_pill,is_a,drug,0.691432,transitive pattern: is_a -> is_a (count=45),abortifacient,correct,
abortion_pill,is_a,medicine,0.691432,transitive pattern: is_a -> is_a (count=45),abortifacient,correct,
abrachia,is_a,misbehavior,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
abrachia,is_a,physiological_state,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,plusable,
abrachia,is_a,retardation,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
abrachia,is_a,social_quantity,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
abrachia,is_a,unfamiliarity,0.691432,transitive pattern: is_a -> is_a (count=45),abnormality,wrong,
abrading_event,is_a,complete_separation,0.691432,transitive pattern: is_a -> is_a (count=45),ablating,wrong,
abrading_event,is_a,removing,0.691432,transitive pattern: is_a -> is_a (count=45),ablating,plusable,
abrading_stone,is_a,tool,0.691432,transitive pattern: is_a -> is_a (count=45),abrader,correct,
abrading_teeth,is_a,ablating,0.691432,transitive pattern: is_a -> is_a (count=45),abrading_event,plusable,
abrading_teeth,is_a,rubbing,0.691432,transitive pattern: is_a -> is_a (count=45),abrading_event,plusable,
abscessed_tooth,is_a,disease,0.691432,transitive pattern: is_a -> is_a (count=45),abscess,plusable,
abscessed_tooth,is_a,illness,0.691432,transitive pattern: is_a -> is_a (count=45),abscess,plusable,
abscessed_tooth,is_a,symptom,0.691432,transitive pattern: is_a -> is_a (count=45),abscess,Wrong,
absenteeism,is_a,lack,0.691432,transitive pattern: is_a -> is_a (count=45),absence,plusable,
absenteeism,is_a,nonattendance,0.691432,transitive pattern: is_a -> is_a (count=45),absence,correct,
absenteeism,is_a,time_interval,0.691432,transitive pattern: is_a -> is_a (count=45),absence,wrong,
