source,relation_type,target,baseline_confidence,learned_confidence,delta,evidence,reason,manual_label,notes
paper_airplane,made_of,trees,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,paper_airplane --made_of--> trees: indirect raw-material claim through paper; useful.
paper_airplane,made_of,wood,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,paper_airplane --made_of--> wood: indirect raw-material claim through paper; useful.
post_note,made_of,trees,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,post_note --made_of--> trees: indirect raw-material claim through paper; useful.
post_note,made_of,wood,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,post_note --made_of--> wood: indirect raw-material claim through paper; useful.
talbe,made_of,wood,0.552279,0.397448,-0.154831,tree,"transitive pattern: made_of -> made_of (count=159, via=tree, degree=4, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,"talbe --made_of--> wood: assuming typo table, useful knowledge."
human_body,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,human_body --made_of--> h2o: body contains much water; useful component knowledge.
human_body,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,human_body --made_of--> oxegen: typo/noisy target; misleading as made_of.
ice,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,ice --made_of--> h2o: correct.
ice,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,ice --made_of--> oxegen: typo/noisy target; misleading as made_of.
lettuce,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,lettuce --made_of--> h2o: lettuce contains much water; useful component knowledge.
lettuce,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,lettuce --made_of--> oxegen: typo/noisy target; misleading as made_of.
lubrication,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",unclear,lubrication --made_of--> h2o: lubrication is a process/function; too context-dependent.
lubrication,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,lubrication --made_of--> oxegen: typo/noisy target and process source; misleading.
ocean,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,ocean --made_of--> h2o: useful/correct enough.
ocean,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,ocean --made_of--> oxegen: typo/noisy target; misleading as made_of.
pee,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,pee --made_of--> h2o: urine is mostly water; useful component knowledge.
pee,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,pee --made_of--> oxegen: typo/noisy target; misleading as made_of.
person,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,person --made_of--> h2o: humans contain much water; useful component knowledge.
person,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,person --made_of--> oxegen: typo/noisy target; misleading as made_of.
rain,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,rain --made_of--> h2o: correct.
rain,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,rain --made_of--> oxegen: typo/noisy target; misleading as made_of.
sea,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,sea --made_of--> h2o: useful/correct enough.
sea,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,sea --made_of--> oxegen: typo/noisy target; misleading as made_of.
soup,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,soup --made_of--> h2o: many soups are water-based; useful enough.
soup,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,soup --made_of--> oxegen: typo/noisy target; misleading as made_of.
water_vapor,made_of,h2o,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_keep,water_vapor --made_of--> h2o: correct.
water_vapor,made_of,oxegen,0.530510,0.381782,-0.148728,water,"transitive pattern: made_of -> made_of (count=159, via=water, degree=15, hub_penalty=0.82, trust=0.862)",should_suppress,water_vapor --made_of--> oxegen: typo/noisy target; misleading as made_of.
glasses,made_of,molten_sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,glasses --made_of--> molten_sand: indirect glass-production material; useful enough.
glasses,made_of,sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,glasses --made_of--> sand: glass raw-material claim; useful enough.
glasses,made_of,silica,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,glasses --made_of--> silica: material composition of glass; useful.
goblet,made_of,molten_sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,goblet --made_of--> molten_sand: indirect glass-production material; useful enough.
goblet,made_of,sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,goblet --made_of--> sand: glass raw-material claim; useful enough.
goblet,made_of,silica,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,goblet --made_of--> silica: material composition of glass; useful.
lens,made_of,molten_sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,lens --made_of--> molten_sand: indirect glass-production material; useful enough.
lens,made_of,sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,lens --made_of--> sand: glass raw-material claim; useful enough.
lens,made_of,silica,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,lens --made_of--> silica: material composition of glass; useful.
lenses,made_of,molten_sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,lenses --made_of--> molten_sand: indirect glass-production material; useful enough.
lenses,made_of,sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,lenses --made_of--> sand: glass raw-material claim; useful enough.
lenses,made_of,silica,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,lenses --made_of--> silica: material composition of glass; useful.
many_bottles,made_of,molten_sand,0.484381,0.348585,-0.135796,glass,"transitive pattern: made_of -> made_of (count=159, via=glass, degree=13, hub_penalty=0.88, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,many_bottles --made_of--> molten_sand: indirect glass-production material; useful enough.
