source,relation_type,target
aleutian_islands,at_location,bering_sea
aleutian_islands,at_location,pacific_ocean
algae,at_location,swimming_pool
algae,at_location,water
algae,at_location,waterfall
algerian_arabic,at_location,algeria
alice_in_wonderland,at_location,disneyland
aliens,at_location,outer_space
aliens,at_location,roswell
aliens,at_location,space
aliens,at_location,universe
aliens,at_location,weekly_world_news
alkaloid,at_location,republic_of_macedonia
alkaloid,at_location,skopje
all_around,at_location,air
all_books,at_location,home
all_lazy_employees,at_location,water_cooler
all_sorts_of_clothes,at_location,clothes_drawer
all_types_of_stores,at_location,mall
alley,at_location,big_city
alley,at_location,towns
alligator,at_location,beach
alligator,at_location,swamp
almond_butter,at_location,jar
aloe_vera,at_location,medicine_chest
alot_of_alcohol,at_location,party
alot_of_empty_beer_bottles,at_location,fraternity_house
alot_of_poor_people,at_location,zimbabwe
alphabetized_articles,at_location,encyclopedia
alpine,at_location,dieppe
alpine,at_location,france
alta,at_location,athens
alta,at_location,greece
altar,at_location,ceremony
altar,at_location,sanctuary
altar,at_location,synagogue
altar,at_location,temple
altar_server,at_location,church
altenburg,at_location,germany
altenburg,at_location,hesse
alter,at_location,church
althing,at_location,iceland
alto,at_location,chior
alto,at_location,choir
alto,at_location,concerto
alto,at_location,marching_band
alto,at_location,symphony
alu,at_location,ethiopia
aluminum_foil,at_location,trash
amdo_tibetan,at_location,china
amdo_tibetan,at_location,gansu
amdo_tibetan,at_location,qinghai
amdo_tibetan,at_location,sichuan
amdo_tibetan,at_location,tibet
american_bricks_set,at_location,toy_store
american_civil_war,at_location,atlantic_ocean
american_civil_war,at_location,northeastern_united_states
american_civil_war,at_location,southern_united_states
american_civil_war,at_location,western_united_states
american_english,at_location,united_states
american_express,at_location,new_york_city
american_flag,at_location,moon
american_flag,at_location,suface_of_moon
american_flags_left_behind_by_astronauts,at_location,suface_of_moon
american_revolutionary_war,at_location,atlantic_ocean
american_revolutionary_war,at_location,balearic_islands
american_revolutionary_war,at_location,caribbean_sea
american_revolutionary_war,at_location,gibraltar
american_revolutionary_war,at_location,indian_subcontinent
american_sign_language,at_location,central_africa
american_sign_language,at_location,north_america
american_sign_language,at_location,west_africa
americans,at_location,america
amharic,at_location,ethiopia
ammonia,at_location,cabinet
ammunition,at_location,gun
ammunition,at_location,war
ammunition_depot,at_location,military_base
amnesia,at_location,ibiza
amoeba,at_location,water
amonia,at_location,chemistry_lab
amoxicillin,at_location,medicine_chest
amphitheatre,at_location,greece
amphitheatre,at_location,movie_house
amphitheatre,at_location,outside
amphitheatre,at_location,park
ampicillin,at_location,medicine_chest
amunition,at_location,sporting_goods_store
amusement,at_location,circus
amusement,at_location,disneyland
amusement,at_location,movies
amusement_ride,at_location,carnival
amusement_ride,at_location,disneyland
amusements,at_location,fairgrounds
amway,at_location,michigan
amway,at_location,united_states
analgesic,at_location,medicine_chest
anarchy,at_location,england
anarchy,at_location,normandy
ance,at_location,mcdonalds
anchor,at_location,end_of_line
ancient_greek,at_location,mediterranean_sea
and_apple,at_location,apple_orchard
andaman_islands,at_location,bay_of_bengal
anecdote,at_location,story
anemone,at_location,aquarium_store
anemone,at_location,ass
anemone,at_location,atlantic_ocean
anemone,at_location,big_sur
anemone,at_location,biology_book
anemone,at_location,book
anemone,at_location,bottom_of_ocean
anemone,at_location,bottom_of_sea
anemone,at_location,bug
anemone,at_location,bulb_catalog
anemone,at_location,cartoon
anemone,at_location,catalog
anemone,at_location,clusters_of_rocks
anemone,at_location,coral_sea
anemone,at_location,dictionary
anemone,at_location,dirt
anemone,at_location,dirt_growing
anemone,at_location,dont_like
anemone,at_location,encyclopedia_under_letter
anemone,at_location,field_of_flowers
anemone,at_location,floral_arrangement
anemone,at_location,florida_keys
anemone,at_location,flower_bed
anemone,at_location,flower_pot
anemone,at_location,flower_shop
anemone,at_location,flower_vase_arranged
anemone,at_location,forest
anemone,at_location,garden_shop
anemone,at_location,gardening_catalog
anemone,at_location,greenhouse
anemone,at_location,gulf_of_mexico
anemone,at_location,intertidal_zone
anemone,at_location,japan
anemone,at_location,kelp_forest
anemone,at_location,lab_dish
anemone,at_location,maine
anemone,at_location,mammoths_butt
anemone,at_location,marsh
anemone,at_location,meadow
anemone,at_location,mediterrain_sea
anemone,at_location,michigan
anemone,at_location,nursery
anemone,at_location,ocean_shallows
anemone,at_location,oceanb
anemone,at_location,oean
anemone,at_location,outside
anemone,at_location,place
anemone,at_location,pond
anemone,at_location,pool
anemone,at_location,pot
anemone,at_location,reef
anemone,at_location,reef_tank
anemone,at_location,rockpool
anemone,at_location,salt_water
anemone,at_location,salt_water_aquarium
anemone,at_location,salt_water_aquariumk
anemone,at_location,salt_water_tank
anemone,at_location,saltwater
anemone,at_location,saltwater_aquarium
anemone,at_location,sea_floor
anemone,at_location,sea_water
anemone,at_location,seafood_restaurant
anemone,at_location,see
anemone,at_location,slide
anemone,at_location,south_pacific
anemone,at_location,store
anemone,at_location,tidal_basin
anemone,at_location,tide_pool
anemone,at_location,vase_of_flowers
anemone,at_location,water
anemone,at_location,woods
anemone_in,at_location,tide_pool
anesthetic,at_location,medicine_chest
anfield,at_location,england
anfield,at_location,liverpool
angel_fis,at_location,sea
angelfish,at_location,aquarium
angry_mothers,at_location,soccer_game
angry_soldiers,at_location,war
animal,at_location,cafe
animal,at_location,detroit_zoo
animal,at_location,every_breathing_thing
animal,at_location,north_america
animal,at_location,outside
animal,at_location,park
animal,at_location,pet_shop
animal,at_location,pet_store
animal,at_location,wild
animal,at_location,woodland
animal,at_location,zoo
animal_feces,at_location,zoo
animal_hair,at_location,rug
animals,at_location,fair
animals,at_location,fairgrounds
animals,at_location,farm
animals,at_location,laboratory
animals,at_location,meadow
animals,at_location,park
animals,at_location,state_park
animals,at_location,surface_of_earth
a,capable_of,can_begin_to_leak
a,capable_of,can_return_five_cents
a,capable_of,can_store_food
a,capable_of,container
a,capable_of,form_of_vessle
a,capable_of,mammal
a,capable_of,metalic_cylindrical_container
aaa_member,capable_of,get_free_maps
aardvark,capable_of,burrow
aarmadillos,capable_of,get_leprosy
abacus,capable_of,add_series_of_numbers
abacus,capable_of,count_transaction
abandoned_table,capable_of,gather_dust
aboriginal_people,capable_of,cook_insects
abortion,capable_of,kill_fetus
absent,capable_of,mean_missing
absentee_electors,capable_of,cast_postal_votes
abusive_husband,capable_of,hit_wife
academic,capable_of,read_to_become_professor
acceptable,capable_of,enter_gates_of_compound
accident,capable_of,cause_acquired_brain_injury
accident,capable_of,cause_injuries
accident,capable_of,cause_to_defecate_from_fear
accident,capable_of,happen_on_toll_road
accident,capable_of,happen_to
accident,capable_of,happen_to_anybody
accident,capable_of,happen_to_careless_driver
accident,capable_of,happen_to_clumsy_person
accident,capable_of,hold_up_traffic
accident,capable_of,result_in_fatality
accident,capable_of,slow_down_traffic
accident,capable_of,slow_traffic
accident,capable_of,stop_traffic
accident,capable_of,tie_up_traffic
accident_while_driving,capable_of,car_wreck
accidents,capable_of,cause_injury
accidents,capable_of,cause_injury_and_death
accidents,capable_of,cause_traffic_jams
accidents,capable_of,happen_anytime
accidents,capable_of,happen_anywhere
accidents,capable_of,happen_easily
accidents,capable_of,happen_to
accidents,capable_of,happen_to_anybody
accidents,capable_of,happen_to_people
accidents,capable_of,hurt_people
accidents,capable_of,slow_traffic
accomodations,capable_of,hotels
accomplished_author,capable_of,word_message_just_right
accomplishment,capable_of,require_hard_work
account,capable_of,gain_earnings_from_investment
accountant,capable_of,add_figures
accountant,capable_of,book_returns
accountant,capable_of,complete_tax_return
accountant,capable_of,cook_books
accountant,capable_of,count_numbers
accountant,capable_of,count_profits
accountant,capable_of,note_error
accountant,capable_of,number_accounts
accountant,capable_of,prepare_income_taxes
accountants,capable_of,cook_books
accountants,capable_of,count_cash
accountants,capable_of,count_money
accountants,capable_of,doctor_financial_reports
accountants,capable_of,figupon_taxes
accountants,capable_of,figure_taxes
accusations,capable_of,shade_results
accused,capable_of,lie_to_court
acid,capable_of,burn_flesh
acid,capable_of,burn_skin
acid,capable_of,charge_mind
acid,capable_of,destroy_tissue
acid,capable_of,ruin_many_things
acid_content_of_cranberry_juice,capable_of,help_cleanse_bladder
acid_indigestion,capable_of,cause_heartburn
aciphex,capable_of,free_of_symptoms_of_heartburn
acne_medication,capable_of,dry_skin
acorn,capable_of,produce_oak
acorns,capable_of,fall_from_oak_trees
acrobats,capable_of,walk_upside_down
acrobats,capable_of,work_alone_or_together
act_of_forgiveness,capable_of,absolve_of_shame
acting_president,capable_of,chair_meeting
acting_treasurer,capable_of,report_on_finances
action,capable_of,cause_change
action,capable_of,cause_effect
action,capable_of,result_in_reaction
action_figures,capable_of,entertain_children
actions,capable_of,give_meaning_to_beliefs
activilty_many_people,capable_of,do_play_music
activist,capable_of,battle_multinational_corporations
activist,capable_of,fight_government
activist,capable_of,forward_cause_to_politician
activist,capable_of,go_into_court
activist,capable_of,raise_consciousness
activist,capable_of,shake_things_up
activists,capable_of,starting_ruckus
activity,capable_of,near_end
actor,capable_of,act_badly
actor,capable_of,act_in_play
actor,capable_of,act_poorly
actor,capable_of,act_scene_in_play
actor,capable_of,appear_in_movie
actor,capable_of,appearing_at_theater
actor,capable_of,branch_out
actor,capable_of,cake_on_make_up
actor,capable_of,enter_scene
actor,capable_of,face_audience
actor,capable_of,milk_part
actor,capable_of,picture_scene
actor,capable_of,picture_scenery
actor,capable_of,play_part
actor,capable_of,present_award
actor,capable_of,pretend
actor,capable_of,put_on_costume
actor,capable_of,sign_name
actor,capable_of,sing_songs
actor,capable_of,star_in_broadway_show
actor,capable_of,star_in_film
actor,capable_of,star_in_movie
actor,capable_of,star_in_play
actor,capable_of,star_in_television_show
actor,capable_of,star_movie
actor,capable_of,wear_costume
actors,capable_of,act_badly
actors,capable_of,act_in_movie
actors,capable_of,crying_on_screen
actors,capable_of,expect_praise_from_audience
actors,capable_of,mimic_unhealthy_people
actors,capable_of,present_performance
actors,capable_of,remember_lines
actors,capable_of,sign_autographs
actors,capable_of,star_in_films
actors,capable_of,star_in_moview
actors,capable_of,strike_set
actors,capable_of,work_in_theater
actress,capable_of,cry_convincingly_on_cue
actress,capable_of,further_career
actress,capable_of,star_in_film
actress,capable_of,star_in_movie
actress,capable_of,star_in_play
actress,capable_of,star_in_shakespeare_play
actress,capable_of,star_in_show
actress,capable_of,study_lines
actresses,capable_of,star_in_movies
acts_of_kindness,capable_of,include_shoveling_snow_from_sidewalk
acupressurist,capable_of,press_fingers_on_another_person
addict,capable_of,need_drugs
adding_one_block,capable_of,even_two_towers
adding_water,capable_of,thin_liquid
adding_water,capable_of,thin_other_liquids
addition_of_energy,capable_of,cause_physical_object_to_burn
address_labels,capable_of,come_in_rolls
adele,capable_of,lay_blanket_on_ground
adhesive,capable_of,stick_labels_on_folders
adhesive_tape,capable_of,bind
adjective,capable_of,agree_with_noun
administrator,capable_of,head_research_group
adolescent,capable_of,act_childish
adolescent_boy,capable_of,eye_pretty_girl
adornment,capable_of,draw_attention
adroit_leader,capable_of,right_situation
adult,capable_of,act_like_child
adult,capable_of,dress_herself
adult,capable_of,dress_himself
adult,capable_of,drink_beer
adult,capable_of,drive_car
adult,capable_of,drive_train
adult,capable_of,explain_rules_to_child
adult,capable_of,feed_and_take_care_of_itself
adult,capable_of,gift_knowledge_to_child
adult,capable_of,hand_toy_to_child
adult,capable_of,help_child
adult,capable_of,keep_property
adult,capable_of,lead_child_by_hand
adult,capable_of,learn_to_mend_ways
adult,capable_of,marry
adult,capable_of,read_to_child
adult,capable_of,remember_childhood
adult,capable_of,settle_childrens_argument
adult,capable_of,sign_contract
adult,capable_of,sign_form
adult,capable_of,sleep_for_average_of_hours
adult,capable_of,use_lawn_mower
adult,capable_of,wait_to_go_to_bathroom
adult,capable_of,work
adult_birds,capable_of,feed_chicks
adult_child,capable_of,care_for_elderly_parents
adult_male,capable_of,grow_beard
adult_person,capable_of,smoke_cigarette
adulterers,capable_of,leave_in_hurry
adultery,capable_of,destroy_marriages
adults,capable_of,act_like_infants
adults,capable_of,care_for_babies
adults,capable_of,carry_infants
adults,capable_of,count
adults,capable_of,demand_respect_from_children
adults,capable_of,dress_themselves
adults,capable_of,drink_beer
adults,capable_of,drive_vehicle
adults,capable_of,eat_sushi
adults,capable_of,fail_to_pass_test
adults,capable_of,fight_like_children
adults,capable_of,mother_children
adults,capable_of,own_autos
adults,capable_of,smoke_cigarettes
adults,capable_of,tell_right_from_wrong
adults,capable_of,wonder_about_alot_of_things
adventuresome_person,capable_of,desire_to_see_new_places
adventurous_person,capable_of,scuba_dive
advertisements,capable_of,annoy
advertiser,capable_of,market_product
advertisers,capable_of,market_products
advertising,capable_of,increase_demand
advertising_agency,capable_of,market_product
advesary,capable_of,gain_upper_hand
adveturer,capable_of,discover_routes_to_new_places
advocate,capable_of,push_idea
aerobics_classes,capable_of,last_for_hour
aeroplane,capable_of,bank_to_left
aeroplane,capable_of,circle_airfield
aeroplane,capable_of,land_on_runway
aeroplanes,capable_of,carry_cars
aeroplanes,capable_of,carry_helicopters
aeroplanes,capable_of,carry_other_aeroplanes
aeroplanes,capable_of,travel_quickly
affair,capable_of,destroy_relationship
afghan,capable_of,growing_poppies
afraid,capable_of,head_for_hills
after_eat,capable_of,clean_face_with_napkin
after_exam,capable_of,go_to_restaraunt_to_celebrate
after_falling_in_love,capable_of,get_married
after_interview,capable_of,shoe_crowd_away
after_long_day_feet,capable_of,hurt
after_one_cooks_potatoes,capable_of,mash
after_play,capable_of,go_to_eatery_for_lunch
after_puberty_male,capable_of,father_child
age,capable_of,best_beauty
agency,capable_of,fine_company
agent,capable_of,ask_whether_to_perform_task
agent,capable_of,book_nightclub_act
agent,capable_of,book_ticket
agent,capable_of,close_deal_for_client
agent,capable_of,plant_information
agent,capable_of,start_to_act
agents,capable_of,list_houses
aggressive_person,capable_of,start_argument
aggrieved,capable_of,air_grievances
agile_boxer,capable_of,duck_punch
agile_person,capable_of,turn_on_dime
agile_vehicle,capable_of,bank_hard_into_turn
aging_boxer,capable_of,hang_up
agoraphobes,capable_of,fear_open_spaces
agoraphobia,capable_of,run_in_families
agoraphobic,capable_of,fear_open_spaces
agorophobe,capable_of,fear_to_leave_house
agressive_person,capable_of,push_around
ai,capable_of,learn_common_sense
ai,capable_of,play_chess_against_human
ai_software,capable_of,learn_few_things
aid_agencies,capable_of,feed_thousands_of_starving_people
aide,capable_of,offer_to_help
aids_virus,capable_of,infect_sexually_active_person
air,capable_of,blow_hard
air,capable_of,compressed_ina_can
air,capable_of,dissolve_in_water
air,capable_of,dry_clothes_hung_on_clothesline
air,capable_of,dry_paint
air,capable_of,raise_titanic
air,capable_of,transport_energy
air_brakes,capable_of,slow_tractor_trailers
air_compressor,capable_of,blow_air
air_conditioner,capable_of,cool_car
air_conditioner,capable_of,cool_or_warm_air
air_conditioner_repair_person,capable_of,service_air_conditioner
air_conditioning,capable_of,cool_hot_room
air_conditioning,capable_of,cool_house
air_force_jet,capable_of,strike_target
air_pollution,capable_of,damage_buildings_and_make_people_sick
air_pump,capable_of,help_to_make_basketball_better
air_traffic_control,capable_of,direct_airplanes_to_runways
air_traffic_controller,capable_of,talk_on_tower_frequency
air_traffic_controllers,capable_of,hand_off_to_other_controllers
aircraft,capable_of,drop_bomb
aircraft,capable_of,land_on_runway
aircraft_carrier,capable_of,carry_aircraft
airliners,capable_of,land_at_airport
airplane,capable_of,arrive_at_airport
airplane,capable_of,bank_quickly
airplane,capable_of,carry_immigrants
airplane,capable_of,circle_airfield
airplane,capable_of,circle_airport
airplane,capable_of,circle_airport_before_landing
airplane,capable_of,circle_around_airport
airplane,capable_of,crash_if_goes_wrong
airplane,capable_of,cross_ocean
airplane,capable_of,fly_upwards
airplane,capable_of,land_at_airstrip
airplane,capable_of,land_in_field
airplane,capable_of,land_on_landing_strip
airplane,capable_of,lift_person
airplane,capable_of,reach_destination
airplane,capable_of,roll_down_runway
airplane,capable_of,seat_passengers
airplane,capable_of,travel_across_world
airplane,capable_of,travel_faster_than_car
airplane,capable_of,travel_through_many_time_zones
airplane_engine,capable_of,die_causing_plane_to_crash
airplane_seat,capable_of,reclined
airplane_seats,capable_of,recline
airplanes,capable_of,accelerate
airplanes,capable_of,arrive_at_airports
airplanes,capable_of,arrive_late
airplanes,capable_of,bomb
airplanes,capable_of,carry_freight
airplanes,capable_of,carry_people
airplanes,capable_of,catch_on_fire
airplanes,capable_of,circle_airport
airplanes,capable_of,crash
airplanes,capable_of,enter_hangar
airplanes,capable_of,fly_through_clouds
airplanes,capable_of,haul_freight_as_cargo
airplanes,capable_of,land_on_runways
airplanes,capable_of,leave_on_time
airplanes,capable_of,lower_landing_gear
airplanes,capable_of,near_airports
airplanes,capable_of,plan_to_bomb_targets
airplanes,capable_of,raise_landing_gear
airplanes,capable_of,raise_people
airplanes,capable_of,run_out_of_fuel
airplanes,capable_of,slow_down
airplanes,capable_of,speed_up
airplanes,capable_of,stall
airplanes,capable_of,taxi
airplanes,capable_of,traveling_faster
airplanes_and_moths,capable_of,both_fly
alan,capable_of,plant_begonias
alarm,capable_of,trigger_siren
alarm_clock,capable_of,go_on_night_table
alarm_clocks,capable_of,have_snooze_button
alchohol,capable_of,cloud_judgement
alchohol,capable_of,injested
alcohol,capable_of,burn
alcohol,capable_of,cause_to_snore
alcohol,capable_of,cloud_judgement
alcohol,capable_of,cloud_mind
alcohol,capable_of,come_in_bottle
alcohol,capable_of,destroy_friendships
alcohol,capable_of,fool
alcohol,capable_of,lead_to_drunken_behavior
alcohol,capable_of,lower_inhibitions
alcohol,capable_of,lower_intelligence_quotient
alcohol,capable_of,make_one_nostalgic
alcohol,capable_of,slow_thinking
alcoholic,capable_of,bottom_out
alcoholic,capable_of,drink_lot_of_booze
alcoholic_beverages,capable_of,drunk
alcoholism,capable_of,lead_to_sclerosis_of_liver
alert_captain,capable_of,right_ship
alert_jogger,capable_of,step_around_hole
alert_people,capable_of,notice_computers_learn
alert_person,capable_of,note_small_details
ali,capable_of,allow_ahmad_to_help
ali,capable_of,allow_others_to_help
ali,capable_of,ask_question
ali,capable_of,attempt_to_make_friends
ali,capable_of,believe_in_world_of_peace
ali,capable_of,blowing_candle
