overlay_type,subject,predicate,object,definition,source_page,evidence_text,evidence_span,stability,risk,trust,candidate_source,extraction_pattern,confidence_label
overlay_relation,Bloomberg L.P.,located_in,"Midtown Manhattan, New York City",,Bloomberg L.P.,"Bloomberg L.P. is an American privately held financial, software, data, and media company headquartered in Midtown Manhattan, New York City.","Bloomberg L.P. is an American privately held financial, software, data, and media company headquartered in Midtown Manhattan, New York City.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,New Energy Finance,developed_by,Michael Liebreich,,Bloomberg L.P.,"New Energy Finance was created by Michael Liebreich in 2004, to provide news, data and analysis on carbon and clean energy markets.","New Energy Finance was created by Michael Liebreich in 2004, to provide news, data and analysis on carbon and clean energy markets.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,developed_by_v2,pattern_explicit
overlay_relation,Michael Liebreich,develops,New Energy Finance,,Bloomberg L.P.,"New Energy Finance was created by Michael Liebreich in 2004, to provide news, data and analysis on carbon and clean energy markets.","New Energy Finance was created by Michael Liebreich in 2004, to provide news, data and analysis on carbon and clean energy markets.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,develops_inverse_v2,pattern_explicit
overlay_definition,Bloomberg News,is_a,,American news agency,Bloomberg News,"Bloomberg News (originally Bloomberg Business News) is an American news agency headquartered in New York City, and a division of Bloomberg L.P. Content produced by Bloomberg News is disseminated through Bloomberg Terminals, Bloomberg Television, Bloomberg Radio, Bloomberg Businessweek, Bloomberg Markets, Bloomberg.com, and Bloomberg's mobile platforms.","Bloomberg News (originally Bloomberg Business News) is an American news agency headquartered in New York City, and a division of Bloomberg L.P. Content produced by Bloomberg News is disseminated through Bloomberg Terminals, Bloomberg Television, Bloomberg Radio, Bloomberg Businessweek, Bloomberg Markets, Bloomberg.com, and Bloomberg's mobile platforms.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,American news agency,headquartered_in,New York City,,Bloomberg News,"Bloomberg News (originally Bloomberg Business News) is an American news agency headquartered in New York City, and a division of Bloomberg L.P. Content produced by Bloomberg News is disseminated through Bloomberg Terminals, Bloomberg Television, Bloomberg Radio, Bloomberg Businessweek, Bloomberg Markets, Bloomberg.com, and Bloomberg's mobile platforms.","Bloomberg News (originally Bloomberg Business News) is an American news agency headquartered in New York City, and a division of Bloomberg L.P. Content produced by Bloomberg News is disseminated through Bloomberg Terminals, Bloomberg Television, Bloomberg Radio, Bloomberg Businessweek, Bloomberg Markets, Bloomberg.com, and Bloomberg's mobile platforms.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,headquartered_in_v2,pattern_explicit
overlay_relation,Bloomberg News,located_in,New York City,,Bloomberg News,"Bloomberg News (originally Bloomberg Business News) is an American news agency headquartered in New York City, and a division of Bloomberg L.P. Content produced by Bloomberg News is disseminated through Bloomberg Terminals, Bloomberg Television, Bloomberg Radio, Bloomberg Businessweek, Bloomberg Markets, Bloomberg.com, and Bloomberg's mobile platforms.","Bloomberg News (originally Bloomberg Business News) is an American news agency headquartered in New York City, and a division of Bloomberg L.P. Content produced by Bloomberg News is disseminated through Bloomberg Terminals, Bloomberg Television, Bloomberg Radio, Bloomberg Businessweek, Bloomberg Markets, Bloomberg.com, and Bloomberg's mobile platforms.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_definition,"Blue Origin Enterprises, L.P.",is_a,,private American space technology company,Blue Origin,"Blue Origin Enterprises, L.P. is a private American space technology company headquartered in Kent, Washington.","Blue Origin Enterprises, L.P. is a private American space technology company headquartered in Kent, Washington.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,L.P. is a private American space technology company,headquartered_in,Kent,,Blue Origin,"Blue Origin Enterprises, L.P. is a private American space technology company headquartered in Kent, Washington.","Blue Origin Enterprises, L.P. is a private American space technology company headquartered in Kent, Washington.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,headquartered_in_v2,pattern_explicit
overlay_relation,Blue Origin,located_in,"Kent, Washington",,Blue Origin,"Blue Origin Enterprises, L.P. is a private American space technology company headquartered in Kent, Washington.","Blue Origin Enterprises, L.P. is a private American space technology company headquartered in Kent, Washington.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_definition,Cape Canaveral Space Force Station,is_a,,installation of the United States Space Force's Space Launch Delta 45,Cape Canaveral Space Force Station,"Cape Canaveral Space Force Station (CCSFS) is an installation of the United States Space Force's Space Launch Delta 45, located on Cape Canaveral in Brevard County, Florida.","Cape Canaveral Space Force Station (CCSFS) is an installation of the United States Space Force's Space Launch Delta 45, located on Cape Canaveral in Brevard County, Florida.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,Cape Canaveral Space Force Station,located_in,"Brevard County, Florida",,Cape Canaveral Space Force Station,"Cape Canaveral Space Force Station (CCSFS) is an installation of the United States Space Force's Space Launch Delta 45, located on Cape Canaveral in Brevard County, Florida.","Cape Canaveral Space Force Station (CCSFS) is an installation of the United States Space Force's Space Launch Delta 45, located on Cape Canaveral in Brevard County, Florida.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Commercial Crew Program,located_in,Alliant Techsystems's proposal,,Commercial Crew Program,"While Alliant Techsystems's integrated Liberty launch vehicle and spacecraft was a finalist, it was rejected due to concerns about the lack of detail in Alliant Techsystems's proposal.","While Alliant Techsystems's integrated Liberty launch vehicle and spacecraft was a finalist, it was rejected due to concerns about the lack of detail in Alliant Techsystems's proposal.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Elon Reeve Musk,located_in,"Pretoria, South Africa's administrative capital",,Elon Musk,"Elon Reeve Musk was born on June 28, 1971, in Pretoria, South Africa's administrative capital.","Elon Reeve Musk was born on June 28, 1971, in Pretoria, South Africa's administrative capital.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Musk,located_in,Afrikaans and a B on his senior math certification,,Elon Musk,"Musk was a decent but unexceptional student, earning a 61/100 in Afrikaans and a B on his senior math certification.","Musk was a decent but unexceptional student, earning a 61/100 in Afrikaans and a B on his senior math certification.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Entrepreneurship,used_for,an entity,,Entrepreneurship,"In the field of economics, the term entrepreneur is used for an entity that has the ability to translate inventions or technologies into products and services.","In the field of economics, the term entrepreneur is used for an entity that has the ability to translate inventions or technologies into products and services.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,used_for_v2,pattern_explicit
overlay_definition,Falcon 1,is_a,,two-stage small-lift launch vehicle,Falcon 1,"Falcon 1 was a two-stage small-lift launch vehicle that was operated from 2006 to 2009 by SpaceX, an American aerospace manufacturer.","Falcon 1 was a two-stage small-lift launch vehicle that was operated from 2006 to 2009 by SpaceX, an American aerospace manufacturer.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,Falcon 1,uses,a large aircraft as its launch platform,,Falcon 1,"The only other orbital launch vehicles to be privately funded and developed were the Conestoga in 1982; and Pegasus, first launched in 1990, which uses a large aircraft as its launch platform.","The only other orbital launch vehicles to be privately funded and developed were the Conestoga in 1982; and Pegasus, first launched in 1990, which uses a large aircraft as its launch platform.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,uses_v2,pattern_explicit
overlay_relation,Falcon 1,uses,a high-speed drogue chute and a main chute,,Falcon 1,"The parachute system, built by Irvin Para­chute Corp­oration, uses a high-speed drogue chute and a main chute.","The parachute system, built by Irvin Para­chute Corp­oration, uses a high-speed drogue chute and a main chute.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,uses_v2,pattern_explicit
overlay_relation,Falcon 1,used_for,zero-g propellant accumulation prior to engine restart,,Falcon 1,"The helium pressurization system pumps propellant to the engine, supplies heated pressurized gas for the attitude control thrusters, and is used for zero-g propellant accumulation prior to engine restart.","The helium pressurization system pumps propellant to the engine, supplies heated pressurized gas for the attitude control thrusters, and is used for zero-g propellant accumulation prior to engine restart.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,used_for_v2,pattern_explicit
overlay_definition,Falcon 9,is_a,,partially reusable,Falcon 9,"Falcon 9 is a partially reusable, two-stage-to-orbit, medium-lift launch vehicle designed and manufactured in the United States by SpaceX.","Falcon 9 is a partially reusable, two-stage-to-orbit, medium-lift launch vehicle designed and manufactured in the United States by SpaceX.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,Falcon 9,located_in,"McGregor, Texas",,Falcon 9,"In October 2009, the first flight-ready all-engine test fire was at its test facility in McGregor, Texas.","In October 2009, the first flight-ready all-engine test fire was at its test facility in McGregor, Texas.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Forbes,located_in,Forbes as a result of the SPAC flotation,,Forbes,"In February 2022, it was announced that Cryptocurrency exchange Binance would acquire a $200 million stake in Forbes as a result of the SPAC flotation.","In February 2022, it was announced that Cryptocurrency exchange Binance would acquire a $200 million stake in Forbes as a result of the SPAC flotation.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_definition,Fortune 500,is_a,,annual list compiled,Fortune 500,The Fortune 500 is an annual list compiled and published by Fortune magazine that ranks 500 of the largest United States corporations by total revenue for their respective fiscal years.,The Fortune 500 is an annual list compiled and published by Fortune magazine that ranks 500 of the largest United States corporations by total revenue for their respective fiscal years.,stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_definition,Hyperloop,is_a,,proposed high-speed transportation system for both passengers,Hyperloop,Hyperloop was a proposed high-speed transportation system for both passengers and freight.,Hyperloop was a proposed high-speed transportation system for both passengers and freight.,stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,ISS,provides,"a platform to conduct scientific research, with power, data, cooling, and crew available to support experiments",,International Space Station,"The ISS provides a platform to conduct scientific research, with power, data, cooling, and crew available to support experiments.","The ISS provides a platform to conduct scientific research, with power, data, cooling, and crew available to support experiments.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,provides_v2,pattern_explicit
overlay_relation,Mailbox providers A mailbox provider is an organization,provides,services for hosting electronic mail domains with access to storage for mail boxes,,Internet service provider,Mailbox providers A mailbox provider is an organization that provides services for hosting electronic mail domains with access to storage for mail boxes.,Mailbox providers A mailbox provider is an organization that provides services for hosting electronic mail domains with access to storage for mail boxes.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,provides_v2,pattern_explicit
overlay_relation,Internet service provider,provides,"email servers to send, receive, accept, and store email for end users or other organizations",,Internet service provider,"It provides email servers to send, receive, accept, and store email for end users or other organizations.","It provides email servers to send, receive, accept, and store email for end users or other organizations.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,provides_v2,pattern_explicit
overlay_definition,Jeffrey Preston Bezos,is_a,,American businessman,Jeff Bezos,"Jeffrey Preston Bezos ( BAY-zohss; né Jorgensen; born January 12, 1964) is an American businessman, and the founder, executive chairman, and former president and CEO of Amazon, the world's largest e-commerce and cloud computing company.","Jeffrey Preston Bezos ( BAY-zohss; né Jorgensen; born January 12, 1964) is an American businessman, and the founder, executive chairman, and former president and CEO of Amazon, the world's largest e-commerce and cloud computing company.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,Bezos,located_in,Albuquerque,,Jeff Bezos,"Bezos was born in Albuquerque, and raised in Houston and Miami.","Bezos was born in Albuquerque, and raised in Houston and Miami.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Ted,located_in,Chicago to a family of Baptists,,Jeff Bezos,Ted was a Danish American unicyclist born in Chicago to a family of Baptists.,Ted was a Danish American unicyclist born in Chicago to a family of Baptists.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Jeff's maternal grandfather,located_in,Albuquerque,,Jeff Bezos,"Jeff's maternal grandfather was Lawrence Preston Gise, a regional director of the U.S. Atomic Energy Commission (AEC) in Albuquerque.","Jeff's maternal grandfather was Lawrence Preston Gise, a regional director of the U.S. Atomic Energy Commission (AEC) in Albuquerque.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Kennedy Space Center,construction_started,November 1962,,Kennedy Space Center,"Construction began in November 1962, and Kennedy visited the site twice in 1962, and again just a week before his assassination on November 22, 1963.","Construction began in November 1962, and Kennedy visited the site twice in 1962, and again just a week before his assassination on November 22, 1963.",stable,low,overlay_candidate,pump_extraction_yield_v2,construction_started_v2,pattern_explicit
overlay_definition,LVMH Moet Hennessy Louis Vuitton SE,is_a,,French multinational holding company,LVMH,LVMH Moet Hennessy Louis Vuitton SE is a French multinational holding company and conglomerate that specializes in luxury goods and has its headquarters in Paris.,LVMH Moet Hennessy Louis Vuitton SE is a French multinational holding company and conglomerate that specializes in luxury goods and has its headquarters in Paris.,stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,LVMH Moet Hennessy Louis Vuitton SE,located_in,Paris,,LVMH,LVMH Moet Hennessy Louis Vuitton SE is a French multinational holding company and conglomerate that specializes in luxury goods and has its headquarters in Paris.,LVMH Moet Hennessy Louis Vuitton SE is a French multinational holding company and conglomerate that specializes in luxury goods and has its headquarters in Paris.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,"Make Up For Ever was established in 1984, and it",owned_by,LVMH,,LVMH,"Make Up For Ever was established in 1984, and it was acquired by LVMH in 1999.","Make Up For Ever was established in 1984, and it was acquired by LVMH in 1999.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,acquired_by_v2,pattern_explicit
overlay_relation,LVMH,located_in,Paris,,LVMH,"On 12 May 2019, the fashion house Fenty, created by Barbadian singer Rihanna, was launched by LVMH in Paris.","On 12 May 2019, the fashion house Fenty, created by Barbadian singer Rihanna, was launched by LVMH in Paris.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_definition,Lawrence Joseph Ellison,is_a,,American businessman,Larry Ellison,"Lawrence Joseph Ellison (born August 17, 1944) is an American businessman.","Lawrence Joseph Ellison (born August 17, 1944) is an American businessman.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,Larry Ellison,located_in,New York City,,Larry Ellison,"Early life and education Ellison was born on August 17, 1944, in New York City.","Early life and education Ellison was born on August 17, 1944, in New York City.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Lithium-ion battery,alias,"""rocking-chair batteries"" or ""swing batteries"" (a term given by some European industries)",,Lithium-ion battery,"As the lithium ions ""rock"" back and forth between the two electrodes, these batteries are also known as ""rocking-chair batteries"" or ""swing batteries"" (a term given by some European industries).","As the lithium ions ""rock"" back and forth between the two electrodes, these batteries are also known as ""rocking-chair batteries"" or ""swing batteries"" (a term given by some European industries).",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,alias_v2,pattern_explicit
overlay_relation,Low Earth orbit,provides,high bandwidth and low communication latency,,Low Earth orbit,It provides high bandwidth and low communication latency.,It provides high bandwidth and low communication latency.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,provides_v2,pattern_explicit
overlay_relation,Low Earth orbit,used_for,"many communication applications, such as the Iridium phone system",,Low Earth orbit,"Since it requires less energy to place a satellite into a LEO, and a satellite there needs less powerful amplifiers for successful transmission, LEO is used for many communication applications, such as the Iridium phone system.","Since it requires less energy to place a satellite into a LEO, and a satellite there needs less powerful amplifiers for successful transmission, LEO is used for many communication applications, such as the Iridium phone system.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,used_for_v2,pattern_explicit
overlay_definition,Mars,is_a,,fourth planet from the Sun,Mars,Mars is the fourth planet from the Sun.,Mars is the fourth planet from the Sun.,stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_definition,Michael Rubens Bloomberg,is_a,,American businessman,Michael Bloomberg,"Michael Rubens Bloomberg (born February 14, 1942) is an American businessman and politician.","Michael Rubens Bloomberg (born February 14, 1942) is an American businessman and politician.",stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,Bloomberg Center at the Harvard Business School,located_in,William Henry's honor,,Michael Bloomberg,The Bloomberg Center at the Harvard Business School was named in William Henry's honor.,The Bloomberg Center at the Harvard Business School was named in William Henry's honor.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Bloomberg's family,located_in,Manhattan,,Michael Bloomberg,"Bloomberg's family is Jewish, and he is a member of the Temple Emanu-El in Manhattan.","Bloomberg's family is Jewish, and he is a member of the Temple Emanu-El in Manhattan.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Michael Bloomberg,located_in,New York to Lithuanian Jewish parents,,Michael Bloomberg,"Bloomberg's maternal grandfather, Max Rubens, was a Lithuanian Jewish immigrant from present-day Belarus, and his maternal grandmother was born in New York to Lithuanian Jewish parents.","Bloomberg's maternal grandfather, Max Rubens, was a Lithuanian Jewish immigrant from present-day Belarus, and his maternal grandmother was born in New York to Lithuanian Jewish parents.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_definition,National Aeronautics and Space Administration,is_a,,independent agency of the U,NASA,The National Aeronautics and Space Administration (NASA ) is an independent agency of the U.S. federal government responsible for the United States' civil space program and for research in aeronautics and space.,The National Aeronautics and Space Administration (NASA ) is an independent agency of the U.S. federal government responsible for the United States' civil space program and for research in aeronautics and space.,stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,"Nasdaq, Inc.",founded_by,National Association,,Nasdaq,"Nasdaq, Inc. was founded in 1971 by the National Association of Securities Dealers (NASD), now known as the Financial Industry Regulatory Authority (FINRA).","Nasdaq, Inc. was founded in 1971 by the National Association of Securities Dealers (NASD), now known as the Financial Industry Regulatory Authority (FINRA).",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,founded_by_v2,pattern_explicit
overlay_relation,"Nasdaq, Inc.",founded_by,Securities Dealers,,Nasdaq,"Nasdaq, Inc. was founded in 1971 by the National Association of Securities Dealers (NASD), now known as the Financial Industry Regulatory Authority (FINRA).","Nasdaq, Inc. was founded in 1971 by the National Association of Securities Dealers (NASD), now known as the Financial Industry Regulatory Authority (FINRA).",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,founded_by_v2,pattern_explicit
overlay_definition,Neuralink Corp.,is_a,,American neurotechnology company,Neuralink,Neuralink Corp. is an American neurotechnology company that is developing implantable brain-computer interfaces (BCIs).,Neuralink Corp. is an American neurotechnology company that is developing implantable brain-computer interfaces (BCIs).,stable,low,overlay_candidate,pump_extraction_yield_v2,lead_definition_v2,pattern_explicit
overlay_relation,Neuralink,founded_by,Elon Musk,,Neuralink,"Neuralink was founded in 2016 by Elon Musk and a founding team of eight scientists and engineers: Max Hodak, Benjamin Rapoport, Dongjin Seo, Paul Merolla, Philip Sabes, Tim Gardner, Tim Hanson, and Vanessa Tolosa.","Neuralink was founded in 2016 by Elon Musk and a founding team of eight scientists and engineers: Max Hodak, Benjamin Rapoport, Dongjin Seo, Paul Merolla, Philip Sabes, Tim Gardner, Tim Hanson, and Vanessa Tolosa.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,founded_by_v2,pattern_explicit
overlay_relation,Neuralink,founded_by,Max Hodak,,Neuralink,"Neuralink was founded in 2016 by Elon Musk and a founding team of eight scientists and engineers: Max Hodak, Benjamin Rapoport, Dongjin Seo, Paul Merolla, Philip Sabes, Tim Gardner, Tim Hanson, and Vanessa Tolosa.","Neuralink was founded in 2016 by Elon Musk and a founding team of eight scientists and engineers: Max Hodak, Benjamin Rapoport, Dongjin Seo, Paul Merolla, Philip Sabes, Tim Gardner, Tim Hanson, and Vanessa Tolosa.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,founded_by_v2,pattern_explicit
overlay_relation,NYSE,alias,"""the Big Board"")",,New York Stock Exchange,"The New York Stock Exchange (NYSE, nicknamed ""the Big Board"") is an American stock exchange headquartered at the New York Stock Exchange Building in the Financial District of Lower Manhattan in New York City.","The New York Stock Exchange (NYSE, nicknamed ""the Big Board"") is an American stock exchange headquartered at the New York Stock Exchange Building in the Financial District of Lower Manhattan in New York City.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,alias_v2,pattern_explicit
overlay_relation,New York Stock Exchange,located_in,New York City,,New York Stock Exchange,"The New York Stock Exchange (NYSE, nicknamed ""the Big Board"") is an American stock exchange headquartered at the New York Stock Exchange Building in the Financial District of Lower Manhattan in New York City.","The New York Stock Exchange (NYSE, nicknamed ""the Big Board"") is an American stock exchange headquartered at the New York Stock Exchange Building in the Financial District of Lower Manhattan in New York City.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,NYSE,owned_by,Intercontinental Exchange,,New York Stock Exchange,"The NYSE is owned by Intercontinental Exchange, an American holding company that it also lists (ticker symbol ICE).","The NYSE is owned by Intercontinental Exchange, an American holding company that it also lists (ticker symbol ICE).",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,owned_by_v2,pattern_explicit
overlay_relation,OpenAI,located_in,Delaware as a nonprofit,,OpenAI,OpenAI was founded in 2015 in Delaware as a nonprofit.,OpenAI was founded in 2015 in Delaware as a nonprofit.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,OpenAI,provides,Azure cloud computing resources,,OpenAI,"Microsoft previously invested over $13 billion into OpenAI, and provides Azure cloud computing resources.","Microsoft previously invested over $13 billion into OpenAI, and provides Azure cloud computing resources.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,provides_v2,pattern_explicit
overlay_relation,"OpenAI employees, and investors, whereas OpenAI Global, LLC,",owned_by,OpenAI LP,,OpenAI,"OpenAI formed three subsidiaries: the holding company OpenAI LP, the holding company OpenAI GP LLC, and the capped for-profit company OpenAI Global, LLC. The holding company OpenAI LP was owned by the nonprofit OpenAI, Inc., OpenAI employees, and investors, whereas OpenAI Global, LLC, was owned by OpenAI LP and Microsoft, the latter of which had a minority non-voting stake.","OpenAI formed three subsidiaries: the holding company OpenAI LP, the holding company OpenAI GP LLC, and the capped for-profit company OpenAI Global, LLC. The holding company OpenAI LP was owned by the nonprofit OpenAI, Inc., OpenAI employees, and investors, whereas OpenAI Global, LLC, was owned by OpenAI LP and Microsoft, the latter of which had a minority non-voting stake.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,owned_by_v2,pattern_explicit
