row_id,term,expected_sense,selected_sense,confidence,decision,primary_audit_reason,secondary_reasons,suggested_next_action,prompt
v1-066,seal,closure_stamp,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The seal on the ocean themed document needed wax to
v1-068,crane,bird,,0.4,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The crane at the construction site spread its wings over the lake and
v1-069,spring,season,,0.4,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The spring warmed the garden after the metal device
v1-070,spring,coil,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The spring in April compressed inside the mechanism and
v1-071,rock,music,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The rock from the mountain was carried onto the stage before
v1-073,bank,financial_institution,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The teller crossed the river to reach the bank and open
v1-074,bank,river_edge,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The credit card floated to the bank where the boat
v1-075,bat,sports_equipment,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The animal expert handed the bat to the player before the game
v1-076,bat,animal,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The game paused when the bat in the cave opened its wings and
v1-078,seal,closure_stamp,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The flippers logo sat under the official seal on the package
v1-079,crane,machine,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The bird shaped crane at the site moved the steel
v1-080,crane,bird,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The operator photographed the crane as the bird crossed the lake
v1-081,bank,financial_institution,,0.0,audit,true_unsafe,,keep audit,The bank was not beside a river so the clerk prepared to
v1-082,bank,river_edge,,0.0,audit,true_unsafe,,keep audit,The bank was not a place for money as the hikers slid down to
v1-083,bat,sports_equipment,,0.0,audit,true_unsafe,,keep audit,The bat was not an animal because the batter raised it to
v1-085,seal,closure_stamp,,0.0,audit,true_unsafe,,keep audit,The seal was not an animal when the clerk pressed it onto the form to
v1-086,seal,animal,,0.0,audit,true_unsafe,,keep audit,The seal was not a stamp as it surfaced beside the pier and
v1-088,crane,bird,,0.5,audit,true_unsafe,,keep audit,The crane was not at a construction site as it crossed the reeds and
v1-089,spring,coil,,0.0,audit,true_unsafe,,keep audit,The spring was not warm weather because the latch pushed it back and
v1-090,spring,season,,0.0,audit,true_unsafe,,keep audit,The spring was not a metal device after the thaw made the fields
v1-091,rock,music,,0.0,audit,true_unsafe,,keep audit,The rock was not a stone after the guitarist tuned up and
v1-092,rock,stone,,0.0,audit,true_unsafe,,keep audit,The rock was not a song as it scraped his boot and
v1-093,bank,river_edge,,0.0,audit,true_unsafe,,keep audit,The bank was not about credit when the canoe scraped it and
v1-094,bat,sports_equipment,,0.0,audit,true_unsafe,,keep audit,The bat was not flying when the player set it beside home plate and
v1-096,bank,financial_institution,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The river mural covered the bank lobby as the teller
v1-097,bank,river_edge,,0.5,audit,missing_or_weak_cue_support,,add cue memory,A cash wrapper floated to the bank where reeds
v1-098,bat,sports_equipment,,0.0,audit,missing_or_weak_cue_support,,add cue memory,The cave logo was painted on the bat before the player
v1-099,bat,animal,,0.0,audit,missing_or_weak_cue_support,,add cue memory,The injured player pointed at the bat above the rafters as it
v1-100,seal,closure_stamp,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The ocean blue seal on the envelope began to
v1-101,seal,animal,,0.4,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The package label showed a seal swimming as the animal
v1-102,crane,machine,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The marsh exhibit used a crane to lift scenery while the operator
v1-103,crane,bird,,0.5,audit,missing_or_weak_cue_support,,add cue memory,The steel sculpture looked like a crane until the bird
v1-104,spring,coil,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The flowers painted on the spring inside the device
v1-105,spring,season,,0.5,audit,missing_or_weak_cue_support,,add cue memory,The metal sign announced spring as rain
v1-106,rock,music,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",The mountain venue shook when the rock band
v1-107,rock,stone,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,After the concert the rock on the ground
v1-108,seal,closure_stamp,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The fish emblem sat under the seal on the document
v1-109,bank,river_edge,,0.5,audit,low_margin,sense_tie,"add cue / anti-cue memory or tune sense evidence, not thresholds",A credit card lay on the bank beside the stream
v1-111,bank,,,0.0,audit,unsupported_or_underconstrained_context,,keep audit by default,He went to the bank and
v1-112,bat,,,0.0,audit,unsupported_or_underconstrained_context,,keep audit by default,She noticed the bat and
v1-113,seal,,,0.0,audit,unsupported_or_underconstrained_context,,keep audit by default,They checked the seal before
v1-114,crane,,,0.0,audit,unsupported_or_underconstrained_context,,keep audit by default,The crane stood nearby while
v1-115,spring,,,0.0,audit,unsupported_or_underconstrained_context,,keep audit by default,The spring returned and
v1-116,,,,0.0,audit,missing_sense_memory,,add sense entry / explicit memory,The teacher opened the notebook and
v1-117,,,,0.0,audit,missing_sense_memory,,add sense entry / explicit memory,The chef placed the bowl near the window and
v1-118,,,,0.0,audit,missing_sense_memory,,add sense entry / explicit memory,The driver waited at the corner before
v1-119,,,,0.0,audit,missing_sense_memory,,add sense entry / explicit memory,The painter mixed a pale color and
v1-120,,,,0.0,audit,missing_sense_memory,,add sense entry / explicit memory,The child folded the paper carefully and
