id,prompt,ambiguous_term,expected_sense,continuation,selected_sense,confidence,decision,reasons,memory_hits
11,The animal expert said the bat leaves the cave only at night,bat,animal,The animal expert said the bat leaves the cave only at night flew into the dark cave,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=cave -> animal | cue=night -> animal | cue=animal -> animal | selected_sense=animal
12,The baseball player picked up the bat and took a swing,bat,sports_equipment,The baseball player picked up the bat and took a swing hit the ball,sports_equipment,0.7500,continue,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=baseball -> sports_equipment | cue=player -> sports_equipment | cue=swing -> sports_equipment | selected_sense=sports_equipment
13,The bat cracked when he hit the ball during the game,bat,sports_equipment,The bat cracked when he hit the ball during the game hit the ball,sports_equipment,0.7500,continue,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=hit -> sports_equipment | cue=cracked -> sports_equipment | cue=game -> sports_equipment | selected_sense=sports_equipment
14,The player gripped the bat tightly before the final swing of the game,bat,sports_equipment,The player gripped the bat tightly before the final swing of the game hit the ball,sports_equipment,0.7500,continue,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=player -> sports_equipment | cue=swing -> sports_equipment | cue=game -> sports_equipment | selected_sense=sports_equipment
15,The seal swam through the ocean water chasing fish,seal,animal,The seal swam through the ocean water chasing fish swam through the cold water,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=ocean -> animal | cue=fish -> animal | cue=water -> animal | selected_sense=animal
16,At the zoo the seal clapped its flippers in the water,seal,animal,At the zoo the seal clapped its flippers in the water swam through the cold water,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=zoo -> animal | cue=flippers -> animal | cue=water -> animal | selected_sense=animal
17,She pressed the wax seal onto the envelope and the document,seal,closure_stamp,She pressed the wax seal onto the envelope and the document closed the envelope,closure_stamp,0.7500,continue,top_sense=closure_stamp | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=envelope -> closure_stamp | cue=document -> closure_stamp | cue=wax -> closure_stamp | selected_sense=closure_stamp
18,The official seal on the package matched the stamp on the document,seal,closure_stamp,The official seal on the package matched the stamp on the document closed the envelope,closure_stamp,0.8000,continue,top_sense=closure_stamp | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=seal | cue=document -> closure_stamp | cue=stamp -> closure_stamp | cue=official -> closure_stamp | cue=package -> closure_stamp | selected_sense=closure_stamp
19,The crane spread its wings and flew over the marsh,crane,bird,The crane spread its wings and flew over the marsh flew over the marsh,bird,0.7500,continue,top_sense=bird | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=wings -> bird | cue=marsh -> bird | cue=flew -> bird | selected_sense=bird
20,A crane built a nest near the lake where the bird stood still,crane,bird,A crane built a nest near the lake where the bird stood still flew over the marsh,bird,0.7500,continue,top_sense=bird | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=bird -> bird | cue=nest -> bird | cue=lake -> bird | selected_sense=bird
21,The crane at the construction site lifted a steel beam,crane,machine,The crane at the construction site lifted a steel beam lifted the steel beam,machine,0.8000,continue,top_sense=machine | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=crane | cue=construction -> machine | cue=lifted -> machine | cue=steel -> machine | cue=site -> machine | selected_sense=machine
22,The operator moved the crane above the building site,crane,machine,The operator moved the crane above the building site lifted the steel beam,machine,0.7500,continue,top_sense=machine | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=building -> machine | cue=operator -> machine | cue=site -> machine | selected_sense=machine
23,The man went to the bank to,bank,,,,0.0000,audit,all_sense_scores_zero,term=bank
24,The dog ran across the yard and,,,,,0.0000,audit,no_ambiguous_term,
