row_id,term,target_sense,prompt,expected_safe_behavior,expected_cue,risk_level,baseline_decision,baseline_selected_sense,baseline_continuation,provider_decision,provider_selected_sense,provider_continuation,baseline_reasons,provider_reasons,provider_memory_hits,changed,newly_continued,newly_audited,provider_influenced
kp-v1-018,bat,sports_equipment,He swung the bat at the pitch and drove the ball deep,continue,pitch,low,continue,sports_equipment,He swung the bat at the pitch and drove the ball deep and the player dropped it,continue,sports_equipment,He swung the bat at the pitch and drove the ball deep and the player dropped it,top_sense=sports_equipment | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=swung -> sports_equipment | positive_cue=swung -> sports_equipment | cue=ball -> sports_equipment | positive_cue=ball -> sports_equipment | cue=pitch -> sports_equipment | positive_cue=pitch -> sports_equipment | realization_type=neutral_extension | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the player dropped the bat | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=and the player dropped it | selected_sense=sports_equipment | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=ball -> bat:sports_equipment | provider_cue=pitch -> bat:sports_equipment,no,no,no,yes
kp-v1-019,bat,sports_equipment,The aluminum bat connected with the ball and the crowd cheered,continue,ball,low,audit,,,continue,sports_equipment,The aluminum bat connected with the ball and the crowd cheered and the player dropped it,all_sense_scores_zero,top_sense=sports_equipment | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=ball -> sports_equipment | positive_cue=ball -> sports_equipment | cue=aluminum -> sports_equipment | positive_cue=aluminum -> sports_equipment | realization_type=neutral_extension | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the player dropped the bat | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=and the player dropped it | selected_sense=sports_equipment | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=ball -> bat:sports_equipment | provider_cue=aluminum -> bat:sports_equipment,yes,yes,no,yes
kp-v1-020,bat,sports_equipment,The bat dropped from the cave roof as the batter stepped to the plate,audit,pitcher,medium,audit,,,audit,,,top_sense=sports_equipment | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,top_sense=sports_equipment | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=bat | cue=cave -> animal | positive_cue=cave -> animal | cue=batter -> sports_equipment | positive_cue=batter -> sports_equipment | cue=plate -> sports_equipment | positive_cue=plate -> sports_equipment | conflict_detected,no,no,no,no
kp-v1-021,seal,animal,The seal pup rested on the rocky coast near the water,continue,pup,low,continue,animal,The seal pup rested on the rocky coast near the water and dove below the surface,continue,animal,The seal pup rested on the rocky coast near the water and dove below the surface,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=water -> animal | positive_cue=water -> animal | cue=coast -> animal | positive_cue=coast -> animal | cue=pup -> animal | positive_cue=pup -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and dove below the surface | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=coast -> seal:animal | provider_cue=pup -> seal:animal,no,no,no,yes
kp-v1-022,seal,animal,A marine mammal like the seal hunts fish near the shore,continue,marine,low,continue,animal,A marine mammal like the seal hunts fish near the shore and swam through the cold water,continue,animal,A marine mammal like the seal hunts fish near the shore and swam through the cold water,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=fish -> animal | positive_cue=fish -> animal | cue=marine -> animal | positive_cue=marine -> animal | cue=mammal -> animal | positive_cue=mammal -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and swam through the cold water | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=marine -> seal:animal | provider_cue=mammal -> bat:animal,no,no,no,yes
kp-v1-023,seal,animal,The seal barked loudly as the orca approached the coast,continue,orca,low,audit,,,continue,animal,The seal barked loudly as the orca approached the coast and swam through the cold water,all_sense_scores_zero,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=seal | cue=coast -> animal | positive_cue=coast -> animal | cue=orca -> animal | positive_cue=orca -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and swam through the cold water | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=coast -> seal:animal | provider_cue=orca -> seal:animal,yes,yes,no,yes
kp-v1-024,seal,animal,Seals have strong flippers for swimming and diving in the ocean,continue,flipper,low,audit,,,audit,,,no_ambiguous_term,no_ambiguous_term,,no,no,no,no
kp-v1-025,seal,animal,The clerk pressed the official seal near the marine exhibit on the coast,audit,marine,medium,continue,closure_stamp,The clerk pressed the official seal near the marine exhibit on the coast and the wax hardened,audit,,,top_sense=closure_stamp | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=animal | top_score=2 | second_score=2 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=seal | cue=coast -> animal | positive_cue=coast -> animal | cue=marine -> animal | positive_cue=marine -> animal | cue=official -> closure_stamp | positive_cue=official -> closure_stamp | cue=clerk -> closure_stamp | positive_cue=clerk -> closure_stamp | conflict_detected | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=coast -> seal:animal | provider_cue=marine -> seal:animal,yes,no,yes,yes
kp-v1-026,seal,closure_stamp,The notary pressed the embossed seal onto the certificate,continue,notary,low,audit,,,continue,closure_stamp,The notary pressed the embossed seal onto the certificate and the wax hardened,all_sense_scores_zero,top_sense=closure_stamp | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=seal | cue=certificate -> closure_stamp | positive_cue=certificate -> closure_stamp | cue=notary -> closure_stamp | positive_cue=notary -> closure_stamp | realization_type=neutral_extension | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the wax hardened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=certificate -> seal:closure_stamp | provider_cue=notary -> seal:closure_stamp,yes,yes,no,yes
kp-v1-027,seal,closure_stamp,An airtight seal kept the jar closed during transport,continue,airtight,low,audit,,,continue,closure_stamp,An airtight seal kept the jar closed during transport and the wax hardened,all_sense_scores_zero,top_sense=closure_stamp | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=seal | cue=airtight -> closure_stamp | positive_cue=airtight -> closure_stamp | realization_type=neutral_extension | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the wax hardened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=airtight -> seal:closure_stamp,yes,yes,no,yes
kp-v1-028,seal,closure_stamp,The stamped seal on the official document was authentic,continue,stamped,low,continue,closure_stamp,The stamped seal on the official document was authentic and the wax hardened,continue,closure_stamp,The stamped seal on the official document was authentic and the wax hardened,top_sense=closure_stamp | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=closure_stamp | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=document -> closure_stamp | positive_cue=document -> closure_stamp | cue=official -> closure_stamp | positive_cue=official -> closure_stamp | cue=stamped -> closure_stamp | positive_cue=stamped -> closure_stamp | realization_type=neutral_extension | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the wax hardened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=stamped -> seal:closure_stamp,no,no,no,yes
kp-v1-029,seal,closure_stamp,The certificate required a notary seal and a clerk signature,continue,certificate,low,continue,closure_stamp,The certificate required a notary seal and a clerk signature and the wax hardened,continue,closure_stamp,The certificate required a notary seal and a clerk signature and the wax hardened,top_sense=closure_stamp | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=closure_stamp | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=clerk -> closure_stamp | positive_cue=clerk -> closure_stamp | cue=certificate -> closure_stamp | positive_cue=certificate -> closure_stamp | cue=notary -> closure_stamp | positive_cue=notary -> closure_stamp | realization_type=neutral_extension | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the wax hardened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=certificate -> seal:closure_stamp | provider_cue=notary -> seal:closure_stamp,no,no,no,yes
kp-v1-030,seal,closure_stamp,The seal barked near the stamped parcel on the pier,audit,stamped,medium,audit,,,audit,,,top_sense=animal | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,top_sense=closure_stamp | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=seal | cue=pier -> animal | positive_cue=pier -> animal | cue=parcel -> closure_stamp | positive_cue=parcel -> closure_stamp | cue=stamped -> closure_stamp | positive_cue=stamped -> closure_stamp | conflict_detected | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=stamped -> seal:closure_stamp,no,no,no,yes
kp-v1-031,crane,bird,A flock of cranes migrated south over the lake at dawn,continue,flock,low,audit,,,audit,,,no_ambiguous_term,no_ambiguous_term,,no,no,no,no
kp-v1-032,crane,bird,The crane waded through the wetland in search of fish,continue,wetland,low,audit,,,continue,bird,The crane waded through the wetland in search of fish and spread its wings,all_sense_scores_zero,top_sense=bird | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=wetland -> bird | positive_cue=wetland -> bird | realization_type=neutral_extension | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and spread its wings | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=bird | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=wetland -> crane:bird,yes,yes,no,yes
