id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,model,sample_index,completion,full_text,generation_time_sec,device,max_new_tokens,temperature,top_k,seed
v1-025,The ranger dimmed the attic light so the bat could,bat,animal,weak_cue,Attic and ranger imply a live animal without explicit cue hits,nanogpt:gpt2,0,"see. When the bat realized he was in his own room, he turned the light off.
","The ranger dimmed the attic light so the bat could see. When the bat realized he was in his own room, he turned the light off.
",0.3669,mps,20,0.8,40,1337
v1-026,At dusk the tiny bat stirred under the eaves and,bat,animal,weak_cue,Dusk and eaves imply the animal but avoid supported cues,nanogpt:gpt2,0,"hissing to a song that would go on to be called ""The Time of the Dawn"".
","At dusk the tiny bat stirred under the eaves and hissing to a song that would go on to be called ""The Time of the Dawn"".
",0.3670,mps,20,0.8,40,1337
v1-027,The batter tapped the bat on the plate before,bat,sports_equipment,weak_cue,Batter and plate imply baseball but are unsupported cues,nanogpt:gpt2,0,"letting it drop off. In a game that seemed to be on the brink of a championship, we","The batter tapped the bat on the plate before letting it drop off. In a game that seemed to be on the brink of a championship, we",0.3664,mps,20,0.8,40,1337
v1-028,In the dugout he chose the lighter bat and,bat,sports_equipment,weak_cue,Dugout and lighter object imply equipment without direct cues,nanogpt:gpt2,0,"placed his hand on the pitcher's chest. Then he said:

And the catcher said,","In the dugout he chose the lighter bat and placed his hand on the pitcher's chest. Then he said:

And the catcher said,",0.3701,mps,20,0.8,40,1337
v1-029,The trainer tossed a treat and the seal slid,seal,animal,weak_cue,Trainer and treat imply a performing animal without direct cues,nanogpt:gpt2,0,"off the cage.

""Don't get in trouble with this,"" he said.

","The trainer tossed a treat and the seal slid off the cage.

""Don't get in trouble with this,"" he said.

",0.3657,mps,20,0.8,40,1337
v1-030,On the pier the seal raised its head while tourists,seal,animal,weak_cue,Pier and tourists imply the marine animal indirectly,nanogpt:gpt2,0,"watched.

The group's leader, a former Italian police officer, said at the time that","On the pier the seal raised its head while tourists watched.

The group's leader, a former Italian police officer, said at the time that",0.3676,mps,20,0.8,40,1337
v1-031,The clerk warmed the seal before closing the parcel and,seal,closure_stamp,weak_cue,Clerk and parcel imply closure without built in cues,nanogpt:gpt2,0,"opening the door. The clerk went towards him and whispered a few words.

""This is","The clerk warmed the seal before closing the parcel and opening the door. The clerk went towards him and whispered a few words.

""This is",0.3652,mps,20,0.8,40,1337
v1-032,She broke the seal at the flap and,seal,closure_stamp,weak_cue,Flap and breaking imply a closure but not a direct cue,nanogpt:gpt2,0,"was then charged with obstructing or obstructing justice.

In his sentencing, Davis said he","She broke the seal at the flap and was then charged with obstructing or obstructing justice.

In his sentencing, Davis said he",0.3679,mps,20,0.8,40,1337
v1-033,At dawn the crane stepped through reeds and,crane,bird,weak_cue,Dawn reeds and stepping imply bird behavior weakly,nanogpt:gpt2,0,"the trees were uprooted. The next morning the crane was destroyed, and the crane was burned to","At dawn the crane stepped through reeds and the trees were uprooted. The next morning the crane was destroyed, and the crane was burned to",0.4412,mps,20,0.8,40,1337
v1-034,The photographer waited as the crane bent its long neck to,crane,bird,weak_cue,Long neck and photographer imply a bird without direct cues,nanogpt:gpt2,0,"try and get the crane down before the crane came down.

""I was standing on the","The photographer waited as the crane bent its long neck to try and get the crane down before the crane came down.

""I was standing on the",0.3871,mps,20,0.8,40,1337
v1-035,The foreman signaled and the crane turned toward,crane,machine,weak_cue,Foreman and signaling imply machinery but avoid supported cues,nanogpt:gpt2,0,"the door. It was his turn to step out, but he quickly made his way back into the","The foreman signaled and the crane turned toward the door. It was his turn to step out, but he quickly made his way back into the",0.3876,mps,20,0.8,40,1337
v1-036,The crew waited below the crane as the hook,crane,machine,weak_cue,Crew and hook imply machinery without explicit cue words,nanogpt:gpt2,0,"to the back of the ship became loose and the crane broke loose, sending another crane into action.","The crew waited below the crane as the hook to the back of the ship became loose and the crane broke loose, sending another crane into action.",0.3772,mps,20,0.8,40,1337
v1-037,After the thaw the spring mornings made everyone,spring,season,weak_cue,Thaw and mornings imply the season without cue rich wording,nanogpt:gpt2,0,"happy. The old woman, a nice woman of sixteen and a half, was sitting next to me","After the thaw the spring mornings made everyone happy. The old woman, a nice woman of sixteen and a half, was sitting next to me",0.3666,mps,20,0.8,40,1337
v1-038,The latch clicked when the spring inside the handle,spring,coil,weak_cue,Latch and handle imply a mechanical coil indirectly,nanogpt:gpt2,0,"was pulled up, making it easier for the blade to open.

The handle had just been","The latch clicked when the spring inside the handle was pulled up, making it easier for the blade to open.

The handle had just been",0.3689,mps,20,0.8,40,1337
v1-039,He kicked the rock from the trail and,rock,stone,weak_cue,Trail and kicking imply a physical stone without cue hits,nanogpt:gpt2,0,"ran to his car before jumping off.

""The only thing that's worse than being on","He kicked the rock from the trail and ran to his car before jumping off.

""The only thing that's worse than being on",0.3648,mps,20,0.8,40,1337
v1-040,The crowd knew the rock would get louder after,rock,music,weak_cue,Crowd and loudness imply music but only weakly,nanogpt:gpt2,0,"the release of ""The Last Man On Earth.""

""I would put my hand over my","The crowd knew the rock would get louder after the release of ""The Last Man On Earth.""

""I would put my hand over my",0.3673,mps,20,0.8,40,1337
v1-041,He stood by the bank unsure where to sit until the current,bank,river_edge,delayed_cue,The resolving current cue arrives late after ambiguous setup,nanogpt:gpt2,0,"storm was over. ""We need to protect our customers from this kind of thing,"" he told reporters","He stood by the bank unsure where to sit until the current storm was over. ""We need to protect our customers from this kind of thing,"" he told reporters",0.3852,mps,20,0.8,40,1337
v1-042,She waited inside the bank without speaking until the teller,bank,financial_institution,delayed_cue,The teller cue is delayed until the end,nanogpt:gpt2,0,"came outside.

""What are you doing?"" she asked her landlord. ""Are you going","She waited inside the bank without speaking until the teller came outside.

""What are you doing?"" she asked her landlord. ""Are you going",0.4476,mps,20,0.8,40,1337
v1-043,The bat rested in the corner and only after sunset its wings,bat,animal,delayed_cue,Animal cues appear late after a neutral opening,nanogpt:gpt2,0,"were full and it was clear on the horizon that the sea was still moving.

With the","The bat rested in the corner and only after sunset its wings were full and it was clear on the horizon that the sea was still moving.

With the",0.3971,mps,20,0.8,40,1337
v1-044,He picked up the bat with no comment until the pitcher,bat,sports_equipment,delayed_cue,Sports context is delayed through pitcher rather than early cueing,nanogpt:gpt2,0,"stopped his swing in the dirt at the infield, and then he came back with a standing ovation","He picked up the bat with no comment until the pitcher stopped his swing in the dirt at the infield, and then he came back with a standing ovation",0.3796,mps,20,0.8,40,1337
v1-045,The seal lay still on the platform until the fish,seal,animal,delayed_cue,The fish cue resolves the animal sense near the end,nanogpt:gpt2,0,"started to flop and die.

""It was awful,"" he said. ""We had","The seal lay still on the platform until the fish started to flop and die.

""It was awful,"" he said. ""We had",0.4298,mps,20,0.8,40,1337
v1-046,She studied the seal for a moment before pressing it into wax,seal,closure_stamp,delayed_cue,The closure sense appears late through pressing and wax,nanogpt:gpt2,0,"paper. The paper covered the seal, then spread it upon a piece of paper so that it would","She studied the seal for a moment before pressing it into wax paper. The paper covered the seal, then spread it upon a piece of paper so that it would",0.4482,mps,20,0.8,40,1337
v1-047,The crane moved slowly across the pale shallows before its wings,crane,bird,delayed_cue,Wings resolve the bird sense only at the end,nanogpt:gpt2,0,"came apart. I pulled my feet out of the ground, leaving the two small legs to my left","The crane moved slowly across the pale shallows before its wings came apart. I pulled my feet out of the ground, leaving the two small legs to my left",0.4452,mps,20,0.8,40,1337
v1-048,The crane waited above the lot until the operator,crane,machine,delayed_cue,Operator cue is delayed after a neutral mechanical shape,nanogpt:gpt2,0,"came out.

""I've been there,"" said Mr. Karpak. ""I","The crane waited above the lot until the operator came out.

""I've been there,"" said Mr. Karpak. ""I",0.4332,mps,20,0.8,40,1337
v1-049,The spring seemed ordinary until April rain began to,spring,season,delayed_cue,April and rain resolve the season late,nanogpt:gpt2,0,"fall in the state of Texas, and I started to panic. It took a while for me to","The spring seemed ordinary until April rain began to fall in the state of Texas, and I started to panic. It took a while for me to",0.3657,mps,20,0.8,40,1337
v1-050,The spring looked harmless until the device compressed it,spring,coil,delayed_cue,Device and compressed cues arrive after the ambiguous noun,nanogpt:gpt2,0,", and with a small twist, it was able to release the gas.

The device is","The spring looked harmless until the device compressed it, and with a small twist, it was able to release the gas.

The device is",0.3965,mps,20,0.8,40,1337
v1-051,The rock was ignored until the climber saw it on the cliff,rock,stone,delayed_cue,Cliff cue resolves the stone sense late,nanogpt:gpt2,0,"behind him, and the boulder began to fall.

The rock was thrown up and off the","The rock was ignored until the climber saw it on the cliff behind him, and the boulder began to fall.

The rock was thrown up and off the",0.3921,mps,20,0.8,40,1337
v1-052,The rock sounded flat until the drummer came on stage,rock,music,delayed_cue,Drummer and stage cues resolve music after a neutral start,nanogpt:gpt2,0,"and said ""We're going to do it again."" ""That's my hope,"" he continued.","The rock sounded flat until the drummer came on stage and said ""We're going to do it again."" ""That's my hope,"" he continued.",0.3686,mps,20,0.8,40,1337
v1-053,They approached the bank in silence and only then counted the cash,bank,financial_institution,delayed_cue,Cash appears late enough to test delayed evidence,nanogpt:gpt2,0,"in their hand, their eyes watering. They heard another voice. ""We will take them to the","They approached the bank in silence and only then counted the cash in their hand, their eyes watering. They heard another voice. ""We will take them to the",0.3728,mps,20,0.8,40,1337
v1-054,The bank looked empty from above until the boat,bank,river_edge,delayed_cue,Boat cue resolves river edge late after visual ambiguity,nanogpt:gpt2,0,"came to a stop in a small parking lot.

""It's a really weird thing,""","The bank looked empty from above until the boat came to a stop in a small parking lot.

""It's a really weird thing,""",0.3666,mps,20,0.8,40,1337
v1-055,The bat seemed too small until the player,bat,sports_equipment,delayed_cue,Player cue arrives late and must override size ambiguity,nanogpt:gpt2,0,"went up to the ball, and it gave him the advantage.

""I didn't know","The bat seemed too small until the player went up to the ball, and it gave him the advantage.

""I didn't know",0.3747,mps,20,0.8,40,1337
v1-056,The seal looked plain until the document,seal,closure_stamp,delayed_cue,Document cue resolves closure stamp late,nanogpt:gpt2,0,"reached a stop on the side of the car.

""How?"" the reporter asked.
","The seal looked plain until the document reached a stop on the side of the car.

""How?"" the reporter asked.
",0.8746,mps,20,0.8,40,1337
v1-057,The crane was silent for a long time before it lifted steel,crane,machine,delayed_cue,Lifted steel resolves machine late after animal compatible silence,nanogpt:gpt2,0,cables that were falling from the floor. A series of small ropes hung from the crane's ceiling that,The crane was silent for a long time before it lifted steel cables that were falling from the floor. A series of small ropes hung from the crane's ceiling that,0.4329,mps,20,0.8,40,1337
v1-058,The crane was silent for a long time before the bird,crane,bird,delayed_cue,Bird cue resolves animal late after machine compatible silence,nanogpt:gpt2,0,"finally moved, but its hands were gripping the crane at the same time. The bird kept on moving","The crane was silent for a long time before the bird finally moved, but its hands were gripping the crane at the same time. The bird kept on moving",0.4249,mps,20,0.8,40,1337
v1-059,The spring returned only after the mechanism,spring,coil,delayed_cue,Mechanism resolves coil after abstract opening,nanogpt:gpt2,0,"for the change to the surface, with a few minor exceptions.

This spring was one of","The spring returned only after the mechanism for the change to the surface, with a few minor exceptions.

This spring was one of",0.3903,mps,20,0.8,40,1337
v1-060,The rock changed mood when the guitar,rock,music,delayed_cue,Guitar resolves music late after an abstract opening,nanogpt:gpt2,0,"was changed from A to B. The song played ""It's You"" and it was just a","The rock changed mood when the guitar was changed from A to B. The song played ""It's You"" and it was just a",0.3623,mps,20,0.8,40,1337
v1-061,After leaving the river he went to the bank to deposit,bank,financial_institution,conflicting_cue,River cue conflicts with deposit and syntax favors finance,nanogpt:gpt2,0,"some of his money.


The next day he returned to his car and drove to the town","After leaving the river he went to the bank to deposit some of his money.


The next day he returned to his car and drove to the town",0.3696,mps,20,0.8,40,1337
v1-062,After withdrawing cash he walked to the bank beside the stream to rest,bank,river_edge,conflicting_cue,Cash cues finance but beside stream favors river edge,nanogpt:gpt2,0,"on his feet.

The man had a large wooden knife in his hand and a small piece","After withdrawing cash he walked to the bank beside the stream to rest on his feet.

The man had a large wooden knife in his hand and a small piece",0.3728,mps,20,0.8,40,1337
v1-063,The bat had wings painted on it before the player swung,bat,sports_equipment,conflicting_cue,Wings cue animal but player and swung favor equipment,nanogpt:gpt2,0,it. The next day it got the better of the bat and the next day it did not.,The bat had wings painted on it before the player swung it. The next day it got the better of the bat and the next day it did not.,0.3844,mps,20,0.8,40,1337
v1-064,The bat was held by the player after it flew from the rafters,bat,animal,conflicting_cue,Player cue conflicts with flew and rafters favor animal,nanogpt:gpt2,0,"of the game when it hit the ground.

""That's when I heard the car horn","The bat was held by the player after it flew from the rafters of the game when it hit the ground.

""That's when I heard the car horn",0.4858,mps,20,0.8,40,1337
v1-065,The seal near the package barked for fish and,seal,animal,conflicting_cue,Package cue conflicts with fish and animal behavior,nanogpt:gpt2,0,"was about 3 feet long, said John H. Brown, a former federal fisheries biologist now with the","The seal near the package barked for fish and was about 3 feet long, said John H. Brown, a former federal fisheries biologist now with the",0.4075,mps,20,0.8,40,1337
v1-066,The seal on the ocean themed document needed wax to,seal,closure_stamp,conflicting_cue,Ocean cue conflicts with document and wax closure evidence,nanogpt:gpt2,0,"adhere to - you can't go wrong with the blue version.

Image credit: Alamy","The seal on the ocean themed document needed wax to adhere to - you can't go wrong with the blue version.

Image credit: Alamy",0.4492,mps,20,0.8,40,1337
v1-067,The crane near the marsh lifted steel while the operator,crane,machine,conflicting_cue,Marsh cue conflicts with lifted steel and operator,nanogpt:gpt2,0,"used a hydraulic ladder to climb up. The crane then lifted two others.

One of the","The crane near the marsh lifted steel while the operator used a hydraulic ladder to climb up. The crane then lifted two others.

One of the",0.3876,mps,20,0.8,40,1337
v1-068,The crane at the construction site spread its wings over the lake and,crane,bird,conflicting_cue,Construction site cue conflicts with wings and lake,nanogpt:gpt2,0,"in the water, the water was filled with water, giving the lake its name (Cynthia","The crane at the construction site spread its wings over the lake and in the water, the water was filled with water, giving the lake its name (Cynthia",0.3840,mps,20,0.8,40,1337
v1-069,The spring warmed the garden after the metal device,spring,season,conflicting_cue,Metal device cue conflicts with garden and warmed season context,nanogpt:gpt2,0,"had been shut off.

The next morning, his team headed out through a narrow hallway and","The spring warmed the garden after the metal device had been shut off.

The next morning, his team headed out through a narrow hallway and",0.4421,mps,20,0.8,40,1337
v1-070,The spring in April compressed inside the mechanism and,spring,coil,conflicting_cue,April cue conflicts with compressed mechanism evidence,nanogpt:gpt2,0,the spring in February compressed out. The spring in December compressed out and the spring in January compressed out,The spring in April compressed inside the mechanism and the spring in February compressed out. The spring in December compressed out and the spring in January compressed out,0.3880,mps,20,0.8,40,1337
v1-071,The rock from the mountain was carried onto the stage before,rock,music,conflicting_cue,Mountain cue conflicts with stage performance context,nanogpt:gpt2,0,"it was dropped.

The concert was called off after being interrupted by police, which was made","The rock from the mountain was carried onto the stage before it was dropped.

The concert was called off after being interrupted by police, which was made",0.3956,mps,20,0.8,40,1337
v1-072,The rock song described a heavy stone on the ground and,rock,stone,conflicting_cue,Song cue conflicts with physical stone evidence,nanogpt:gpt2,0,"a huge stone on the ground.

""My wife gave me a hand to cut them off","The rock song described a heavy stone on the ground and a huge stone on the ground.

""My wife gave me a hand to cut them off",0.3961,mps,20,0.8,40,1337
v1-073,The teller crossed the river to reach the bank and open,bank,financial_institution,conflicting_cue,River cue conflicts with teller and open branch implication,nanogpt:gpt2,0,the river gates. The teller took a step in front of the gate to reveal the gatekeeper,The teller crossed the river to reach the bank and open the river gates. The teller took a step in front of the gate to reveal the gatekeeper,0.4132,mps,20,0.8,40,1337
v1-074,The credit card floated to the bank where the boat,bank,river_edge,conflicting_cue,Credit card cue conflicts with boat and physical edge context,nanogpt:gpt2,0,"is in the dock.

""As soon as I got in touch with the bank, they","The credit card floated to the bank where the boat is in the dock.

""As soon as I got in touch with the bank, they",0.4094,mps,20,0.8,40,1337
v1-075,The animal expert handed the bat to the player before the game,bat,sports_equipment,conflicting_cue,Animal expert cue conflicts with player and game equipment context,nanogpt:gpt2,0,"began. This would cause the animal not to take flight and therefore, the bat would not have a","The animal expert handed the bat to the player before the game began. This would cause the animal not to take flight and therefore, the bat would not have a",0.3981,mps,20,0.8,40,1337
v1-076,The game paused when the bat in the cave opened its wings and,bat,animal,conflicting_cue,Game cue conflicts with cave and wings animal context,nanogpt:gpt2,0,"moved in line with the other characters' movements.

""And I got to see a little","The game paused when the bat in the cave opened its wings and moved in line with the other characters' movements.

""And I got to see a little",0.3851,mps,20,0.8,40,1337
v1-077,The official watched the seal splash in the water for fish,seal,animal,conflicting_cue,Official cue weakly suggests stamp but water and fish favor animal,nanogpt:gpt2,0,"to eat, then turned on the light and went on back to the pool.

The seal","The official watched the seal splash in the water for fish to eat, then turned on the light and went on back to the pool.

The seal",0.5278,mps,20,0.8,40,1337
v1-078,The flippers logo sat under the official seal on the package,seal,closure_stamp,conflicting_cue,Flippers cue conflicts with official and package evidence,nanogpt:gpt2,0,".

The package was a gift from the local chapter of the American Folklore Society to the","The flippers logo sat under the official seal on the package.

The package was a gift from the local chapter of the American Folklore Society to the",0.3893,mps,20,0.8,40,1337
v1-079,The bird shaped crane at the site moved the steel,crane,machine,conflicting_cue,Bird surface conflicts with site and steel machinery context,nanogpt:gpt2,0,"rods and sawed-off panels back, the crane's crane, which is still in the ground","The bird shaped crane at the site moved the steel rods and sawed-off panels back, the crane's crane, which is still in the ground",0.3772,mps,20,0.8,40,1337
v1-080,The operator photographed the crane as the bird crossed the lake,crane,bird,conflicting_cue,Operator cue conflicts with explicit bird and lake evidence,nanogpt:gpt2,0,", then followed it to a nearby lake.

A video released by the National Transportation Safety Board","The operator photographed the crane as the bird crossed the lake, then followed it to a nearby lake.

A video released by the National Transportation Safety Board",0.4155,mps,20,0.8,40,1337
v1-081,The bank was not beside a river so the clerk prepared to,bank,financial_institution,negation,Negated river cue should not trigger river edge,nanogpt:gpt2,0,"sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was","The bank was not beside a river so the clerk prepared to sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was",0.3737,mps,20,0.8,40,1337
v1-082,The bank was not a place for money as the hikers slid down to,bank,river_edge,negation,Negated money cue should not trigger finance,nanogpt:gpt2,0,"it. But if they were still conscious you could see that their bodies were being pulled down.
","The bank was not a place for money as the hikers slid down to it. But if they were still conscious you could see that their bodies were being pulled down.
",0.3742,mps,20,0.8,40,1337
v1-083,The bat was not an animal because the batter raised it to,bat,sports_equipment,negation,Negated animal cue should not override batter context,nanogpt:gpt2,0,"his head. The bat had been raised for the purpose of batting.

Advertisement

""","The bat was not an animal because the batter raised it to his head. The bat had been raised for the purpose of batting.

Advertisement

""",0.3769,mps,20,0.8,40,1337
v1-084,The bat was not for a game as it tucked its wings and,bat,animal,negation,Negated game cue should not override wings,nanogpt:gpt2,0,"a smile spread across its face as the ball swung into the air, taking a second to strike the","The bat was not for a game as it tucked its wings and a smile spread across its face as the ball swung into the air, taking a second to strike the",0.3710,mps,20,0.8,40,1337
v1-085,The seal was not an animal when the clerk pressed it onto the form to,seal,closure_stamp,negation,Negated animal cue should not block closure sense,nanogpt:gpt2,0,"check if he saw it. He didn't have to do any testing, he just gave it his","The seal was not an animal when the clerk pressed it onto the form to check if he saw it. He didn't have to do any testing, he just gave it his",0.3926,mps,20,0.8,40,1337
v1-086,The seal was not a stamp as it surfaced beside the pier and,seal,animal,negation,Negated stamp cue should not block animal reading,nanogpt:gpt2,0,I couldn't see it. I could only hear the sound of a hand being shoved down her skirt,The seal was not a stamp as it surfaced beside the pier and I couldn't see it. I could only hear the sound of a hand being shoved down her skirt,0.3723,mps,20,0.8,40,1337
v1-087,The crane was not a bird because the operator lowered the hook to,crane,machine,negation,Negated bird cue should not override operator context,nanogpt:gpt2,0,try and cut away the tail. But it was a bird because it caught the tail and released it,The crane was not a bird because the operator lowered the hook to try and cut away the tail. But it was a bird because it caught the tail and released it,0.3770,mps,20,0.8,40,1337
v1-088,The crane was not at a construction site as it crossed the reeds and,crane,bird,negation,Negated construction cue should not override bird behavior,nanogpt:gpt2,0,"was in position to be operated by a crane operator.

The crane operator said: ""I","The crane was not at a construction site as it crossed the reeds and was in position to be operated by a crane operator.

The crane operator said: ""I",0.3768,mps,20,0.8,40,1337
v1-089,The spring was not warm weather because the latch pushed it back and,spring,coil,negation,Negated weather cue should not override mechanical context,nanogpt:gpt2,0,"forth, but it did not take long for the latch to be released. I was trying to pull","The spring was not warm weather because the latch pushed it back and forth, but it did not take long for the latch to be released. I was trying to pull",0.3772,mps,20,0.8,40,1337
