row_id,question,expected_decision,expected_intent,source,target,expected_answer_contains,risk_level
cpqa-v1-040,Which net worth estimates are volatile?,answer,source_qualified_list,,,volatile;US$1.1 trillion,high
cpqa-v1-041,Which facts should be rechecked?,answer,source_qualified_list,,,require rechecking;2026-06,high
cpqa-v1-042,Which links are weak context only?,answer,weak_link_list_or_policy,,,weak context links;not stable factual relations,low
cpqa-v1-043,What does weak_context_only mean?,answer,weak_link_list_or_policy,,,weak context links;not stable factual relations,low
cpqa-v1-044,Are wiki context links facts?,answer,weak_link_list_or_policy,,,not stable factual relations;cannot prove,low
cpqa-v1-045,Can weak links prove claims?,answer,weak_link_list_or_policy,,,cannot prove;not stable factual relations,low
cpqa-v1-046,Give examples of weak links in the overlay.,answer,weak_link_list_or_policy,,,Examples;weak context links,low
cpqa-v1-047,What does weak context only mean in the overlay?,answer,weak_link_list_or_policy,,,weak context links;contextual mentions,low
cpqa-v1-048,Are weak context links stable facts?,answer,weak_link_list_or_policy,,,not stable factual relations,low
cpqa-v1-049,Do weak links prove a factual relationship?,answer,weak_link_list_or_policy,,,cannot prove,low
cpqa-v1-050,How is Elon Musk connected to Starlink?,audit,connection_path,Elon Musk,Starlink,,medium
cpqa-v1-051,How is Tesla connected to Forbes?,audit,connection_path,Tesla,Forbes,,medium
cpqa-v1-052,How is Starlink connected to net worth?,audit,connection_path,Starlink,net worth,,medium
cpqa-v1-053,How is Bloomberg News connected to SpaceX rockets?,audit,connection_path,Bloomberg News,SpaceX rockets,,medium
cpqa-v1-054,How is Bloomberg News connected to Bloomberg LP?,audit,connection_path,Bloomberg News,Bloomberg LP,,medium
cpqa-v1-055,How is Tesla connected to lithium-ion batteries?,audit,connection_path,Tesla,lithium-ion batteries,,medium
cpqa-v1-056,How is Forbes connected to SpaceX?,audit,connection_path,Forbes,SpaceX,,medium
cpqa-v1-057,How is Tesla connected to NASA?,audit,connection_path,Tesla,NASA,,medium
cpqa-v1-058,How is Reuters connected to rockets?,audit,connection_path,Reuters,rockets,,medium
cpqa-v1-059,What path connects Elon Musk to Starlink?,audit,relation_chain,Elon Musk,Starlink,,medium
cpqa-v1-060,What path connects SpaceX to reusable rockets?,audit,relation_chain,SpaceX,reusable rockets,,medium
cpqa-v1-061,What path connects Tesla to Forbes?,audit,relation_chain,Tesla,Forbes,,medium
cpqa-v1-062,What path connects Starlink to net worth?,audit,relation_chain,Starlink,net worth,,medium
cpqa-v1-063,Does Tesla prove Musk's net worth?,audit,unsupported_or_too_far,,,,high
cpqa-v1-064,Does a weak link prove that Musk leads Forbes?,answer,weak_link_list_or_policy,,,cannot prove;not stable factual relations,high
cpqa-v1-065,"If SpaceX makes rockets, are all rockets SpaceX products?",audit,unsupported_or_too_far,,,,high
cpqa-v1-066,"If Tesla makes electric cars, is every electric car a Tesla?",audit,unsupported_or_too_far,,,,high
cpqa-v1-067,"If Musk leads Tesla, does Tesla lead Musk?",audit,unsupported_or_too_far,,,,high
cpqa-v1-068,What is Tesla's current stock price through the overlay?,audit,unsupported_or_too_far,,,,high
cpqa-v1-069,What is SpaceX's current valuation in the overlay?,audit,unsupported_or_too_far,,,,high
cpqa-v1-070,What is Tesla's latest quarterly revenue from the overlay?,audit,unsupported_or_too_far,,,,high
cpqa-v1-071,What is Tesla's market cap right now?,audit,unsupported_or_too_far,,,,high
