id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,continuation,selected_sense,confidence,decision,reasons,memory_hits,trusted_decision,trusted_continuation,candidate_continuation,candidate_full_text,candidate_status,candidate_risk,candidate_source,candidate_review_action,candidate_reason,candidate_selected_sense,candidate_validation_status,candidate_trace,candidate_learning_payload
v1-011,She pressed the wax seal onto the envelope to,seal,closure_stamp,cue_rich,Wax and envelope cues target the closure stamp,She pressed the wax seal onto the envelope to close it,closure_stamp,0.6667,continue,top_sense=closure_stamp | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=seal | cue=envelope -> closure_stamp | positive_cue=envelope -> closure_stamp | cue=wax -> closure_stamp | positive_cue=wax -> closure_stamp | realization_type=infinitive_after_to | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=close the envelope | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=close it | selected_sense=closure_stamp,continue,She pressed the wax seal onto the envelope to close it,close it,She pressed the wax seal onto the envelope to close it,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,closure_stamp,trusted,candidate_status=trusted,{}
v1-012,The official seal on the document matched the stamp,seal,closure_stamp,cue_rich,Official document and stamp cues make the closure sense clear,The official seal on the document matched the stamp and the wax hardened,closure_stamp,0.7500,continue,top_sense=closure_stamp | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=document -> closure_stamp | positive_cue=document -> closure_stamp | cue=stamp -> closure_stamp | positive_cue=stamp -> closure_stamp | cue=official -> closure_stamp | positive_cue=official -> closure_stamp | realization_type=neutral_extension | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the wax hardened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp,continue,The official seal on the document matched the stamp and the wax hardened,and the wax hardened,The official seal on the document matched the stamp and the wax hardened,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,closure_stamp,trusted,candidate_status=trusted,{}
v1-013,The crane spread its wings above the marsh and,crane,bird,cue_rich,Wings and marsh cues target the bird,The crane spread its wings above the marsh and it crossed the shallows,bird,0.6667,continue,top_sense=bird | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=crane | cue=wings -> bird | positive_cue=wings -> bird | cue=marsh -> bird | positive_cue=marsh -> bird | realization_type=clause_after_and | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=it crossed the shallows | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=bird,continue,The crane spread its wings above the marsh and it crossed the shallows,it crossed the shallows,The crane spread its wings above the marsh and it crossed the shallows,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,bird,trusted,candidate_status=trusted,{}
v1-014,The bird expert watched the crane build a nest near the lake,crane,bird,cue_rich,Bird nest and lake cues make the animal sense explicit,The bird expert watched the crane build a nest near the lake and spread its wings,bird,0.7500,continue,top_sense=bird | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=bird -> bird | positive_cue=bird -> bird | cue=nest -> bird | positive_cue=nest -> bird | cue=lake -> bird | positive_cue=lake -> bird | realization_type=neutral_extension | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and spread its wings | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=bird,continue,The bird expert watched the crane build a nest near the lake and spread its wings,and spread its wings,The bird expert watched the crane build a nest near the lake and spread its wings,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,bird,trusted,candidate_status=trusted,{}
v1-015,The operator used the crane at the construction site to,crane,machine,cue_rich,Operator construction and site cues target the machine,The operator used the crane at the construction site to lift the load,machine,0.7500,continue,top_sense=machine | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=construction -> machine | positive_cue=construction -> machine | cue=operator -> machine | positive_cue=operator -> machine | cue=site -> machine | positive_cue=site -> machine | realization_type=infinitive_after_to | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=lift the load | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=machine,continue,The operator used the crane at the construction site to lift the load,lift the load,The operator used the crane at the construction site to lift the load,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,machine,trusted,candidate_status=trusted,{}
v1-016,The crane lifted the steel beam above the building,crane,machine,cue_rich,Lifted steel and building cues make machinery explicit,The crane lifted the steel beam above the building and carried the load,machine,0.7500,continue,top_sense=machine | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=building -> machine | positive_cue=building -> machine | cue=lifted -> machine | positive_cue=lifted -> machine | cue=steel -> machine | positive_cue=steel -> machine | realization_type=neutral_extension | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and carried the load | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=machine,continue,The crane lifted the steel beam above the building and carried the load,and carried the load,The crane lifted the steel beam above the building and carried the load,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,machine,trusted,candidate_status=trusted,{}
v1-017,In April the spring rain warmed the garden and,spring,season,cue_rich,April rain warm and garden cues target the season,In April the spring rain warmed the garden and the flowers opened,season,0.8000,continue,top_sense=season | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=spring | cue=april -> season | positive_cue=april -> season | cue=garden -> season | positive_cue=garden -> season | cue=rain -> season | positive_cue=rain -> season | cue=warmed -> season | positive_cue=warmed -> season | realization_type=clause_after_and | semantic_frame_intent=seasonal_change | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=the flowers opened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=season,continue,In April the spring rain warmed the garden and the flowers opened,the flowers opened,In April the spring rain warmed the garden and the flowers opened,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,season,trusted,candidate_status=trusted,{}
v1-018,The metal spring compressed inside the mechanism and,spring,coil,cue_rich,Metal compressed and mechanism cues target the coil,The metal spring compressed inside the mechanism and the tension released,coil,0.7500,continue,top_sense=coil | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=spring | cue=metal -> coil | positive_cue=metal -> coil | cue=compressed -> coil | positive_cue=compressed -> coil | cue=mechanism -> coil | positive_cue=mechanism -> coil | realization_type=clause_after_and | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=the tension released | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=coil,continue,The metal spring compressed inside the mechanism and the tension released,the tension released,The metal spring compressed inside the mechanism and the tension released,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,coil,trusted,candidate_status=trusted,{}
v1-019,The heavy rock rolled from the mountain to the ground,rock,stone,cue_rich,Heavy mountain and ground cues target stone,The heavy rock rolled from the mountain to the ground and lay near the river,stone,0.7500,continue,top_sense=stone | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=mountain -> stone | positive_cue=mountain -> stone | cue=heavy -> stone | positive_cue=heavy -> stone | cue=ground -> stone | positive_cue=ground -> stone | realization_type=neutral_extension | semantic_frame_intent=stone_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and lay near the river | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=stone,continue,The heavy rock rolled from the mountain to the ground and lay near the river,and lay near the river,The heavy rock rolled from the mountain to the ground and lay near the river,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,stone,trusted,candidate_status=trusted,{}
v1-020,The rock band carried guitars onto the concert stage and,rock,music,cue_rich,Band guitar concert and stage cues target music,The rock band carried guitars onto the concert stage and the band started playing,music,0.7500,continue,top_sense=music | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=band -> music | positive_cue=band -> music | cue=concert -> music | positive_cue=concert -> music | cue=stage -> music | positive_cue=stage -> music | realization_type=clause_after_and | semantic_frame_intent=music_performance | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=the band started playing | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=music,continue,The rock band carried guitars onto the concert stage and the band started playing,the band started playing,The rock band carried guitars onto the concert stage and the band started playing,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,music,trusted,candidate_status=trusted,{}
v1-021,The client waited at the bank counter to,bank,financial_institution,weak_cue,Counter and client imply finance without built in cue words,The client waited at the bank counter to open an account,financial_institution,0.6667,continue,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=client -> financial_institution | positive_cue=client -> financial_institution | cue=counter -> financial_institution | positive_cue=counter -> financial_institution | realization_type=infinitive_after_to | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=open an account | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution,continue,The client waited at the bank counter to open an account,open an account,The client waited at the bank counter to open an account,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,financial_institution,trusted,candidate_status=trusted,{}
v1-022,Near closing time the bank manager motioned for,bank,financial_institution,weak_cue,Manager and closing time imply a branch but weakly,Near closing time the bank manager motioned for the client to come forward,financial_institution,0.5000,continue,top_sense=financial_institution | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bank | cue=manager -> financial_institution | positive_cue=manager -> financial_institution | realization_type=neutral_extension | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and completed the transaction | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=motioned_for_object_repair | prompt_tail_evidence=tail_preposition=motioned_for | prompt_tail_evidence=phrase=and completed the transaction | prompt_tail_repair=applied | prompt_tail_repaired_candidate=the client to come forward | selected_sense=financial_institution,continue,Near closing time the bank manager motioned for the client to come forward,the client to come forward,Near closing time the bank manager motioned for the client to come forward,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,financial_institution,trusted,candidate_status=trusted,{}
v1-023,The children climbed down the bank below the bridge to,bank,river_edge,weak_cue,Downward slope and bridge imply a river edge without direct cues,The children climbed down the bank below the bridge to watch the current,river_edge,0.5000,continue,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bank | cue=bridge -> river_edge | positive_cue=bridge -> river_edge | realization_type=infinitive_after_to | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=watch the current | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=river_edge,continue,The children climbed down the bank below the bridge to watch the current,watch the current,The children climbed down the bank below the bridge to watch the current,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,river_edge,trusted,candidate_status=trusted,{}
v1-024,A narrow path crossed the bank below the reeds and,bank,river_edge,weak_cue,Reeds and path imply a natural bank but not through known cues,A narrow path crossed the bank below the reeds and the water moved past it,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=reeds -> river_edge | positive_cue=reeds -> river_edge | cue=path -> river_edge | positive_cue=path -> river_edge | realization_type=clause_after_and | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=the water moved past the reeds | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=the water moved past it | selected_sense=river_edge,continue,A narrow path crossed the bank below the reeds and the water moved past it,the water moved past it,A narrow path crossed the bank below the reeds and the water moved past it,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,river_edge,trusted,candidate_status=trusted,{}
v1-025,The ranger dimmed the attic light so the bat could,bat,animal,weak_cue,Attic and ranger imply a live animal without explicit cue hits,The ranger dimmed the attic light so the bat could search for insects,animal,0.6667,continue,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=attic -> animal | positive_cue=attic -> animal | cue=light -> animal | positive_cue=light -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and searched for insects | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=modal_and_past_to_bare_infinitive | prompt_tail_evidence=tail_modal=could | prompt_tail_evidence=phrase=and searched for insects | prompt_tail_repair=applied | prompt_tail_repaired_candidate=search for insects | selected_sense=animal,continue,The ranger dimmed the attic light so the bat could search for insects,search for insects,The ranger dimmed the attic light so the bat could search for insects,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
v1-026,At dusk the tiny bat stirred under the eaves and,bat,animal,weak_cue,Dusk and eaves imply the animal but avoid supported cues,At dusk the tiny bat stirred under the eaves and it spread its wings,animal,0.6667,continue,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=dusk -> animal | positive_cue=dusk -> animal | cue=eaves -> animal | positive_cue=eaves -> animal | realization_type=clause_after_and | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=it spread its wings | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal,continue,At dusk the tiny bat stirred under the eaves and it spread its wings,it spread its wings,At dusk the tiny bat stirred under the eaves and it spread its wings,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
v1-027,The batter tapped the bat on the plate before,bat,sports_equipment,weak_cue,Batter and plate imply baseball but are unsupported cues,The batter tapped the bat on the plate before hitting the ball,sports_equipment,0.6667,continue,top_sense=sports_equipment | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=batter -> sports_equipment | positive_cue=batter -> sports_equipment | cue=plate -> sports_equipment | positive_cue=plate -> sports_equipment | realization_type=neutral_extension | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and hit the ball | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=before_and_hit_to_gerund | prompt_tail_evidence=tail_subordinator=before | prompt_tail_evidence=phrase=and hit the ball | prompt_tail_repair=applied | prompt_tail_repaired_candidate=hitting the ball | selected_sense=sports_equipment,continue,The batter tapped the bat on the plate before hitting the ball,hitting the ball,The batter tapped the bat on the plate before hitting the ball,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,sports_equipment,trusted,candidate_status=trusted,{}
v1-028,In the dugout he chose the lighter bat and,bat,sports_equipment,weak_cue,Dugout and lighter object imply equipment without direct cues,In the dugout he chose the lighter bat and the player took a swing,sports_equipment,0.6667,continue,top_sense=sports_equipment | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=dugout -> sports_equipment | positive_cue=dugout -> sports_equipment | cue=lighter -> sports_equipment | positive_cue=lighter -> sports_equipment | realization_type=clause_after_and | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=the player took a swing | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=sports_equipment,continue,In the dugout he chose the lighter bat and the player took a swing,the player took a swing,In the dugout he chose the lighter bat and the player took a swing,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,sports_equipment,trusted,candidate_status=trusted,{}
v1-029,The trainer tossed a treat and the seal slid,seal,animal,weak_cue,Trainer and treat imply a performing animal without direct cues,The trainer tossed a treat and the seal slid and swam through the cold water,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=trainer -> animal | positive_cue=trainer -> animal | cue=treat -> animal | positive_cue=treat -> animal | cue=slid -> animal | positive_cue=slid -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and swam through the cold water | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal,continue,The trainer tossed a treat and the seal slid and swam through the cold water,and swam through the cold water,The trainer tossed a treat and the seal slid and swam through the cold water,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
