id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,model,completion,full_text,judged_text,judged_sense,label,audit_notes
v1-039,He kicked the rock from the trail and,rock,stone,weak_cue,Trail and kicking imply a physical stone without cue hits,nanogpt:gpt2,"ran to his car before jumping off.

""The only thing that's worse than being on","He kicked the rock from the trail and ran to his car before jumping off.

""The only thing that's worse than being on",ran to his car before jumping off.,,,
v1-040,The crowd knew the rock would get louder after,rock,music,weak_cue,Crowd and loudness imply music but only weakly,nanogpt:gpt2,"the release of ""The Last Man On Earth.""

""I would put my hand over my","The crowd knew the rock would get louder after the release of ""The Last Man On Earth.""

""I would put my hand over my","the release of ""The Last Man On Earth.""",,,
v1-041,He stood by the bank unsure where to sit until the current,bank,river_edge,delayed_cue,The resolving current cue arrives late after ambiguous setup,nanogpt:gpt2,"storm was over. ""We need to protect our customers from this kind of thing,"" he told reporters","He stood by the bank unsure where to sit until the current storm was over. ""We need to protect our customers from this kind of thing,"" he told reporters",storm was over.,,,
v1-042,She waited inside the bank without speaking until the teller,bank,financial_institution,delayed_cue,The teller cue is delayed until the end,nanogpt:gpt2,"came outside.

""What are you doing?"" she asked her landlord. ""Are you going","She waited inside the bank without speaking until the teller came outside.

""What are you doing?"" she asked her landlord. ""Are you going",came outside.,,,
v1-043,The bat rested in the corner and only after sunset its wings,bat,animal,delayed_cue,Animal cues appear late after a neutral opening,nanogpt:gpt2,"were full and it was clear on the horizon that the sea was still moving.

With the","The bat rested in the corner and only after sunset its wings were full and it was clear on the horizon that the sea was still moving.

With the",were full and it was clear on the horizon that the sea was still moving.,,,
v1-044,He picked up the bat with no comment until the pitcher,bat,sports_equipment,delayed_cue,Sports context is delayed through pitcher rather than early cueing,nanogpt:gpt2,"stopped his swing in the dirt at the infield, and then he came back with a standing ovation","He picked up the bat with no comment until the pitcher stopped his swing in the dirt at the infield, and then he came back with a standing ovation","stopped his swing in the dirt at the infield, and then he came back with a standing ovation",,,
v1-045,The seal lay still on the platform until the fish,seal,animal,delayed_cue,The fish cue resolves the animal sense near the end,nanogpt:gpt2,"started to flop and die.

""It was awful,"" he said. ""We had","The seal lay still on the platform until the fish started to flop and die.

""It was awful,"" he said. ""We had",started to flop and die.,,,
v1-046,She studied the seal for a moment before pressing it into wax,seal,closure_stamp,delayed_cue,The closure sense appears late through pressing and wax,nanogpt:gpt2,"paper. The paper covered the seal, then spread it upon a piece of paper so that it would","She studied the seal for a moment before pressing it into wax paper. The paper covered the seal, then spread it upon a piece of paper so that it would",paper.,,,
v1-047,The crane moved slowly across the pale shallows before its wings,crane,bird,delayed_cue,Wings resolve the bird sense only at the end,nanogpt:gpt2,"came apart. I pulled my feet out of the ground, leaving the two small legs to my left","The crane moved slowly across the pale shallows before its wings came apart. I pulled my feet out of the ground, leaving the two small legs to my left",came apart.,,,
v1-048,The crane waited above the lot until the operator,crane,machine,delayed_cue,Operator cue is delayed after a neutral mechanical shape,nanogpt:gpt2,"came out.

""I've been there,"" said Mr. Karpak. ""I","The crane waited above the lot until the operator came out.

""I've been there,"" said Mr. Karpak. ""I",came out.,,,
v1-049,The spring seemed ordinary until April rain began to,spring,season,delayed_cue,April and rain resolve the season late,nanogpt:gpt2,"fall in the state of Texas, and I started to panic. It took a while for me to","The spring seemed ordinary until April rain began to fall in the state of Texas, and I started to panic. It took a while for me to","fall in the state of Texas, and I started to panic.",,,
v1-050,The spring looked harmless until the device compressed it,spring,coil,delayed_cue,Device and compressed cues arrive after the ambiguous noun,nanogpt:gpt2,", and with a small twist, it was able to release the gas.

The device is","The spring looked harmless until the device compressed it, and with a small twist, it was able to release the gas.

The device is",", and with a small twist, it was able to release the gas.",,,
v1-051,The rock was ignored until the climber saw it on the cliff,rock,stone,delayed_cue,Cliff cue resolves the stone sense late,nanogpt:gpt2,"behind him, and the boulder began to fall.

The rock was thrown up and off the","The rock was ignored until the climber saw it on the cliff behind him, and the boulder began to fall.

The rock was thrown up and off the","behind him, and the boulder began to fall.",,,
v1-052,The rock sounded flat until the drummer came on stage,rock,music,delayed_cue,Drummer and stage cues resolve music after a neutral start,nanogpt:gpt2,"and said ""We're going to do it again."" ""That's my hope,"" he continued.","The rock sounded flat until the drummer came on stage and said ""We're going to do it again."" ""That's my hope,"" he continued.","and said ""We're going to do it again.",,,
v1-053,They approached the bank in silence and only then counted the cash,bank,financial_institution,delayed_cue,Cash appears late enough to test delayed evidence,nanogpt:gpt2,"in their hand, their eyes watering. They heard another voice. ""We will take them to the","They approached the bank in silence and only then counted the cash in their hand, their eyes watering. They heard another voice. ""We will take them to the","in their hand, their eyes watering.",,,
v1-054,The bank looked empty from above until the boat,bank,river_edge,delayed_cue,Boat cue resolves river edge late after visual ambiguity,nanogpt:gpt2,"came to a stop in a small parking lot.

""It's a really weird thing,""","The bank looked empty from above until the boat came to a stop in a small parking lot.

""It's a really weird thing,""",came to a stop in a small parking lot.,,,
v1-055,The bat seemed too small until the player,bat,sports_equipment,delayed_cue,Player cue arrives late and must override size ambiguity,nanogpt:gpt2,"went up to the ball, and it gave him the advantage.

""I didn't know","The bat seemed too small until the player went up to the ball, and it gave him the advantage.

""I didn't know","went up to the ball, and it gave him the advantage.",,,
v1-056,The seal looked plain until the document,seal,closure_stamp,delayed_cue,Document cue resolves closure stamp late,nanogpt:gpt2,"reached a stop on the side of the car.

""How?"" the reporter asked.
","The seal looked plain until the document reached a stop on the side of the car.

""How?"" the reporter asked.
",reached a stop on the side of the car.,,,
v1-057,The crane was silent for a long time before it lifted steel,crane,machine,delayed_cue,Lifted steel resolves machine late after animal compatible silence,nanogpt:gpt2,cables that were falling from the floor. A series of small ropes hung from the crane's ceiling that,The crane was silent for a long time before it lifted steel cables that were falling from the floor. A series of small ropes hung from the crane's ceiling that,cables that were falling from the floor.,,,
v1-058,The crane was silent for a long time before the bird,crane,bird,delayed_cue,Bird cue resolves animal late after machine compatible silence,nanogpt:gpt2,"finally moved, but its hands were gripping the crane at the same time. The bird kept on moving","The crane was silent for a long time before the bird finally moved, but its hands were gripping the crane at the same time. The bird kept on moving","finally moved, but its hands were gripping the crane at the same time.",,,
v1-059,The spring returned only after the mechanism,spring,coil,delayed_cue,Mechanism resolves coil after abstract opening,nanogpt:gpt2,"for the change to the surface, with a few minor exceptions.

This spring was one of","The spring returned only after the mechanism for the change to the surface, with a few minor exceptions.

This spring was one of","for the change to the surface, with a few minor exceptions.",,,
v1-060,The rock changed mood when the guitar,rock,music,delayed_cue,Guitar resolves music late after an abstract opening,nanogpt:gpt2,"was changed from A to B. The song played ""It's You"" and it was just a","The rock changed mood when the guitar was changed from A to B. The song played ""It's You"" and it was just a",was changed from A to B.,,,
v1-061,After leaving the river he went to the bank to deposit,bank,financial_institution,conflicting_cue,River cue conflicts with deposit and syntax favors finance,nanogpt:gpt2,"some of his money.


The next day he returned to his car and drove to the town","After leaving the river he went to the bank to deposit some of his money.


The next day he returned to his car and drove to the town",some of his money.,,,
v1-062,After withdrawing cash he walked to the bank beside the stream to rest,bank,river_edge,conflicting_cue,Cash cues finance but beside stream favors river edge,nanogpt:gpt2,"on his feet.

The man had a large wooden knife in his hand and a small piece","After withdrawing cash he walked to the bank beside the stream to rest on his feet.

The man had a large wooden knife in his hand and a small piece",on his feet.,,,
v1-063,The bat had wings painted on it before the player swung,bat,sports_equipment,conflicting_cue,Wings cue animal but player and swung favor equipment,nanogpt:gpt2,it. The next day it got the better of the bat and the next day it did not.,The bat had wings painted on it before the player swung it. The next day it got the better of the bat and the next day it did not.,it.,,,
v1-064,The bat was held by the player after it flew from the rafters,bat,animal,conflicting_cue,Player cue conflicts with flew and rafters favor animal,nanogpt:gpt2,"of the game when it hit the ground.

""That's when I heard the car horn","The bat was held by the player after it flew from the rafters of the game when it hit the ground.

""That's when I heard the car horn",of the game when it hit the ground.,,,
v1-065,The seal near the package barked for fish and,seal,animal,conflicting_cue,Package cue conflicts with fish and animal behavior,nanogpt:gpt2,"was about 3 feet long, said John H. Brown, a former federal fisheries biologist now with the","The seal near the package barked for fish and was about 3 feet long, said John H. Brown, a former federal fisheries biologist now with the","was about 3 feet long, said John H.",,,
v1-066,The seal on the ocean themed document needed wax to,seal,closure_stamp,conflicting_cue,Ocean cue conflicts with document and wax closure evidence,nanogpt:gpt2,"adhere to - you can't go wrong with the blue version.

Image credit: Alamy","The seal on the ocean themed document needed wax to adhere to - you can't go wrong with the blue version.

Image credit: Alamy",adhere to - you can't go wrong with the blue version.,,,
v1-067,The crane near the marsh lifted steel while the operator,crane,machine,conflicting_cue,Marsh cue conflicts with lifted steel and operator,nanogpt:gpt2,"used a hydraulic ladder to climb up. The crane then lifted two others.

One of the","The crane near the marsh lifted steel while the operator used a hydraulic ladder to climb up. The crane then lifted two others.

One of the",used a hydraulic ladder to climb up. The crane then lifted two others.,,,
v1-068,The crane at the construction site spread its wings over the lake and,crane,bird,conflicting_cue,Construction site cue conflicts with wings and lake,nanogpt:gpt2,"in the water, the water was filled with water, giving the lake its name (Cynthia","The crane at the construction site spread its wings over the lake and in the water, the water was filled with water, giving the lake its name (Cynthia","in the water, the water was filled with water, giving the lake its name (Cynthia",,,
v1-069,The spring warmed the garden after the metal device,spring,season,conflicting_cue,Metal device cue conflicts with garden and warmed season context,nanogpt:gpt2,"had been shut off.

The next morning, his team headed out through a narrow hallway and","The spring warmed the garden after the metal device had been shut off.

The next morning, his team headed out through a narrow hallway and",had been shut off.,,,
v1-070,The spring in April compressed inside the mechanism and,spring,coil,conflicting_cue,April cue conflicts with compressed mechanism evidence,nanogpt:gpt2,the spring in February compressed out. The spring in December compressed out and the spring in January compressed out,The spring in April compressed inside the mechanism and the spring in February compressed out. The spring in December compressed out and the spring in January compressed out,the spring in February compressed out.,,,
v1-071,The rock from the mountain was carried onto the stage before,rock,music,conflicting_cue,Mountain cue conflicts with stage performance context,nanogpt:gpt2,"it was dropped.

The concert was called off after being interrupted by police, which was made","The rock from the mountain was carried onto the stage before it was dropped.

The concert was called off after being interrupted by police, which was made",it was dropped.,,,
v1-072,The rock song described a heavy stone on the ground and,rock,stone,conflicting_cue,Song cue conflicts with physical stone evidence,nanogpt:gpt2,"a huge stone on the ground.

""My wife gave me a hand to cut them off","The rock song described a heavy stone on the ground and a huge stone on the ground.

""My wife gave me a hand to cut them off",a huge stone on the ground.,,,
v1-073,The teller crossed the river to reach the bank and open,bank,financial_institution,conflicting_cue,River cue conflicts with teller and open branch implication,nanogpt:gpt2,the river gates. The teller took a step in front of the gate to reveal the gatekeeper,The teller crossed the river to reach the bank and open the river gates. The teller took a step in front of the gate to reveal the gatekeeper,the river gates.,,,
v1-074,The credit card floated to the bank where the boat,bank,river_edge,conflicting_cue,Credit card cue conflicts with boat and physical edge context,nanogpt:gpt2,"is in the dock.

""As soon as I got in touch with the bank, they","The credit card floated to the bank where the boat is in the dock.

""As soon as I got in touch with the bank, they",is in the dock.,,,
v1-075,The animal expert handed the bat to the player before the game,bat,sports_equipment,conflicting_cue,Animal expert cue conflicts with player and game equipment context,nanogpt:gpt2,"began. This would cause the animal not to take flight and therefore, the bat would not have a","The animal expert handed the bat to the player before the game began. This would cause the animal not to take flight and therefore, the bat would not have a",began.,,,
v1-076,The game paused when the bat in the cave opened its wings and,bat,animal,conflicting_cue,Game cue conflicts with cave and wings animal context,nanogpt:gpt2,"moved in line with the other characters' movements.

""And I got to see a little","The game paused when the bat in the cave opened its wings and moved in line with the other characters' movements.

""And I got to see a little",moved in line with the other characters' movements.,,,
v1-077,The official watched the seal splash in the water for fish,seal,animal,conflicting_cue,Official cue weakly suggests stamp but water and fish favor animal,nanogpt:gpt2,"to eat, then turned on the light and went on back to the pool.

The seal","The official watched the seal splash in the water for fish to eat, then turned on the light and went on back to the pool.

The seal","to eat, then turned on the light and went on back to the pool.",,,
v1-078,The flippers logo sat under the official seal on the package,seal,closure_stamp,conflicting_cue,Flippers cue conflicts with official and package evidence,nanogpt:gpt2,".

The package was a gift from the local chapter of the American Folklore Society to the","The flippers logo sat under the official seal on the package.

The package was a gift from the local chapter of the American Folklore Society to the",.,,,
v1-079,The bird shaped crane at the site moved the steel,crane,machine,conflicting_cue,Bird surface conflicts with site and steel machinery context,nanogpt:gpt2,"rods and sawed-off panels back, the crane's crane, which is still in the ground","The bird shaped crane at the site moved the steel rods and sawed-off panels back, the crane's crane, which is still in the ground","rods and sawed-off panels back, the crane's crane, which is still in the ground",,,
v1-080,The operator photographed the crane as the bird crossed the lake,crane,bird,conflicting_cue,Operator cue conflicts with explicit bird and lake evidence,nanogpt:gpt2,", then followed it to a nearby lake.

A video released by the National Transportation Safety Board","The operator photographed the crane as the bird crossed the lake, then followed it to a nearby lake.

A video released by the National Transportation Safety Board",", then followed it to a nearby lake.",,,
v1-081,The bank was not beside a river so the clerk prepared to,bank,financial_institution,negation,Negated river cue should not trigger river edge,nanogpt:gpt2,"sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was","The bank was not beside a river so the clerk prepared to sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was","sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was",,,
v1-082,The bank was not a place for money as the hikers slid down to,bank,river_edge,negation,Negated money cue should not trigger finance,nanogpt:gpt2,"it. But if they were still conscious you could see that their bodies were being pulled down.
","The bank was not a place for money as the hikers slid down to it. But if they were still conscious you could see that their bodies were being pulled down.
",it.,,,
v1-083,The bat was not an animal because the batter raised it to,bat,sports_equipment,negation,Negated animal cue should not override batter context,nanogpt:gpt2,"his head. The bat had been raised for the purpose of batting.

Advertisement

""","The bat was not an animal because the batter raised it to his head. The bat had been raised for the purpose of batting.

Advertisement

""",his head. The bat had been raised for the purpose of batting.,,,
v1-084,The bat was not for a game as it tucked its wings and,bat,animal,negation,Negated game cue should not override wings,nanogpt:gpt2,"a smile spread across its face as the ball swung into the air, taking a second to strike the","The bat was not for a game as it tucked its wings and a smile spread across its face as the ball swung into the air, taking a second to strike the","a smile spread across its face as the ball swung into the air, taking a second to strike the",,,
v1-085,The seal was not an animal when the clerk pressed it onto the form to,seal,closure_stamp,negation,Negated animal cue should not block closure sense,nanogpt:gpt2,"check if he saw it. He didn't have to do any testing, he just gave it his","The seal was not an animal when the clerk pressed it onto the form to check if he saw it. He didn't have to do any testing, he just gave it his",check if he saw it.,,,
v1-086,The seal was not a stamp as it surfaced beside the pier and,seal,animal,negation,Negated stamp cue should not block animal reading,nanogpt:gpt2,I couldn't see it. I could only hear the sound of a hand being shoved down her skirt,The seal was not a stamp as it surfaced beside the pier and I couldn't see it. I could only hear the sound of a hand being shoved down her skirt,I couldn't see it.,,,
v1-087,The crane was not a bird because the operator lowered the hook to,crane,machine,negation,Negated bird cue should not override operator context,nanogpt:gpt2,try and cut away the tail. But it was a bird because it caught the tail and released it,The crane was not a bird because the operator lowered the hook to try and cut away the tail. But it was a bird because it caught the tail and released it,try and cut away the tail.,,,
v1-088,The crane was not at a construction site as it crossed the reeds and,crane,bird,negation,Negated construction cue should not override bird behavior,nanogpt:gpt2,"was in position to be operated by a crane operator.

The crane operator said: ""I","The crane was not at a construction site as it crossed the reeds and was in position to be operated by a crane operator.

The crane operator said: ""I",was in position to be operated by a crane operator.,,,
v1-089,The spring was not warm weather because the latch pushed it back and,spring,coil,negation,Negated weather cue should not override mechanical context,nanogpt:gpt2,"forth, but it did not take long for the latch to be released. I was trying to pull","The spring was not warm weather because the latch pushed it back and forth, but it did not take long for the latch to be released. I was trying to pull","forth, but it did not take long for the latch to be released.",,,
v1-090,The spring was not a metal device after the thaw made the fields,spring,season,negation,Negated metal device cue should not block season,nanogpt:gpt2,"and the water muddy.

""The water was not muddy, but wet,"" says Dr.","The spring was not a metal device after the thaw made the fields and the water muddy.

""The water was not muddy, but wet,"" says Dr.",and the water muddy.,,,
v1-091,The rock was not a stone after the guitarist tuned up and,rock,music,negation,Negated stone cue should not override music evidence,nanogpt:gpt2,"began playing that same song he'd done in his last album with the band, ""Riot"".","The rock was not a stone after the guitarist tuned up and began playing that same song he'd done in his last album with the band, ""Riot"".","began playing that same song he'd done in his last album with the band, ""Riot"".",,,
