row_id,term,baseline_decision,overlay_decision,change_type,is_newly_audited,overlay_influenced,primary_audit_reason,blocker_type,required_input,expected_effect,curriculum_task_id,why_overlay_insufficient,targetable
v1-102,crane,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-103,crane,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-104,spring,audit,audit,unchanged_audit,no,no,sense_tie,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-104-missing_phrase_candidate-f74f99dffa,,yes
v1-105,spring,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-105-missing_phrase_candidate-cb241f7daa,,yes
v1-106,rock,audit,audit,unchanged_audit,no,no,low_margin,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-106-missing_phrase_candidate-5c8ab2fc47,,yes
v1-107,rock,audit,audit,unchanged_audit,no,no,sense_tie,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-107-missing_phrase_candidate-896608b35b,,yes
v1-108,seal,audit,audit,unchanged_audit,no,no,sense_tie,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-109,bank,audit,audit,unchanged_audit,no,no,low_margin,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-109-missing_phrase_candidate-9b4b56cd39,,yes
v1-110,crane,continue,audit,continue_to_audit,yes,yes,,low_margin_conflict,positive_cue,should_remain_audit,,newly_audited_by_overlay,no
v1-111,bank,audit,audit,unchanged_audit,no,no,unsupported_or_underconstrained_context,unsupported_context,no_action_safe_audit,should_remain_audit,task-v1-111-unsupported_context-d49f9f77a4,,no
v1-112,bat,audit,audit,unchanged_audit,no,no,unsupported_or_underconstrained_context,unsupported_context,no_action_safe_audit,should_remain_audit,task-v1-112-unsupported_context-1dd6dbc6e6,,no
v1-113,seal,audit,audit,unchanged_audit,no,no,unsupported_or_underconstrained_context,unsupported_context,no_action_safe_audit,should_remain_audit,task-v1-113-unsupported_context-0cdcbc80e2,,no
v1-114,crane,audit,audit,unchanged_audit,no,no,unsupported_or_underconstrained_context,unsupported_context,no_action_safe_audit,should_remain_audit,task-v1-114-unsupported_context-3264451285,,no
v1-115,spring,audit,audit,unchanged_audit,no,no,unsupported_or_underconstrained_context,unsupported_context,no_action_safe_audit,should_remain_audit,task-v1-115-unsupported_context-116dda29ed,,no
v1-116,,audit,audit,unchanged_audit,no,no,missing_sense_memory,missing_sense_memory,sense_memory_entry,should_remain_audit,task-v1-116-missing_sense_memory-aa40515259,,no
v1-117,,audit,audit,unchanged_audit,no,no,missing_sense_memory,missing_sense_memory,sense_memory_entry,should_remain_audit,task-v1-117-missing_sense_memory-308692425e,,no
v1-118,,audit,audit,unchanged_audit,no,no,missing_sense_memory,missing_sense_memory,sense_memory_entry,should_remain_audit,task-v1-118-missing_sense_memory-02bf608062,,no
v1-119,,audit,audit,unchanged_audit,no,no,missing_sense_memory,missing_sense_memory,sense_memory_entry,should_remain_audit,task-v1-119-missing_sense_memory-7c05d6fe3b,,no
v1-120,,audit,audit,unchanged_audit,no,no,missing_sense_memory,missing_sense_memory,sense_memory_entry,should_remain_audit,task-v1-120-missing_sense_memory-eb2295a79d,,no
