row_id,question,expected_decision,expected_intent,expected_subject,expected_answer_contains,risk_level
eqa-exp-v1-073,Is Elon Musk's net worth a stable fact?,answer,source_fact_lookup,Elon Musk,volatile;source-qualified,high
eqa-exp-v1-074,Is Musk's net worth volatile?,answer,source_fact_lookup,Musk,volatile;source-qualified,high
eqa-exp-v1-075,Is Elon Musk's net worth volatile?,answer,source_fact_lookup,Elon Musk,volatile,high
eqa-exp-v1-076,Why should Musk's net worth be rechecked?,answer,source_fact_lookup,Musk,recheck,high
eqa-exp-v1-077,Why should Elon Musk's net worth be rechecked?,answer,source_fact_lookup,Elon Musk,recheck,high
eqa-exp-v1-078,Does the overlay require rechecking Musk's net worth?,answer,source_fact_lookup,Musk,recheck,high
eqa-exp-v1-079,Does the overlay require rechecking Elon Musk's net worth?,answer,source_fact_lookup,Elon Musk,recheck,high
eqa-exp-v1-080,What is Elon Musk's favorite food?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-081,Who is the current CEO of Tesla?,audit,unknown_or_unsupported,Tesla,,low
eqa-exp-v1-082,Who is the current CEO of SpaceX?,audit,unknown_or_unsupported,SpaceX,,low
eqa-exp-v1-083,What is Tesla's current stock price?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-084,What is SpaceX's current valuation?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-085,What is the current market cap of Tesla?,audit,unknown_or_unsupported,Tesla,,low
eqa-exp-v1-086,What is the current price of Tesla stock?,audit,unknown_or_unsupported,Tesla stock,,low
eqa-exp-v1-087,How much is Tesla stock today?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-088,What is SpaceX worth right now?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-089,What is SpaceX's valuation right now?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-090,What is Musk doing today?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-091,What is Elon Musk doing today?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-092,What is Elon Musk's phone number?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-093,What is Elon Musk's home address?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-094,What is Elon Musk's date of birth?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-095,Where does Elon Musk live right now?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-096,What is Tesla's latest quarterly revenue?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-097,What is Forbes' latest ranking of Elon Musk?,audit,unknown_or_unsupported,Elon Musk,,low
eqa-exp-v1-098,What is Tesla's market cap right now?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-099,Does Forbes lead Tesla?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-100,Does Tesla lead Elon Musk?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-101,Is Tesla the founder of Elon Musk?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-102,Is SpaceX the founder of Elon Musk?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-103,Did SpaceX found Elon Musk?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-104,Did Tesla found Elon Musk?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-105,Is Rocket a company?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-106,Is leadership a company?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-107,Is net worth a stable physical property?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-108,Is leadership a product made by Tesla?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-109,Is Bloomberg News the same as Bloomberg L.P.?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-110,Is Forbes the same as Bloomberg News?,audit,unknown_or_unsupported,,,low
eqa-exp-v1-111,Does a weak link prove the claim?,audit,unknown_or_unsupported,,,low
