item_type,entity_id,subject,label,predicate,relation,object,surface,target,entity_type,source_page,source_name,as_of,claim_type,stability,strength,risk,status,requires_recheck,evidence_text
relation_claim,,Tesla,,produces,,Electric cars,,,,Tesla,,,,semi_stable,,medium,candidate,,products: Electric cars; Battery storage
relation_claim,,Tesla,,produces,,Battery storage,,,,Tesla,,,,semi_stable,,medium,candidate,,products: Electric cars; Battery storage
relation_claim,,Martin Eberhard,,founded,,Tesla,,,,Tesla,,,,semi_stable,,medium,candidate,,Martin Eberhard founded Tesla
relation_claim,,Marc Tarpenning,,founded,,Tesla,,,,Tesla,,,,semi_stable,,medium,candidate,,Marc Tarpenning founded Tesla
context_link,,,,,mentioned_with,,electric vehicle,Electric vehicle,,Tesla,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,clean energy,Clean energy,,Tesla,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,electric cars,Electric car,,Tesla,,,,,weak,,candidate,,
entity_card,wikidata:Q193701,,SpaceX,,,,,,organization,SpaceX,,,,,,low,candidate,,
definition_claim,,SpaceX,,is_a,,aerospace manufacturer and space transportation company,,,,SpaceX,,,,stable,,low,candidate,,SpaceX is an aerospace manufacturer and space transportation company.
relation_claim,,SpaceX,,develops,,rockets,,,,SpaceX,,,,semi_stable,,medium,candidate,,develops rockets and spacecraft.
relation_claim,,SpaceX,,develops,,spacecraft,,,,SpaceX,,,,semi_stable,,medium,candidate,,develops rockets and spacecraft.
relation_claim,,SpaceX,,produces,,Falcon rockets,,,,SpaceX,,,,semi_stable,,medium,candidate,,products: Falcon rockets; Dragon spacecraft
relation_claim,,SpaceX,,produces,,Dragon spacecraft,,,,SpaceX,,,,semi_stable,,medium,candidate,,products: Falcon rockets; Dragon spacecraft
relation_claim,,Elon Musk,,founded,,SpaceX,,,,SpaceX,,,,semi_stable,,medium,candidate,,Elon Musk founded SpaceX
context_link,,,,,mentioned_with,,aerospace,Aerospace manufacturing,,SpaceX,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,rockets,Rocket,,SpaceX,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,spacecraft,Spacecraft,,SpaceX,,,,,weak,,candidate,,
entity_card,wikidata:Q49325,,Forbes,,,,,,publication,Forbes,,,,,,low,candidate,,
definition_claim,,Forbes,,is_a,,American business magazine,,,,Forbes,,,,stable,,low,candidate,,Forbes is an American business magazine.
relation_claim,,Forbes,,publishes,,business rankings,,,,Forbes,,,,semi_stable,,medium,candidate,,publishes business rankings and financial lists.
relation_claim,,Forbes,,publishes,,financial lists,,,,Forbes,,,,semi_stable,,medium,candidate,,publishes business rankings and financial lists.
context_link,,,,,mentioned_with,,business magazine,Business journalism,,Forbes,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,rankings,Ranking,,Forbes,,,,,weak,,candidate,,
entity_card,wikidata:Q484275,,Leadership,,,,,,concept,Leadership,,,,,,low,candidate,,
definition_claim,,Leadership,,is_a,,ability to guide a group of people toward a common goal,,,,Leadership,,,,stable,,low,candidate,,Leadership is the ability to guide a group of people toward a common goal.
context_link,,,,,mentioned_with,,group,Social group,,Leadership,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,goal,Goal,,Leadership,,,,,weak,,candidate,,
entity_card,wikidata:Q13629441,,Electric vehicle,,,,,,technology,Electric vehicle,,,,,,low,candidate,,
definition_claim,,Electric vehicle,,is_a,,vehicle that uses one or more electric motors for propulsion,,,,Electric vehicle,,,,stable,,low,candidate,,An electric vehicle is a vehicle that uses one or more electric motors for propulsion.
context_link,,,,,mentioned_with,,electric motors,Electric motor,,Electric vehicle,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,battery,Electric battery,,Electric vehicle,,,,,weak,,candidate,,
entity_card,wikidata:Q41291,,Rocket,,,,,,technology,Rocket,,,,,,low,candidate,,
definition_claim,,Rocket,,is_a,,vehicle that obtains thrust from a rocket engine,,,,Rocket,,,,stable,,low,candidate,,A rocket is a vehicle that obtains thrust from a rocket engine.
context_link,,,,,mentioned_with,,thrust,Thrust,,Rocket,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,rocket engine,Rocket engine,,Rocket,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,spaceflight,Spaceflight,,Rocket,,,,,weak,,candidate,,
entity_card,wikidata:Q1132911,,Net worth,,,,,,concept,Net worth,,,,,,low,candidate,,
definition_claim,,Net worth,,is_a,,value of all assets minus liabilities,,,,Net worth,,,,stable,,low,candidate,,Net worth is the value of all assets minus liabilities.
context_link,,,,,mentioned_with,,assets,Asset,,Net worth,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,liabilities,Liability,,Net worth,,,,,weak,,candidate,,
entity_card,wiki:Businessperson,,Businessperson,,,,,,concept,Businessperson,,,,,,low,candidate,,
definition_claim,,Businessperson,,is_a,,person who engages in commercial activity,,,,Businessperson,,,,stable,,low,candidate,,A businessperson is a person who engages in commercial activity.
context_link,,,,,mentioned_with,,commercial,Commerce,,Businessperson,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,trade,Trade,,Businessperson,,,,,weak,,candidate,,
entity_card,wikidata:Q1505829,,Bloomberg News,,,,,,publication,Bloomberg News,,,,,,low,candidate,,
definition_claim,,Bloomberg News,,is_a,,international news organization,,,,Bloomberg News,,,,stable,,low,candidate,,Bloomberg News is an international news organization.
relation_claim,,Bloomberg News,,publishes,,financial market coverage,,,,Bloomberg News,,,,semi_stable,,medium,candidate,,publishes financial market coverage and wealth indexes.
relation_claim,,Bloomberg News,,publishes,,wealth indexes,,,,Bloomberg News,,,,semi_stable,,medium,candidate,,publishes financial market coverage and wealth indexes.
context_link,,,,,mentioned_with,,news,Journalism,,Bloomberg News,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,financial market,Financial market,,Bloomberg News,,,,,weak,,candidate,,
entity_card,wiki:Martin_Eberhard,,Martin Eberhard,,,,,,person,Martin Eberhard,,,,,,low,candidate,,
definition_claim,,Martin Eberhard,,is_a,,engineer,,,,Martin Eberhard,,,,stable,,low,candidate,,Martin Eberhard is an engineer known for co-founding Tesla.
relation_claim,,Martin Eberhard,,known_for,,co-founding Tesla,,,,Martin Eberhard,,,,semi_stable,,medium,candidate,,known for co-founding Tesla.
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Martin Eberhard,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,electric cars,Electric car,,Martin Eberhard,,,,,weak,,candidate,,
entity_card,wiki:Marc_Tarpenning,,Marc Tarpenning,,,,,,person,Marc Tarpenning,,,,,,low,candidate,,
definition_claim,,Marc Tarpenning,,is_a,,engineer,,,,Marc Tarpenning,,,,stable,,low,candidate,,Marc Tarpenning is an engineer known for co-founding Tesla.
relation_claim,,Marc Tarpenning,,known_for,,co-founding Tesla,,,,Marc Tarpenning,,,,semi_stable,,medium,candidate,,known for co-founding Tesla.
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Marc Tarpenning,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,electric vehicle,Electric vehicle,,Marc Tarpenning,,,,,weak,,candidate,,
entity_card,wiki:Gwynne_Shotwell,,Gwynne Shotwell,,,,,,person,Gwynne Shotwell,,,,,,low,candidate,,
definition_claim,,Gwynne Shotwell,,is_a,,businesswoman,,,,Gwynne Shotwell,,,,stable,,low,candidate,,Gwynne Shotwell is a businesswoman known for her leadership of SpaceX.
relation_claim,,Gwynne Shotwell,,leader_of,,SpaceX,,,,Gwynne Shotwell,,,,semi_stable,,medium,candidate,,known for her leadership of SpaceX
context_link,,,,,mentioned_with,,leadership,Leadership,,Gwynne Shotwell,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,SpaceX,SpaceX,,Gwynne Shotwell,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,rocket,Rocket,,Gwynne Shotwell,,,,,weak,,candidate,,
entity_card,wikidata:Q312556,,Jeff Bezos,,,,,,person,Jeff Bezos,,,,,,low,candidate,,
definition_claim,,Jeff Bezos,,is_a,,businessman,,,,Jeff Bezos,,,,stable,,low,candidate,,Jeff Bezos is a businessman known for his leadership of Blue Origin.
relation_claim,,Jeff Bezos,,leader_of,,Blue Origin,,,,Jeff Bezos,,,,semi_stable,,medium,candidate,,known for his leadership of Blue Origin
context_link,,,,,mentioned_with,,businessman,Business magnate,,Jeff Bezos,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,leadership,Leadership,,Jeff Bezos,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Blue Origin,Blue Origin,,Jeff Bezos,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,net worth,Net worth,,Jeff Bezos,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Forbes,Forbes,,Jeff Bezos,,,,,weak,,candidate,,
source_qualified_fact,,Jeff Bezos,,estimated_net_worth,,US$200 billion,,,,Jeff Bezos,Forbes,2026-06,time_sensitive_estimate,volatile,,high,candidate,True,Forbes has estimated Bezos's net worth at US$200 billion in recent business rankings.
entity_card,wikidata:Q191300,,Bernard Arnault,,,,,,person,Bernard Arnault,,,,,,low,candidate,,
definition_claim,,Bernard Arnault,,is_a,,businessman,,,,Bernard Arnault,,,,stable,,low,candidate,,Bernard Arnault is a businessman known for his leadership of luxury goods companies.
relation_claim,,Bernard Arnault,,leader_of,,luxury goods companies,,,,Bernard Arnault,,,,semi_stable,,medium,candidate,,known for his leadership of luxury goods companies
context_link,,,,,mentioned_with,,businessman,Business magnate,,Bernard Arnault,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,net worth,Net worth,,Bernard Arnault,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Bloomberg,Bloomberg News,,Bernard Arnault,,,,,weak,,candidate,,
source_qualified_fact,,Bernard Arnault,,estimated_net_worth,,US$180 billion,,,,Bernard Arnault,Bloomberg,2026-06,time_sensitive_estimate,volatile,,high,candidate,True,Bloomberg has estimated Arnault's net worth at US$180 billion in its wealth index.
entity_card,wikidata:Q607,,Michael Bloomberg,,,,,,person,Michael Bloomberg,,,,,,low,candidate,,
definition_claim,,Michael Bloomberg,,is_a,,businessman,,,,Michael Bloomberg,,,,stable,,low,candidate,,Michael Bloomberg is a businessman known for his leadership of Bloomberg LP Forbes has estimated Bloomberg's net worth at US$100 billion in recent business rankings.
context_link,,,,,mentioned_with,,businessman,Business magnate,,Michael Bloomberg,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Bloomberg LP,Bloomberg LP,,Michael Bloomberg,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,net worth,Net worth,,Michael Bloomberg,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Forbes,Forbes,,Michael Bloomberg,,,,,weak,,candidate,,
source_qualified_fact,,Michael Bloomberg,,estimated_net_worth,,US$100 billion,,,,Michael Bloomberg,Forbes,2026-06,time_sensitive_estimate,volatile,,high,candidate,True,Michael Bloomberg is a businessman known for his leadership of Bloomberg LP Forbes has estimated Bloomberg's net worth at US$100 billion in recent business rankings.
entity_card,wiki:Tesla_Energy,,Tesla Energy,,,,,,organization,Tesla Energy,,,,,,low,candidate,,
definition_claim,,Tesla Energy,,is_a,,clean energy division of Tesla,,,,Tesla Energy,,,,stable,,low,candidate,,Tesla Energy is a clean energy division of Tesla.
relation_claim,,Tesla Energy,,produces,,solar panels,,,,Tesla Energy,,,,semi_stable,,medium,candidate,,produces solar panels and battery storage.
relation_claim,,Tesla Energy,,produces,,battery storage,,,,Tesla Energy,,,,semi_stable,,medium,candidate,,produces solar panels and battery storage.
relation_claim,,Tesla Energy,,produces,,Solar panels,,,,Tesla Energy,,,,semi_stable,,medium,candidate,,products: Solar panels; Battery storage
relation_claim,,Tesla Energy,,produces,,Battery storage,,,,Tesla Energy,,,,semi_stable,,medium,candidate,,products: Solar panels; Battery storage
context_link,,,,,mentioned_with,,clean energy,Clean energy,,Tesla Energy,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Tesla Energy,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,battery,Lithium-ion battery,,Tesla Energy,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,solar,Solar energy,,Tesla Energy,,,,,weak,,candidate,,
entity_card,wikidata:Q28453487,,Neuralink,,,,,,organization,Neuralink,,,,,,low,candidate,,
definition_claim,,Neuralink,,is_a,,neurotechnology company,,,,Neuralink,,,,stable,,low,candidate,,Neuralink is a neurotechnology company.
relation_claim,,Neuralink,,develops,,brain-computer interfaces,,,,Neuralink,,,,semi_stable,,medium,candidate,,develops brain-computer interfaces.
relation_claim,,Elon Musk,,founded,,Neuralink,,,,Neuralink,,,,semi_stable,,medium,candidate,,Elon Musk founded Neuralink
context_link,,,,,mentioned_with,,neurotechnology,Neurotechnology,,Neuralink,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,brain-computer interfaces,Brain-computer interface,,Neuralink,,,,,weak,,candidate,,
entity_card,wikidata:Q42906900,,The Boring Company,,,,,,organization,The Boring Company,,,,,,low,candidate,,
definition_claim,,The Boring Company,,is_a,,infrastructure company,,,,The Boring Company,,,,stable,,low,candidate,,The Boring Company is an infrastructure company.
relation_claim,,The Boring Company,,develops,,tunnels,,,,The Boring Company,,,,semi_stable,,medium,candidate,,develops tunnels and transportation systems.
relation_claim,,The Boring Company,,develops,,transportation systems,,,,The Boring Company,,,,semi_stable,,medium,candidate,,develops tunnels and transportation systems.
relation_claim,,Elon Musk,,founded,,The Boring Company,,,,The Boring Company,,,,semi_stable,,medium,candidate,,Elon Musk founded The Boring Company
context_link,,,,,mentioned_with,,infrastructure,Infrastructure,,The Boring Company,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,tunnels,Tunnel,,The Boring Company,,,,,weak,,candidate,,
entity_card,wiki:xAI,,xAI,,,,,,organization,xAI,,,,,,low,candidate,,
definition_claim,,xAI,,is_a,,artificial intelligence company,,,,xAI,,,,stable,,low,candidate,,xAI is an artificial intelligence company.
relation_claim,,xAI,,develops,,large language models,,,,xAI,,,,semi_stable,,medium,candidate,,develops large language models.
relation_claim,,Elon Musk,,founded,,xAI,,,,xAI,,,,semi_stable,,medium,candidate,,Elon Musk founded xAI
context_link,,,,,mentioned_with,,artificial intelligence,Artificial intelligence,,xAI,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,large language models,Large language model,,xAI,,,,,weak,,candidate,,
entity_card,wikidata:Q21708200,,OpenAI,,,,,,organization,OpenAI,,,,,,low,candidate,,
definition_claim,,OpenAI,,is_a,,artificial intelligence research organization,,,,OpenAI,,,,stable,,low,candidate,,OpenAI is an artificial intelligence research organization.
relation_claim,,OpenAI,,develops,,large language models,,,,OpenAI,,,,semi_stable,,medium,candidate,,develops large language models.
context_link,,,,,mentioned_with,,artificial intelligence,Artificial intelligence,,OpenAI,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,large language models,Large language model,,OpenAI,,,,,weak,,candidate,,
entity_card,wikidata:Q23548,,NASA,,,,,,organization,NASA,,,,,,low,candidate,,
definition_claim,,NASA,,is_a,,American space agency,,,,NASA,,,,stable,,low,candidate,,NASA is an American space agency.
relation_claim,,NASA,,develops,,spacecraft,,,,NASA,,,,semi_stable,,medium,candidate,,develops spacecraft and launch systems.
relation_claim,,NASA,,develops,,launch systems,,,,NASA,,,,semi_stable,,medium,candidate,,develops spacecraft and launch systems.
context_link,,,,,mentioned_with,,space agency,Space agency,,NASA,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,spacecraft,Spacecraft,,NASA,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,launch systems,Launch vehicle,,NASA,,,,,weak,,candidate,,
entity_card,wikidata:Q1392583,,Blue Origin,,,,,,organization,Blue Origin,,,,,,low,candidate,,
definition_claim,,Blue Origin,,is_a,,American aerospace company,,,,Blue Origin,,,,stable,,low,candidate,,Blue Origin is an American aerospace company.
relation_claim,,Blue Origin,,develops,,rockets,,,,Blue Origin,,,,semi_stable,,medium,candidate,,develops rockets and spacecraft.
relation_claim,,Blue Origin,,develops,,spacecraft,,,,Blue Origin,,,,semi_stable,,medium,candidate,,develops rockets and spacecraft.
relation_claim,,Jeff Bezos,,founded,,Blue Origin,,,,Blue Origin,,,,semi_stable,,medium,candidate,,Jeff Bezos founded Blue Origin
context_link,,,,,mentioned_with,,aerospace,Aerospace manufacturing,,Blue Origin,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,rockets,Rocket,,Blue Origin,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,spacecraft,Spacecraft,,Blue Origin,,,,,weak,,candidate,,
entity_card,wikidata:Q616866,,Bloomberg LP,,,,,,organization,Bloomberg LP,,,,,,low,candidate,,
definition_claim,,Bloomberg LP,,is_a,,financial data and media company,,,,Bloomberg LP,,,,stable,,low,candidate,,Bloomberg LP is a financial data and media company.
relation_claim,,Bloomberg LP,,publishes,,financial data,,,,Bloomberg LP,,,,semi_stable,,medium,candidate,,publishes financial data and analytics.
relation_claim,,Bloomberg LP,,publishes,,analytics,,,,Bloomberg LP,,,,semi_stable,,medium,candidate,,publishes financial data and analytics.
context_link,,,,,mentioned_with,,financial data,Financial market,,Bloomberg LP,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,media,Mass media,,Bloomberg LP,,,,,weak,,candidate,,
entity_card,wikidata:Q623,,CNBC,,,,,,publication,CNBC,,,,,,low,candidate,,
definition_claim,,CNBC,,is_a,,American business news channel,,,,CNBC,,,,stable,,low,candidate,,CNBC is an American business news channel.
relation_claim,,CNBC,,publishes,,business news,,,,CNBC,,,,semi_stable,,medium,candidate,,publishes business news and market coverage.
relation_claim,,CNBC,,publishes,,market coverage,,,,CNBC,,,,semi_stable,,medium,candidate,,publishes business news and market coverage.
context_link,,,,,mentioned_with,,business news,Business journalism,,CNBC,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,market,Financial market,,CNBC,,,,,weak,,candidate,,
entity_card,wikidata:Q130879,,Reuters,,,,,,publication,Reuters,,,,,,low,candidate,,
definition_claim,,Reuters,,is_a,,international news organization,,,,Reuters,,,,stable,,low,candidate,,Reuters is an international news organization.
relation_claim,,Reuters,,publishes,,news,,,,Reuters,,,,semi_stable,,medium,candidate,,publishes news and financial coverage.
relation_claim,,Reuters,,publishes,,financial coverage,,,,Reuters,,,,semi_stable,,medium,candidate,,publishes news and financial coverage.
context_link,,,,,mentioned_with,,news,Journalism,,Reuters,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,financial,Financial market,,Reuters,,,,,weak,,candidate,,
entity_card,wiki:Space.com,,Space.com,,,,,,publication,Space.com,,,,,,low,candidate,,
definition_claim,,Space.com,,is_a,,online publication,,,,Space.com,,,,stable,,low,candidate,,Space.com is an online publication.
relation_claim,,Space.com,,publishes,,spaceflight news,,,,Space.com,,,,semi_stable,,medium,candidate,,publishes spaceflight news and coverage.
relation_claim,,Space.com,,publishes,,coverage,,,,Space.com,,,,semi_stable,,medium,candidate,,publishes spaceflight news and coverage.
context_link,,,,,mentioned_with,,spaceflight,Spaceflight,,Space.com,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,news,Journalism,,Space.com,,,,,weak,,candidate,,
entity_card,wikidata:Q1505462,,SolarCity,,,,,,organization,SolarCity,,,,,,low,candidate,,
definition_claim,,SolarCity,,is_a,,solar energy company,,,,SolarCity,,,,stable,,low,candidate,,SolarCity is a solar energy company.
relation_claim,,SolarCity,,produces,,solar panels,,,,SolarCity,,,,semi_stable,,medium,candidate,,produces solar panels and energy systems.
relation_claim,,SolarCity,,produces,,energy systems,,,,SolarCity,,,,semi_stable,,medium,candidate,,produces solar panels and energy systems.
relation_claim,,SolarCity,,produces,,Solar panels,,,,SolarCity,,,,semi_stable,,medium,candidate,,products: Solar panels; Energy systems
relation_claim,,SolarCity,,produces,,Energy systems,,,,SolarCity,,,,semi_stable,,medium,candidate,,products: Solar panels; Energy systems
context_link,,,,,mentioned_with,,solar energy,Solar energy,,SolarCity,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,clean energy,Clean energy,,SolarCity,,,,,weak,,candidate,,
entity_card,wikidata:Q47432,,Falcon 9,,,,,,product,Falcon 9,,,,,,low,candidate,,
definition_claim,,Falcon 9,,is_a,,reusable launch vehicle developed by SpaceX,,,,Falcon 9,,,,stable,,low,candidate,,Falcon 9 is a reusable launch vehicle developed by SpaceX.
context_link,,,,,mentioned_with,,reusable,Reusable rocket,,Falcon 9,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,launch vehicle,Launch vehicle,,Falcon 9,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,SpaceX,SpaceX,,Falcon 9,,,,,weak,,candidate,,
entity_card,wikidata:Q1378948,,Falcon Heavy,,,,,,product,Falcon Heavy,,,,,,low,candidate,,
definition_claim,,Falcon Heavy,,is_a,,heavy-lift launch vehicle developed by SpaceX,,,,Falcon Heavy,,,,stable,,low,candidate,,Falcon Heavy is a heavy-lift launch vehicle developed by SpaceX.
context_link,,,,,mentioned_with,,launch vehicle,Launch vehicle,,Falcon Heavy,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,reusable,Reusable rocket,,Falcon Heavy,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,SpaceX,SpaceX,,Falcon Heavy,,,,,weak,,candidate,,
entity_card,wikidata:Q14637321,,Starship,,,,,,product,Starship,,,,,,low,candidate,,
definition_claim,,Starship,,is_a,,fully reusable spacecraft and launch vehicle developed by SpaceX,,,,Starship,,,,stable,,low,candidate,,Starship is a fully reusable spacecraft and launch vehicle developed by SpaceX.
context_link,,,,,mentioned_with,,reusable,Reusable rocket,,Starship,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,spacecraft,Spacecraft,,Starship,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,SpaceX,SpaceX,,Starship,,,,,weak,,candidate,,
entity_card,wikidata:Q654405,,Dragon spacecraft,,,,,,product,Dragon spacecraft,,,,,,low,candidate,,
definition_claim,,Dragon spacecraft,,is_a,,spacecraft developed by SpaceX,,,,Dragon spacecraft,,,,stable,,low,candidate,,Dragon spacecraft is a spacecraft developed by SpaceX.
context_link,,,,,mentioned_with,,spacecraft,Spacecraft,,Dragon spacecraft,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,SpaceX,SpaceX,,Dragon spacecraft,,,,,weak,,candidate,,
entity_card,wikidata:Q1463050,,Tesla Model S,,,,,,product,Tesla Model S,,,,,,low,candidate,,
definition_claim,,Tesla Model S,,is_a,,electric car produced by Tesla,,,,Tesla Model S,,,,stable,,low,candidate,,Tesla Model S is an electric car produced by Tesla.
context_link,,,,,mentioned_with,,electric car,Electric car,,Tesla Model S,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Tesla Model S,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,battery electric,Battery electric vehicle,,Tesla Model S,,,,,weak,,candidate,,
entity_card,wikidata:Q21041563,,Tesla Model 3,,,,,,product,Tesla Model 3,,,,,,low,candidate,,
definition_claim,,Tesla Model 3,,is_a,,electric car produced by Tesla,,,,Tesla Model 3,,,,stable,,low,candidate,,Tesla Model 3 is an electric car produced by Tesla.
context_link,,,,,mentioned_with,,electric car,Electric car,,Tesla Model 3,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Tesla Model 3,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,battery electric,Battery electric vehicle,,Tesla Model 3,,,,,weak,,candidate,,
entity_card,wikidata:Q1995131,,Tesla Model X,,,,,,product,Tesla Model X,,,,,,low,candidate,,
definition_claim,,Tesla Model X,,is_a,,electric SUV produced by Tesla,,,,Tesla Model X,,,,stable,,low,candidate,,Tesla Model X is an electric SUV produced by Tesla.
context_link,,,,,mentioned_with,,electric,Electric vehicle,,Tesla Model X,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Tesla Model X,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,battery electric,Battery electric vehicle,,Tesla Model X,,,,,weak,,candidate,,
entity_card,wikidata:Q61463972,,Tesla Model Y,,,,,,product,Tesla Model Y,,,,,,low,candidate,,
definition_claim,,Tesla Model Y,,is_a,,electric SUV produced by Tesla,,,,Tesla Model Y,,,,stable,,low,candidate,,Tesla Model Y is an electric SUV produced by Tesla.
context_link,,,,,mentioned_with,,electric,Electric vehicle,,Tesla Model Y,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Tesla Model Y,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,battery electric,Battery electric vehicle,,Tesla Model Y,,,,,weak,,candidate,,
entity_card,wikidata:Q60711459,,Tesla Cybertruck,,,,,,product,Tesla Cybertruck,,,,,,low,candidate,,
definition_claim,,Tesla Cybertruck,,is_a,,electric pickup truck produced by Tesla,,,,Tesla Cybertruck,,,,stable,,low,candidate,,Tesla Cybertruck is an electric pickup truck produced by Tesla.
context_link,,,,,mentioned_with,,electric,Electric vehicle,,Tesla Cybertruck,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Tesla Cybertruck,,,,,weak,,candidate,,
entity_card,wiki:Powerwall,,Powerwall,,,,,,product,Powerwall,,,,,,low,candidate,,
