id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,model,completion,full_text,judged_text,judged_sense,label,audit_notes
v1-042,She waited inside the bank without speaking until the teller,bank,financial_institution,delayed_cue,The teller cue is delayed until the end,nanogpt:gpt2,"came outside.

""What are you doing?"" she asked her landlord. ""Are you going","She waited inside the bank without speaking until the teller came outside.

""What are you doing?"" she asked her landlord. ""Are you going",came outside.,financial_institution,good,Teller coming outside preserves bank institution sense.
v1-043,The bat rested in the corner and only after sunset its wings,bat,animal,delayed_cue,Animal cues appear late after a neutral opening,nanogpt:gpt2,"were full and it was clear on the horizon that the sea was still moving.

With the","The bat rested in the corner and only after sunset its wings were full and it was clear on the horizon that the sea was still moving.

With the",were full and it was clear on the horizon that the sea was still moving.,animal,unclear,Wings signal animal but horizon/sea drift weakens continuation.
v1-044,He picked up the bat with no comment until the pitcher,bat,sports_equipment,delayed_cue,Sports context is delayed through pitcher rather than early cueing,nanogpt:gpt2,"stopped his swing in the dirt at the infield, and then he came back with a standing ovation","He picked up the bat with no comment until the pitcher stopped his swing in the dirt at the infield, and then he came back with a standing ovation","stopped his swing in the dirt at the infield, and then he came back with a standing ovation",sports_equipment,good,Pitcher/swing/infield context preserves sports equipment.
v1-045,The seal lay still on the platform until the fish,seal,animal,delayed_cue,The fish cue resolves the animal sense near the end,nanogpt:gpt2,"started to flop and die.

""It was awful,"" he said. ""We had","The seal lay still on the platform until the fish started to flop and die.

""It was awful,"" he said. ""We had",started to flop and die.,animal,good,Fish flopping preserves animal feeding context.
v1-046,She studied the seal for a moment before pressing it into wax,seal,closure_stamp,delayed_cue,The closure sense appears late through pressing and wax,nanogpt:gpt2,"paper. The paper covered the seal, then spread it upon a piece of paper so that it would","She studied the seal for a moment before pressing it into wax paper. The paper covered the seal, then spread it upon a piece of paper so that it would",paper.,closure_stamp,unclear,Wax paper suggests closure/stamp material but phrase is too thin.
v1-047,The crane moved slowly across the pale shallows before its wings,crane,bird,delayed_cue,Wings resolve the bird sense only at the end,nanogpt:gpt2,"came apart. I pulled my feet out of the ground, leaving the two small legs to my left","The crane moved slowly across the pale shallows before its wings came apart. I pulled my feet out of the ground, leaving the two small legs to my left",came apart.,bird,unclear,Wings are bird-compatible but came apart is awkward/truncated.
v1-048,The crane waited above the lot until the operator,crane,machine,delayed_cue,Operator cue is delayed after a neutral mechanical shape,nanogpt:gpt2,"came out.

""I've been there,"" said Mr. Karpak. ""I","The crane waited above the lot until the operator came out.

""I've been there,"" said Mr. Karpak. ""I",came out.,machine,good,Operator coming out preserves crane machine context.
v1-049,The spring seemed ordinary until April rain began to,spring,season,delayed_cue,April and rain resolve the season late,nanogpt:gpt2,"fall in the state of Texas, and I started to panic. It took a while for me to","The spring seemed ordinary until April rain began to fall in the state of Texas, and I started to panic. It took a while for me to","fall in the state of Texas, and I started to panic.",season,good,April rain falling preserves season/weather sense.
v1-050,The spring looked harmless until the device compressed it,spring,coil,delayed_cue,Device and compressed cues arrive after the ambiguous noun,nanogpt:gpt2,", and with a small twist, it was able to release the gas.

The device is","The spring looked harmless until the device compressed it, and with a small twist, it was able to release the gas.

The device is",", and with a small twist, it was able to release the gas.",coil,good,Device compressed/release gas preserves mechanical sense.
v1-051,The rock was ignored until the climber saw it on the cliff,rock,stone,delayed_cue,Cliff cue resolves the stone sense late,nanogpt:gpt2,"behind him, and the boulder began to fall.

The rock was thrown up and off the","The rock was ignored until the climber saw it on the cliff behind him, and the boulder began to fall.

The rock was thrown up and off the","behind him, and the boulder began to fall.",stone,good,Cliff/boulder falling preserves stone sense.
v1-052,The rock sounded flat until the drummer came on stage,rock,music,delayed_cue,Drummer and stage cues resolve music after a neutral start,nanogpt:gpt2,"and said ""We're going to do it again."" ""That's my hope,"" he continued.","The rock sounded flat until the drummer came on stage and said ""We're going to do it again."" ""That's my hope,"" he continued.","and said ""We're going to do it again.",music,good,Drummer on stage speaking preserves music/performance context.
v1-053,They approached the bank in silence and only then counted the cash,bank,financial_institution,delayed_cue,Cash appears late enough to test delayed evidence,nanogpt:gpt2,"in their hand, their eyes watering. They heard another voice. ""We will take them to the","They approached the bank in silence and only then counted the cash in their hand, their eyes watering. They heard another voice. ""We will take them to the","in their hand, their eyes watering.",financial_institution,good,Cash counted at bank preserves financial context.
v1-054,The bank looked empty from above until the boat,bank,river_edge,delayed_cue,Boat cue resolves river edge late after visual ambiguity,nanogpt:gpt2,"came to a stop in a small parking lot.

""It's a really weird thing,""","The bank looked empty from above until the boat came to a stop in a small parking lot.

""It's a really weird thing,""",came to a stop in a small parking lot.,,bad,Boat stops in parking lot; continuation breaks river-edge setup.
v1-055,The bat seemed too small until the player,bat,sports_equipment,delayed_cue,Player cue arrives late and must override size ambiguity,nanogpt:gpt2,"went up to the ball, and it gave him the advantage.

""I didn't know","The bat seemed too small until the player went up to the ball, and it gave him the advantage.

""I didn't know","went up to the ball, and it gave him the advantage.",sports_equipment,good,Player/ball/advantage preserves sports context.
v1-056,The seal looked plain until the document,seal,closure_stamp,delayed_cue,Document cue resolves closure stamp late,nanogpt:gpt2,"reached a stop on the side of the car.

""How?"" the reporter asked.
","The seal looked plain until the document reached a stop on the side of the car.

""How?"" the reporter asked.
",reached a stop on the side of the car.,,bad,Document stopping at car is unrelated to closure stamp sense.
v1-057,The crane was silent for a long time before it lifted steel,crane,machine,delayed_cue,Lifted steel resolves machine late after animal compatible silence,nanogpt:gpt2,cables that were falling from the floor. A series of small ropes hung from the crane's ceiling that,The crane was silent for a long time before it lifted steel cables that were falling from the floor. A series of small ropes hung from the crane's ceiling that,cables that were falling from the floor.,machine,good,Crane lifting steel cables preserves machine sense.
v1-058,The crane was silent for a long time before the bird,crane,bird,delayed_cue,Bird cue resolves animal late after machine compatible silence,nanogpt:gpt2,"finally moved, but its hands were gripping the crane at the same time. The bird kept on moving","The crane was silent for a long time before the bird finally moved, but its hands were gripping the crane at the same time. The bird kept on moving","finally moved, but its hands were gripping the crane at the same time.",bird,unclear,Bird moves but hands gripping crane creates confusing mixed frame.
v1-059,The spring returned only after the mechanism,spring,coil,delayed_cue,Mechanism resolves coil after abstract opening,nanogpt:gpt2,"for the change to the surface, with a few minor exceptions.

This spring was one of","The spring returned only after the mechanism for the change to the surface, with a few minor exceptions.

This spring was one of","for the change to the surface, with a few minor exceptions.",,unclear,Mechanism phrase is vague and does not clearly preserve coil sense.
v1-060,The rock changed mood when the guitar,rock,music,delayed_cue,Guitar resolves music late after an abstract opening,nanogpt:gpt2,"was changed from A to B. The song played ""It's You"" and it was just a","The rock changed mood when the guitar was changed from A to B. The song played ""It's You"" and it was just a",was changed from A to B.,music,good,Guitar changed from A to B preserves music sense.
v1-061,After leaving the river he went to the bank to deposit,bank,financial_institution,conflicting_cue,River cue conflicts with deposit and syntax favors finance,nanogpt:gpt2,"some of his money.


The next day he returned to his car and drove to the town","After leaving the river he went to the bank to deposit some of his money.


The next day he returned to his car and drove to the town",some of his money.,financial_institution,good,Deposit money at bank is financial institution.
v1-062,After withdrawing cash he walked to the bank beside the stream to rest,bank,river_edge,conflicting_cue,Cash cues finance but beside stream favors river edge,nanogpt:gpt2,"on his feet.

The man had a large wooden knife in his hand and a small piece","After withdrawing cash he walked to the bank beside the stream to rest on his feet.

The man had a large wooden knife in his hand and a small piece",on his feet.,river_edge,good,Bank beside stream/resting context preserves river edge.
v1-063,The bat had wings painted on it before the player swung,bat,sports_equipment,conflicting_cue,Wings cue animal but player and swung favor equipment,nanogpt:gpt2,it. The next day it got the better of the bat and the next day it did not.,The bat had wings painted on it before the player swung it. The next day it got the better of the bat and the next day it did not.,it.,sports_equipment,good,Player swung it treats bat as equipment.
v1-064,The bat was held by the player after it flew from the rafters,bat,animal,conflicting_cue,Player cue conflicts with flew and rafters favor animal,nanogpt:gpt2,"of the game when it hit the ground.

""That's when I heard the car horn","The bat was held by the player after it flew from the rafters of the game when it hit the ground.

""That's when I heard the car horn",of the game when it hit the ground.,animal,good,Flew from rafters preserves animal sense despite game context.
v1-065,The seal near the package barked for fish and,seal,animal,conflicting_cue,Package cue conflicts with fish and animal behavior,nanogpt:gpt2,"was about 3 feet long, said John H. Brown, a former federal fisheries biologist now with the","The seal near the package barked for fish and was about 3 feet long, said John H. Brown, a former federal fisheries biologist now with the","was about 3 feet long, said John H.",animal,good,Barked/fish/length treats seal as animal.
v1-066,The seal on the ocean themed document needed wax to,seal,closure_stamp,conflicting_cue,Ocean cue conflicts with document and wax closure evidence,nanogpt:gpt2,"adhere to - you can't go wrong with the blue version.

Image credit: Alamy","The seal on the ocean themed document needed wax to adhere to - you can't go wrong with the blue version.

Image credit: Alamy",adhere to - you can't go wrong with the blue version.,closure_stamp,good,Wax adherence preserves closure/document seal sense.
v1-067,The crane near the marsh lifted steel while the operator,crane,machine,conflicting_cue,Marsh cue conflicts with lifted steel and operator,nanogpt:gpt2,"used a hydraulic ladder to climb up. The crane then lifted two others.

One of the","The crane near the marsh lifted steel while the operator used a hydraulic ladder to climb up. The crane then lifted two others.

One of the",used a hydraulic ladder to climb up. The crane then lifted two others.,machine,good,Operator/hydraulic ladder/lifted steel preserves crane machine.
v1-068,The crane at the construction site spread its wings over the lake and,crane,bird,conflicting_cue,Construction site cue conflicts with wings and lake,nanogpt:gpt2,"in the water, the water was filled with water, giving the lake its name (Cynthia","The crane at the construction site spread its wings over the lake and in the water, the water was filled with water, giving the lake its name (Cynthia","in the water, the water was filled with water, giving the lake its name (Cynthia",bird,good,Wings over lake/water preserves bird sense despite awkward wording.
v1-069,The spring warmed the garden after the metal device,spring,season,conflicting_cue,Metal device cue conflicts with garden and warmed season context,nanogpt:gpt2,"had been shut off.

The next morning, his team headed out through a narrow hallway and","The spring warmed the garden after the metal device had been shut off.

The next morning, his team headed out through a narrow hallway and",had been shut off.,,unclear,Device shut off does not clearly establish season or coil.
v1-070,The spring in April compressed inside the mechanism and,spring,coil,conflicting_cue,April cue conflicts with compressed mechanism evidence,nanogpt:gpt2,the spring in February compressed out. The spring in December compressed out and the spring in January compressed out,The spring in April compressed inside the mechanism and the spring in February compressed out. The spring in December compressed out and the spring in January compressed out,the spring in February compressed out.,coil,unclear,Compressed mechanism suggests coil but February/spring wording is confused.
v1-071,The rock from the mountain was carried onto the stage before,rock,music,conflicting_cue,Mountain cue conflicts with stage performance context,nanogpt:gpt2,"it was dropped.

The concert was called off after being interrupted by police, which was made","The rock from the mountain was carried onto the stage before it was dropped.

The concert was called off after being interrupted by police, which was made",it was dropped.,stone,bad,Treats rock as physical object instead of music/stage act.
v1-072,The rock song described a heavy stone on the ground and,rock,stone,conflicting_cue,Song cue conflicts with physical stone evidence,nanogpt:gpt2,"a huge stone on the ground.

""My wife gave me a hand to cut them off","The rock song described a heavy stone on the ground and a huge stone on the ground.

""My wife gave me a hand to cut them off",a huge stone on the ground.,stone,good,Stone on ground continuation preserves stone sense.
v1-073,The teller crossed the river to reach the bank and open,bank,financial_institution,conflicting_cue,River cue conflicts with teller and open branch implication,nanogpt:gpt2,the river gates. The teller took a step in front of the gate to reveal the gatekeeper,The teller crossed the river to reach the bank and open the river gates. The teller took a step in front of the gate to reveal the gatekeeper,the river gates.,river_edge,bad,Open river gates selects river sense instead of financial bank.
v1-074,The credit card floated to the bank where the boat,bank,river_edge,conflicting_cue,Credit card cue conflicts with boat and physical edge context,nanogpt:gpt2,"is in the dock.

""As soon as I got in touch with the bank, they","The credit card floated to the bank where the boat is in the dock.

""As soon as I got in touch with the bank, they",is in the dock.,river_edge,good,Boat/dock context preserves river/shore edge.
v1-075,The animal expert handed the bat to the player before the game,bat,sports_equipment,conflicting_cue,Animal expert cue conflicts with player and game equipment context,nanogpt:gpt2,"began. This would cause the animal not to take flight and therefore, the bat would not have a","The animal expert handed the bat to the player before the game began. This would cause the animal not to take flight and therefore, the bat would not have a",began.,sports_equipment,good,Game began preserves sports equipment context.
v1-076,The game paused when the bat in the cave opened its wings and,bat,animal,conflicting_cue,Game cue conflicts with cave and wings animal context,nanogpt:gpt2,"moved in line with the other characters' movements.

""And I got to see a little","The game paused when the bat in the cave opened its wings and moved in line with the other characters' movements.

""And I got to see a little",moved in line with the other characters' movements.,animal,good,Cave/wings/moved treats bat as animal.
v1-077,The official watched the seal splash in the water for fish,seal,animal,conflicting_cue,Official cue weakly suggests stamp but water and fish favor animal,nanogpt:gpt2,"to eat, then turned on the light and went on back to the pool.

The seal","The official watched the seal splash in the water for fish to eat, then turned on the light and went on back to the pool.

The seal","to eat, then turned on the light and went on back to the pool.",animal,good,Seal/fish/pool context preserves animal sense.
v1-078,The flippers logo sat under the official seal on the package,seal,closure_stamp,conflicting_cue,Flippers cue conflicts with official and package evidence,nanogpt:gpt2,".

The package was a gift from the local chapter of the American Folklore Society to the","The flippers logo sat under the official seal on the package.

The package was a gift from the local chapter of the American Folklore Society to the",.,,unclear,Only punctuation; no usable sense judgment.
v1-079,The bird shaped crane at the site moved the steel,crane,machine,conflicting_cue,Bird surface conflicts with site and steel machinery context,nanogpt:gpt2,"rods and sawed-off panels back, the crane's crane, which is still in the ground","The bird shaped crane at the site moved the steel rods and sawed-off panels back, the crane's crane, which is still in the ground","rods and sawed-off panels back, the crane's crane, which is still in the ground",machine,unclear,Steel rods/panels suggest machine but wording is malformed.
