row_id,question,expected_decision,expected_intent,detected_intent,source,target,decision,answer,audit_reason,confidence,relation_edges_used,weak_links_used,source_facts_used,is_correct,quality_flagged,quality_reason
cpqa-v1-021,How is Forbes connected to net worth?,answer,connection_path,connection_path,Forbes,net worth,answer,"In the overlay, Forbes is connected to net worth as a cited source of source-qualified estimates: Elon Musk US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos US$200 billion according to Forbes as of 2026-06; Michael Bloomberg US$100 billion according to Forbes as of 2026-06. These are volatile, source-qualified facts that require rechecking, not stable factual relations.",,0.85,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-022,How is Elon Musk connected to net worth?,answer,connection_path,connection_path,Elon Musk,net worth,answer,"In the overlay, Elon Musk is connected to net worth through a source-qualified estimate: Elon Musk US$1.1 trillion according to Forbes as of 2026-06. These are volatile, source-qualified facts that require rechecking, not stable factual relations.",,0.85,,,Elon Musk:estimated_net_worth:Forbes,True,False,
cpqa-v1-023,What path connects Elon Musk to SpaceX?,answer,relation_chain,relation_chain,Elon Musk,SpaceX,answer,The overlay has an explicit relation path from Elon Musk to SpaceX: Elon Musk → leader_of → SpaceX. Each step is an explicit overlay relation.,,0.9,Elon Musk--leader_of-->SpaceX,,,True,False,
cpqa-v1-024,What path connects Tesla to battery storage?,answer,relation_chain,relation_chain,Tesla,battery storage,answer,The overlay has an explicit relation path from Tesla to Battery storage: Tesla → produces → Battery storage. Each step is an explicit overlay relation.,,0.9,Tesla--produces-->Battery storage,,,True,False,
cpqa-v1-025,What path connects Forbes to business rankings?,answer,relation_chain,relation_chain,Forbes,business rankings,answer,The overlay has an explicit relation path from Forbes to business rankings: Forbes → publishes → business rankings. Each step is an explicit overlay relation.,,0.9,Forbes--publishes-->business rankings,,,True,False,
cpqa-v1-026,What path connects Bloomberg News to wealth indexes?,answer,relation_chain,relation_chain,Bloomberg News,wealth indexes,answer,The overlay has an explicit relation path from Bloomberg News to wealth indexes: Bloomberg News → publishes → wealth indexes. Each step is an explicit overlay relation.,,0.9,Bloomberg News--publishes-->wealth indexes,,,True,False,
cpqa-v1-027,What path connects Elon Musk to rockets?,answer,relation_chain,relation_chain,Elon Musk,rockets,answer,The overlay has an explicit relation path from Elon Musk to rockets: Elon Musk → leader_of → SpaceX; SpaceX → develops → rockets. Each step is an explicit overlay relation.,,0.9,Elon Musk--leader_of-->SpaceX;SpaceX--develops-->rockets,,,True,False,
cpqa-v1-028,What path connects Elon Musk to electric cars?,answer,relation_chain,relation_chain,Elon Musk,electric cars,answer,The overlay has an explicit relation path from Elon Musk to electric cars: Elon Musk → leader_of → Tesla; Tesla → produces → electric cars. Each step is an explicit overlay relation.,,0.9,Elon Musk--leader_of-->Tesla;Tesla--produces-->electric cars,,,True,False,
cpqa-v1-029,What path connects Jeff Bezos to Blue Origin?,answer,relation_chain,relation_chain,Jeff Bezos,Blue Origin,answer,The overlay has an explicit relation path from Jeff Bezos to Blue Origin: Jeff Bezos → leader_of → Blue Origin. Each step is an explicit overlay relation.,,0.9,Jeff Bezos--leader_of-->Blue Origin,,,True,False,
cpqa-v1-030,What path connects NASA to launch systems?,answer,relation_chain,relation_chain,NASA,launch systems,answer,The overlay has an explicit relation path from NASA to launch systems: NASA → develops → launch systems. Each step is an explicit overlay relation.,,0.9,NASA--develops-->launch systems,,,True,False,
cpqa-v1-031,What path connects SolarCity to solar panels?,answer,relation_chain,relation_chain,SolarCity,solar panels,answer,The overlay has an explicit relation path from SolarCity to solar panels: SolarCity → produces → solar panels. Each step is an explicit overlay relation.,,0.9,SolarCity--produces-->solar panels,,,True,False,
cpqa-v1-032,What path connects Neuralink to brain-computer interfaces?,answer,relation_chain,relation_chain,Neuralink,brain-computer interfaces,answer,The overlay has an explicit relation path from Neuralink to brain-computer interfaces: Neuralink → develops → brain-computer interfaces. Each step is an explicit overlay relation.,,0.9,Neuralink--develops-->brain-computer interfaces,,,True,False,
cpqa-v1-033,What path connects Elon Musk to Dragon spacecraft?,answer,relation_chain,relation_chain,Elon Musk,Dragon spacecraft,answer,The overlay has an explicit relation path from Elon Musk to Dragon spacecraft: Elon Musk → leader_of → SpaceX; SpaceX → produces → Dragon spacecraft. Each step is an explicit overlay relation.,,0.9,Elon Musk--leader_of-->SpaceX;SpaceX--produces-->Dragon spacecraft,,,True,False,
cpqa-v1-034,Which claims require rechecking?,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-035,Which facts are source-qualified?,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-036,Which overlay facts are volatile?,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-037,Which net worth claims require recheck?,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-038,Which source-qualified facts require recheck?,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-039,List the volatile facts in the overlay.,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-040,Which net worth estimates are volatile?,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-041,Which facts should be rechecked?,answer,source_qualified_list,source_qualified_list,,,answer,"The overlay has 4 volatile source-qualified facts that require rechecking: Elon Musk — US$1.1 trillion according to Forbes as of 2026-06; Jeff Bezos — US$200 billion according to Forbes as of 2026-06; Bernard Arnault — US$180 billion according to Bloomberg as of 2026-06; Michael Bloomberg — US$100 billion according to Forbes as of 2026-06. These are source-qualified estimates, not stable facts.",,0.95,,,Elon Musk:estimated_net_worth:Forbes;Jeff Bezos:estimated_net_worth:Forbes;Bernard Arnault:estimated_net_worth:Bloomberg;Michael Bloomberg:estimated_net_worth:Forbes,True,False,
cpqa-v1-042,Which links are weak context only?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-043,What does weak_context_only mean?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-044,Are wiki context links facts?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-045,Can weak links prove claims?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-046,Give examples of weak links in the overlay.,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-047,What does weak context only mean in the overlay?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-048,Are weak context links stable facts?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-049,Do weak links prove a factual relationship?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-050,How is Elon Musk connected to Starlink?,audit,connection_path,connection_path,Elon Musk,Starlink,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-051,How is Tesla connected to Forbes?,audit,connection_path,connection_path,Tesla,Forbes,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-052,How is Starlink connected to net worth?,audit,connection_path,connection_path,Starlink,net worth,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-053,How is Bloomberg News connected to SpaceX rockets?,audit,connection_path,connection_path,Bloomberg News,SpaceX rockets,audit,I cannot answer from the wiki overlay because one or both entities are not present in the overlay.,one or both entities are not present in the overlay.,0.0,,,,True,False,
cpqa-v1-054,How is Bloomberg News connected to Bloomberg LP?,audit,connection_path,connection_path,Bloomberg News,Bloomberg LP,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-055,How is Tesla connected to lithium-ion batteries?,audit,connection_path,connection_path,Tesla,lithium-ion batteries,audit,I cannot answer from the wiki overlay because one or both entities are not present in the overlay.,one or both entities are not present in the overlay.,0.0,,,,True,False,
cpqa-v1-056,How is Forbes connected to SpaceX?,audit,connection_path,connection_path,Forbes,SpaceX,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-057,How is Tesla connected to NASA?,audit,connection_path,connection_path,Tesla,NASA,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-058,How is Reuters connected to rockets?,audit,connection_path,connection_path,Reuters,rockets,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-059,What path connects Elon Musk to Starlink?,audit,relation_chain,relation_chain,Elon Musk,Starlink,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-060,What path connects SpaceX to reusable rockets?,audit,relation_chain,relation_chain,SpaceX,reusable rockets,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-061,What path connects Tesla to Forbes?,audit,relation_chain,relation_chain,Tesla,Forbes,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-062,What path connects Starlink to net worth?,audit,relation_chain,relation_chain,Starlink,net worth,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe relation path or direct contextual link between these entities.,the overlay has no explicit safe relation path or direct contextual link between these entities.,0.0,,,,True,False,
cpqa-v1-063,Does Tesla prove Musk's net worth?,audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe path supporting this question.,the overlay has no explicit safe path supporting this question.,0.0,,,,True,False,
cpqa-v1-064,Does a weak link prove that Musk leads Forbes?,answer,weak_link_list_or_policy,weak_link_list_or_policy,,,answer,"In the overlay, weak context links (weak_context_only trust) are contextual mentions, not stable factual relations. They cannot prove a factual claim. The overlay currently has 126 such weak context links. Examples: Elon Musk → Businessperson; Elon Musk → Leadership; Elon Musk → Tesla, Inc..",,0.95,,"Elon Musk->Businessperson;Elon Musk->Leadership;Elon Musk->Tesla, Inc.",,True,False,
cpqa-v1-065,"If SpaceX makes rockets, are all rockets SpaceX products?",audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because this question asks for a universal generalization that the overlay does not support.,this question asks for a universal generalization that the overlay does not support.,0.0,,,,True,False,
cpqa-v1-066,"If Tesla makes electric cars, is every electric car a Tesla?",audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because this question asks for a universal generalization that the overlay does not support.,this question asks for a universal generalization that the overlay does not support.,0.0,,,,True,False,
cpqa-v1-067,"If Musk leads Tesla, does Tesla lead Musk?",audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because the overlay has no explicit safe path supporting this question.,the overlay has no explicit safe path supporting this question.,0.0,,,,True,False,
cpqa-v1-068,What is Tesla's current stock price through the overlay?,audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted fact in the overlay.,this question asks for current/real-time data that is not available as an accepted fact in the overlay.,0.0,,,,True,False,
cpqa-v1-069,What is SpaceX's current valuation in the overlay?,audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted fact in the overlay.,this question asks for current/real-time data that is not available as an accepted fact in the overlay.,0.0,,,,True,False,
cpqa-v1-070,What is Tesla's latest quarterly revenue from the overlay?,audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted fact in the overlay.,this question asks for current/real-time data that is not available as an accepted fact in the overlay.,0.0,,,,True,False,
cpqa-v1-071,What is Tesla's market cap right now?,audit,unsupported_or_too_far,unsupported_or_too_far,,,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted fact in the overlay.,this question asks for current/real-time data that is not available as an accepted fact in the overlay.,0.0,,,,True,False,
