proposal_id,row_ids,proposal_type,term,target_sense,source_reason,risk_level,recommended_action,supporting_cues,conflicting_cues,broad_cues,rationale
p-v1-085-keep_audit-8116d788a1,v1-085,keep_audit,seal,closure_stamp,true_unsafe,low,keep_audit,clerk,,,Contradictory or negated evidence makes continuation unsafe.
p-v1-086-keep_audit-54f64da7cf,v1-086,keep_audit,seal,animal,true_unsafe,medium,keep_audit,pier,stamp,,Contradictory or negated evidence makes continuation unsafe.
p-v1-088-keep_audit-4d447ae744,v1-088,keep_audit,crane,bird,true_unsafe,low,keep_audit,reeds,,,Contradictory or negated evidence makes continuation unsafe.
p-v1-089-keep_audit-2ae8725ff0,v1-089,keep_audit,spring,coil,true_unsafe,low,keep_audit,latch,,,Contradictory or negated evidence makes continuation unsafe.
p-v1-090-keep_audit-8a4ad9f051,v1-090,keep_audit,spring,season,true_unsafe,medium,keep_audit,thaw,device,,Contradictory or negated evidence makes continuation unsafe.
p-v1-091-keep_audit-a448af2477,v1-091,keep_audit,rock,music,true_unsafe,medium,keep_audit,,stone,,Contradictory or negated evidence makes continuation unsafe.
p-v1-092-keep_audit-9f79810cb5,v1-092,keep_audit,rock,stone,true_unsafe,medium,keep_audit,,song,,Contradictory or negated evidence makes continuation unsafe.
p-v1-093-keep_audit-98ae5125c2,v1-093,keep_audit,bank,river_edge,true_unsafe,low,keep_audit,,,,Contradictory or negated evidence makes continuation unsafe.
p-v1-094-keep_audit-5399c9086f,v1-094,keep_audit,bat,sports_equipment,true_unsafe,low,keep_audit,plate;player,,,Contradictory or negated evidence makes continuation unsafe.
p-v1-096-guard_rule_addition-0e3d130039,v1-096,guard_rule_addition,bank,financial_institution,low_margin,medium,human_review,lobby,river,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-097-guard_rule_addition-7033ab05ba,v1-097,guard_rule_addition,bank,river_edge,missing_or_weak_cue_support,medium,human_review,reeds,cash,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-098-cue_memory_addition-5e71deab2e,v1-098,cue_memory_addition,bat,sports_equipment,missing_or_weak_cue_support,low,auto_safe_later,player,,,Concrete prompt cues may support the expected sense through explicit cue memory.
p-v1-099-guard_rule_addition-2c52629378,v1-099,guard_rule_addition,bat,animal,missing_or_weak_cue_support,medium,human_review,rafters,player,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-100-guard_rule_addition-6c89a6244a,v1-100,guard_rule_addition,seal,closure_stamp,sense_tie,medium,human_review,envelope,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-101-guard_rule_addition-fa0087c56f,v1-101,guard_rule_addition,seal,animal,sense_tie,medium,human_review,animal,label,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-102-guard_rule_addition-835c68abea,v1-102,guard_rule_addition,crane,machine,low_margin,medium,human_review,operator,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-103-guard_rule_addition-dd5292201a,v1-103,guard_rule_addition,crane,bird,missing_or_weak_cue_support,medium,human_review,bird,steel,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-104-guard_rule_addition-35ef7f5bab,v1-104,guard_rule_addition,spring,coil,sense_tie,medium,human_review,device,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-105-guard_rule_addition-681acd956e,v1-105,guard_rule_addition,spring,season,missing_or_weak_cue_support,medium,human_review,rain,metal,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-106-guard_rule_addition-f8996b6e09,v1-106,guard_rule_addition,rock,music,low_margin,medium,human_review,band,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-107-guard_rule_addition-1eb8c7a83f,v1-107,guard_rule_addition,rock,stone,sense_tie,medium,human_review,,concert,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-108-guard_rule_addition-e2ea2e6e08,v1-108,guard_rule_addition,seal,closure_stamp,sense_tie,medium,human_review,document,fish,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-109-guard_rule_addition-4a5f603d61,v1-109,guard_rule_addition,bank,river_edge,low_margin,medium,human_review,stream,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-111-keep_audit-5fdb23d3c7,v1-111,keep_audit,bank,,unsupported_or_underconstrained_context,low,keep_audit,,,,Context is intentionally underconstrained; continuation would guess.
p-v1-112-keep_audit-d345f24275,v1-112,keep_audit,bat,,unsupported_or_underconstrained_context,low,keep_audit,,,,Context is intentionally underconstrained; continuation would guess.
p-v1-113-keep_audit-4d22239596,v1-113,keep_audit,seal,,unsupported_or_underconstrained_context,low,keep_audit,,,,Context is intentionally underconstrained; continuation would guess.
p-v1-114-keep_audit-fa34f47555,v1-114,keep_audit,crane,,unsupported_or_underconstrained_context,high,keep_audit,,,nearby,Context is intentionally underconstrained; continuation would guess.
p-v1-115-keep_audit-3d2fb2d6c9,v1-115,keep_audit,spring,,unsupported_or_underconstrained_context,high,keep_audit,,,returned,Context is intentionally underconstrained; continuation would guess.
p-v1-116-needs_trace_instrumentation-127d763608,v1-116,needs_trace_instrumentation,,,missing_sense_memory,medium,needs_instrumentation,,,,No known ambiguous term/sense was available; future sense-memory work needs human review and clearer trace.
p-v1-117-needs_trace_instrumentation-8cd89eb42f,v1-117,needs_trace_instrumentation,,,missing_sense_memory,medium,needs_instrumentation,,,,No known ambiguous term/sense was available; future sense-memory work needs human review and clearer trace.
p-v1-118-needs_trace_instrumentation-7dd96f3a5c,v1-118,needs_trace_instrumentation,,,missing_sense_memory,medium,needs_instrumentation,,,,No known ambiguous term/sense was available; future sense-memory work needs human review and clearer trace.
p-v1-119-needs_trace_instrumentation-ea1d4a2678,v1-119,needs_trace_instrumentation,,,missing_sense_memory,medium,needs_instrumentation,,,,No known ambiguous term/sense was available; future sense-memory work needs human review and clearer trace.
p-v1-120-needs_trace_instrumentation-eb64f53f1e,v1-120,needs_trace_instrumentation,,,missing_sense_memory,medium,needs_instrumentation,,,,No known ambiguous term/sense was available; future sense-memory work needs human review and clearer trace.
