id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,continuation,selected_sense,confidence,decision,reasons,memory_hits
v1-014,The bird expert watched the crane build a nest near the lake,crane,bird,cue_rich,Bird nest and lake cues make the animal sense explicit,The bird expert watched the crane build a nest near the lake flew over the marsh,bird,0.7500,continue,top_sense=bird | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=bird -> bird | positive_cue=bird -> bird | cue=nest -> bird | positive_cue=nest -> bird | cue=lake -> bird | positive_cue=lake -> bird | selected_sense=bird
v1-015,The operator used the crane at the construction site to,crane,machine,cue_rich,Operator construction and site cues target the machine,The operator used the crane at the construction site to lifted the steel beam,machine,0.7500,continue,top_sense=machine | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=construction -> machine | positive_cue=construction -> machine | cue=operator -> machine | positive_cue=operator -> machine | cue=site -> machine | positive_cue=site -> machine | selected_sense=machine
v1-016,The crane lifted the steel beam above the building,crane,machine,cue_rich,Lifted steel and building cues make machinery explicit,The crane lifted the steel beam above the building lifted the steel beam,machine,0.7500,continue,top_sense=machine | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=building -> machine | positive_cue=building -> machine | cue=lifted -> machine | positive_cue=lifted -> machine | cue=steel -> machine | positive_cue=steel -> machine | selected_sense=machine
v1-017,In April the spring rain warmed the garden and,spring,season,cue_rich,April rain warm and garden cues target the season,In April the spring rain warmed the garden and brought warmer days,season,0.7500,continue,top_sense=season | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=spring | cue=april -> season | positive_cue=april -> season | cue=garden -> season | positive_cue=garden -> season | cue=rain -> season | positive_cue=rain -> season | selected_sense=season
v1-018,The metal spring compressed inside the mechanism and,spring,coil,cue_rich,Metal compressed and mechanism cues target the coil,The metal spring compressed inside the mechanism and compressed under pressure,coil,0.7500,continue,top_sense=coil | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=spring | cue=metal -> coil | positive_cue=metal -> coil | cue=compressed -> coil | positive_cue=compressed -> coil | cue=mechanism -> coil | positive_cue=mechanism -> coil | selected_sense=coil
v1-019,The heavy rock rolled from the mountain to the ground,rock,stone,cue_rich,Heavy mountain and ground cues target stone,The heavy rock rolled from the mountain to the ground rolled down the hill,stone,0.7500,continue,top_sense=stone | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=mountain -> stone | positive_cue=mountain -> stone | cue=heavy -> stone | positive_cue=heavy -> stone | cue=ground -> stone | positive_cue=ground -> stone | selected_sense=stone
v1-020,The rock band carried guitars onto the concert stage and,rock,music,cue_rich,Band guitar concert and stage cues target music,The rock band carried guitars onto the concert stage and filled the stadium,music,0.7500,continue,top_sense=music | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=band -> music | positive_cue=band -> music | cue=concert -> music | positive_cue=concert -> music | cue=stage -> music | positive_cue=stage -> music | selected_sense=music
v1-021,The client waited at the bank counter to,bank,financial_institution,weak_cue,Counter and client imply finance without built in cue words,,,0.0000,audit,all_sense_scores_zero,term=bank
v1-022,Near closing time the bank manager motioned for,bank,financial_institution,weak_cue,Manager and closing time imply a branch but weakly,,,0.0000,audit,all_sense_scores_zero,term=bank
v1-023,The children climbed down the bank below the bridge to,bank,river_edge,weak_cue,Downward slope and bridge imply a river edge without direct cues,,,0.0000,audit,all_sense_scores_zero,term=bank
v1-024,A narrow path crossed the bank below the reeds and,bank,river_edge,weak_cue,Reeds and path imply a natural bank but not through known cues,,,0.0000,audit,all_sense_scores_zero,term=bank
v1-025,The ranger dimmed the attic light so the bat could,bat,animal,weak_cue,Attic and ranger imply a live animal without explicit cue hits,,,0.0000,audit,all_sense_scores_zero,term=bat
v1-026,At dusk the tiny bat stirred under the eaves and,bat,animal,weak_cue,Dusk and eaves imply the animal but avoid supported cues,,,0.0000,audit,all_sense_scores_zero,term=bat
v1-027,The batter tapped the bat on the plate before,bat,sports_equipment,weak_cue,Batter and plate imply baseball but are unsupported cues,,,0.0000,audit,all_sense_scores_zero,term=bat
v1-028,In the dugout he chose the lighter bat and,bat,sports_equipment,weak_cue,Dugout and lighter object imply equipment without direct cues,,,0.0000,audit,all_sense_scores_zero,term=bat
v1-029,The trainer tossed a treat and the seal slid,seal,animal,weak_cue,Trainer and treat imply a performing animal without direct cues,,,0.0000,audit,all_sense_scores_zero,term=seal
v1-030,On the pier the seal raised its head while tourists,seal,animal,weak_cue,Pier and tourists imply the marine animal indirectly,,,0.0000,audit,all_sense_scores_zero,term=seal
v1-031,The clerk warmed the seal before closing the parcel and,seal,closure_stamp,weak_cue,Clerk and parcel imply closure without built in cues,,,0.0000,audit,all_sense_scores_zero,term=seal
v1-032,She broke the seal at the flap and,seal,closure_stamp,weak_cue,Flap and breaking imply a closure but not a direct cue,,,0.0000,audit,all_sense_scores_zero,term=seal
v1-033,At dawn the crane stepped through reeds and,crane,bird,weak_cue,Dawn reeds and stepping imply bird behavior weakly,,,0.0000,audit,all_sense_scores_zero,term=crane
v1-034,The photographer waited as the crane bent its long neck to,crane,bird,weak_cue,Long neck and photographer imply a bird without direct cues,,,0.0000,audit,all_sense_scores_zero,term=crane
v1-035,The foreman signaled and the crane turned toward,crane,machine,weak_cue,Foreman and signaling imply machinery but avoid supported cues,,,0.0000,audit,all_sense_scores_zero,term=crane
v1-036,The crew waited below the crane as the hook,crane,machine,weak_cue,Crew and hook imply machinery without explicit cue words,,,0.0000,audit,all_sense_scores_zero,term=crane
v1-037,After the thaw the spring mornings made everyone,spring,season,weak_cue,Thaw and mornings imply the season without cue rich wording,,,0.0000,audit,all_sense_scores_zero,term=spring
v1-038,The latch clicked when the spring inside the handle,spring,coil,weak_cue,Latch and handle imply a mechanical coil indirectly,,,0.0000,audit,all_sense_scores_zero,term=spring
v1-039,He kicked the rock from the trail and,rock,stone,weak_cue,Trail and kicking imply a physical stone without cue hits,,,0.0000,audit,all_sense_scores_zero,term=rock
v1-040,The crowd knew the rock would get louder after,rock,music,weak_cue,Crowd and loudness imply music but only weakly,,,0.0000,audit,all_sense_scores_zero,term=rock
v1-041,He stood by the bank unsure where to sit until the current,bank,river_edge,delayed_cue,The resolving current cue arrives late after ambiguous setup,He stood by the bank unsure where to sit until the current cast his line,river_edge,0.5000,continue,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bank | cue=current -> river_edge | positive_cue=current -> river_edge | selected_sense=river_edge
v1-042,She waited inside the bank without speaking until the teller,bank,financial_institution,delayed_cue,The teller cue is delayed until the end,She waited inside the bank without speaking until the teller open an account,financial_institution,0.5000,continue,top_sense=financial_institution | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bank | cue=teller -> financial_institution | positive_cue=teller -> financial_institution | selected_sense=financial_institution
v1-043,The bat rested in the corner and only after sunset its wings,bat,animal,delayed_cue,Animal cues appear late after a neutral opening,The bat rested in the corner and only after sunset its wings flew into the dark cave,animal,0.5000,continue,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bat | cue=wings -> animal | positive_cue=wings -> animal | selected_sense=animal
v1-044,He picked up the bat with no comment until the pitcher,bat,sports_equipment,delayed_cue,Sports context is delayed through pitcher rather than early cueing,,,0.0000,audit,all_sense_scores_zero,term=bat
v1-045,The seal lay still on the platform until the fish,seal,animal,delayed_cue,The fish cue resolves the animal sense near the end,The seal lay still on the platform until the fish swam through the cold water,animal,0.5000,continue,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=seal | cue=fish -> animal | positive_cue=fish -> animal | selected_sense=animal
v1-046,She studied the seal for a moment before pressing it into wax,seal,closure_stamp,delayed_cue,The closure sense appears late through pressing and wax,She studied the seal for a moment before pressing it into wax closed the envelope,closure_stamp,0.5000,continue,top_sense=closure_stamp | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=seal | cue=wax -> closure_stamp | positive_cue=wax -> closure_stamp | selected_sense=closure_stamp
v1-047,The crane moved slowly across the pale shallows before its wings,crane,bird,delayed_cue,Wings resolve the bird sense only at the end,The crane moved slowly across the pale shallows before its wings flew over the marsh,bird,0.5000,continue,top_sense=bird | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=wings -> bird | positive_cue=wings -> bird | selected_sense=bird
v1-048,The crane waited above the lot until the operator,crane,machine,delayed_cue,Operator cue is delayed after a neutral mechanical shape,The crane waited above the lot until the operator lifted the steel beam,machine,0.5000,continue,top_sense=machine | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=operator -> machine | positive_cue=operator -> machine | selected_sense=machine
v1-049,The spring seemed ordinary until April rain began to,spring,season,delayed_cue,April and rain resolve the season late,The spring seemed ordinary until April rain began to brought warmer days,season,0.6667,continue,top_sense=season | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=april -> season | positive_cue=april -> season | cue=rain -> season | positive_cue=rain -> season | selected_sense=season
v1-050,The spring looked harmless until the device compressed it,spring,coil,delayed_cue,Device and compressed cues arrive after the ambiguous noun,The spring looked harmless until the device compressed it compressed under pressure,coil,0.6667,continue,top_sense=coil | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=compressed -> coil | positive_cue=compressed -> coil | cue=device -> coil | positive_cue=device -> coil | selected_sense=coil
v1-051,The rock was ignored until the climber saw it on the cliff,rock,stone,delayed_cue,Cliff cue resolves the stone sense late,The rock was ignored until the climber saw it on the cliff rolled down the hill,stone,0.5000,continue,top_sense=stone | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=rock | cue=cliff -> stone | positive_cue=cliff -> stone | selected_sense=stone
v1-052,The rock sounded flat until the drummer came on stage,rock,music,delayed_cue,Drummer and stage cues resolve music after a neutral start,The rock sounded flat until the drummer came on stage filled the stadium,music,0.6667,continue,top_sense=music | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=rock | cue=drummer -> music | positive_cue=drummer -> music | cue=stage -> music | positive_cue=stage -> music | selected_sense=music
v1-053,They approached the bank in silence and only then counted the cash,bank,financial_institution,delayed_cue,Cash appears late enough to test delayed evidence,,,0.0000,audit,all_sense_scores_zero | audit_reason=guard_failure,term=bank | cue=cash -> financial_institution | positive_cue=cash -> financial_institution | guard_failure=cash_or_card_alone_insufficient -> financial_institution
v1-054,The bank looked empty from above until the boat,bank,river_edge,delayed_cue,Boat cue resolves river edge late after visual ambiguity,The bank looked empty from above until the boat cast his line,river_edge,0.5000,continue,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bank | cue=boat -> river_edge | positive_cue=boat -> river_edge | selected_sense=river_edge
v1-055,The bat seemed too small until the player,bat,sports_equipment,delayed_cue,Player cue arrives late and must override size ambiguity,,,0.0000,audit,all_sense_scores_zero | audit_reason=guard_failure,term=bat | cue=player -> sports_equipment | positive_cue=player -> sports_equipment | guard_failure=player_alone_insufficient -> sports_equipment
v1-056,The seal looked plain until the document,seal,closure_stamp,delayed_cue,Document cue resolves closure stamp late,The seal looked plain until the document closed the envelope,closure_stamp,0.5000,continue,top_sense=closure_stamp | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=seal | cue=document -> closure_stamp | positive_cue=document -> closure_stamp | selected_sense=closure_stamp
v1-057,The crane was silent for a long time before it lifted steel,crane,machine,delayed_cue,Lifted steel resolves machine late after animal compatible silence,The crane was silent for a long time before it lifted steel lifted the steel beam,machine,0.6667,continue,top_sense=machine | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=crane | cue=lifted -> machine | positive_cue=lifted -> machine | cue=steel -> machine | positive_cue=steel -> machine | selected_sense=machine
v1-058,The crane was silent for a long time before the bird,crane,bird,delayed_cue,Bird cue resolves animal late after machine compatible silence,The crane was silent for a long time before the bird flew over the marsh,bird,0.5000,continue,top_sense=bird | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=bird -> bird | positive_cue=bird -> bird | selected_sense=bird
v1-059,The spring returned only after the mechanism,spring,coil,delayed_cue,Mechanism resolves coil after abstract opening,The spring returned only after the mechanism compressed under pressure,coil,0.5000,continue,top_sense=coil | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=spring | cue=mechanism -> coil | positive_cue=mechanism -> coil | selected_sense=coil
v1-060,The rock changed mood when the guitar,rock,music,delayed_cue,Guitar resolves music late after an abstract opening,The rock changed mood when the guitar filled the stadium,music,0.5000,continue,top_sense=music | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=rock | cue=guitar -> music | positive_cue=guitar -> music | selected_sense=music
v1-061,After leaving the river he went to the bank to deposit,bank,financial_institution,conflicting_cue,River cue conflicts with deposit and syntax favors finance,,,0.3333,audit,top_sense=financial_institution | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=bank | cue=deposit -> financial_institution | positive_cue=deposit -> financial_institution | cue=river -> river_edge | positive_cue=river -> river_edge | conflict_detected
v1-062,After withdrawing cash he walked to the bank beside the stream to rest,bank,river_edge,conflicting_cue,Cash cues finance but beside stream favors river edge,,,0.5000,audit,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | audit_reason=guard_failure,term=bank | cue=cash -> financial_institution | positive_cue=cash -> financial_institution | cue=stream -> river_edge | positive_cue=stream -> river_edge | guard_failure=cash_or_card_alone_insufficient -> financial_institution
v1-063,The bat had wings painted on it before the player swung,bat,sports_equipment,conflicting_cue,Wings cue animal but player and swung favor equipment,,,0.3333,audit,top_sense=animal | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=bat | cue=wings -> animal | positive_cue=wings -> animal | cue=player -> sports_equipment | positive_cue=player -> sports_equipment | conflict_detected
v1-064,The bat was held by the player after it flew from the rafters,bat,animal,conflicting_cue,Player cue conflicts with flew and rafters favor animal,,,0.5000,audit,top_sense=animal | top_score=1 | second_score=0 | margin=1 | audit_reason=guard_failure,term=bat | cue=flew -> animal | positive_cue=flew -> animal | cue=player -> sports_equipment | positive_cue=player -> sports_equipment | guard_failure=player_alone_insufficient -> sports_equipment
v1-065,The seal near the package barked for fish and,seal,animal,conflicting_cue,Package cue conflicts with fish and animal behavior,,,0.3333,audit,top_sense=animal | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=seal | cue=fish -> animal | positive_cue=fish -> animal | cue=package -> closure_stamp | positive_cue=package -> closure_stamp | conflict_detected
v1-066,The seal on the ocean themed document needed wax to,seal,closure_stamp,conflicting_cue,Ocean cue conflicts with document and wax closure evidence,,,0.5000,audit,top_sense=closure_stamp | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=seal | cue=ocean -> animal | positive_cue=ocean -> animal | cue=document -> closure_stamp | positive_cue=document -> closure_stamp | cue=wax -> closure_stamp | positive_cue=wax -> closure_stamp | conflict_detected
v1-067,The crane near the marsh lifted steel while the operator,crane,machine,conflicting_cue,Marsh cue conflicts with lifted steel and operator,The crane near the marsh lifted steel while the operator lifted the steel beam,machine,0.6000,continue,top_sense=machine | top_score=3 | second_score=1 | margin=2 | conflict_detected | score_and_margin_above_thresholds,term=crane | cue=marsh -> bird | positive_cue=marsh -> bird | cue=lifted -> machine | positive_cue=lifted -> machine | cue=steel -> machine | positive_cue=steel -> machine | cue=operator -> machine | positive_cue=operator -> machine | conflict_detected | selected_sense=machine
v1-068,The crane at the construction site spread its wings over the lake and,crane,bird,conflicting_cue,Construction site cue conflicts with wings and lake,,,0.4000,audit,top_sense=bird | top_score=2 | second_score=2 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=crane | cue=wings -> bird | positive_cue=wings -> bird | cue=lake -> bird | positive_cue=lake -> bird | cue=construction -> machine | positive_cue=construction -> machine | cue=site -> machine | positive_cue=site -> machine | conflict_detected
v1-069,The spring warmed the garden after the metal device,spring,season,conflicting_cue,Metal device cue conflicts with garden and warmed season context,,,0.5000,audit,top_sense=coil | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=spring | cue=garden -> season | positive_cue=garden -> season | cue=metal -> coil | positive_cue=metal -> coil | cue=device -> coil | positive_cue=device -> coil | conflict_detected
v1-070,The spring in April compressed inside the mechanism and,spring,coil,conflicting_cue,April cue conflicts with compressed mechanism evidence,,,0.5000,audit,top_sense=coil | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=spring | cue=april -> season | positive_cue=april -> season | cue=compressed -> coil | positive_cue=compressed -> coil | cue=mechanism -> coil | positive_cue=mechanism -> coil | conflict_detected
v1-071,The rock from the mountain was carried onto the stage before,rock,music,conflicting_cue,Mountain cue conflicts with stage performance context,,,0.3333,audit,top_sense=music | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=rock | cue=mountain -> stone | positive_cue=mountain -> stone | cue=stage -> music | positive_cue=stage -> music | conflict_detected
v1-072,The rock song described a heavy stone on the ground and,rock,stone,conflicting_cue,Song cue conflicts with physical stone evidence,The rock song described a heavy stone on the ground and rolled down the hill,stone,0.6000,continue,top_sense=stone | top_score=3 | second_score=1 | margin=2 | conflict_detected | score_and_margin_above_thresholds,term=rock | cue=stone -> stone | positive_cue=stone -> stone | cue=heavy -> stone | positive_cue=heavy -> stone | cue=ground -> stone | positive_cue=ground -> stone | cue=song -> music | positive_cue=song -> music | conflict_detected | selected_sense=stone
v1-073,The teller crossed the river to reach the bank and open,bank,financial_institution,conflicting_cue,River cue conflicts with teller and open branch implication,,,0.3333,audit,top_sense=financial_institution | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=bank | cue=teller -> financial_institution | positive_cue=teller -> financial_institution | cue=river -> river_edge | positive_cue=river -> river_edge | conflict_detected
v1-074,The credit card floated to the bank where the boat,bank,river_edge,conflicting_cue,Credit card cue conflicts with boat and physical edge context,,,0.5000,audit,top_sense=financial_institution | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=bank | cue=card -> financial_institution | positive_cue=card -> financial_institution | cue=credit -> financial_institution | positive_cue=credit -> financial_institution | cue=boat -> river_edge | positive_cue=boat -> river_edge | conflict_detected
v1-075,The animal expert handed the bat to the player before the game,bat,sports_equipment,conflicting_cue,Animal expert cue conflicts with player and game equipment context,,,0.5000,audit,top_sense=sports_equipment | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=bat | cue=animal -> animal | positive_cue=animal -> animal | cue=player -> sports_equipment | positive_cue=player -> sports_equipment | cue=game -> sports_equipment | positive_cue=game -> sports_equipment | conflict_detected
v1-076,The game paused when the bat in the cave opened its wings and,bat,animal,conflicting_cue,Game cue conflicts with cave and wings animal context,,,0.5000,audit,top_sense=animal | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=bat | cue=cave -> animal | positive_cue=cave -> animal | cue=wings -> animal | positive_cue=wings -> animal | cue=game -> sports_equipment | positive_cue=game -> sports_equipment | conflict_detected
v1-077,The official watched the seal splash in the water for fish,seal,animal,conflicting_cue,Official cue weakly suggests stamp but water and fish favor animal,,,0.5000,audit,top_sense=animal | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=seal | cue=fish -> animal | positive_cue=fish -> animal | cue=water -> animal | positive_cue=water -> animal | cue=official -> closure_stamp | positive_cue=official -> closure_stamp | conflict_detected
v1-078,The flippers logo sat under the official seal on the package,seal,closure_stamp,conflicting_cue,Flippers cue conflicts with official and package evidence,,,0.5000,audit,top_sense=closure_stamp | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=seal | cue=flippers -> animal | positive_cue=flippers -> animal | cue=official -> closure_stamp | positive_cue=official -> closure_stamp | cue=package -> closure_stamp | positive_cue=package -> closure_stamp | conflict_detected
v1-079,The bird shaped crane at the site moved the steel,crane,machine,conflicting_cue,Bird surface conflicts with site and steel machinery context,,,0.5000,audit,top_sense=machine | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=crane | cue=bird -> bird | positive_cue=bird -> bird | cue=steel -> machine | positive_cue=steel -> machine | cue=site -> machine | positive_cue=site -> machine | conflict_detected
v1-080,The operator photographed the crane as the bird crossed the lake,crane,bird,conflicting_cue,Operator cue conflicts with explicit bird and lake evidence,,,0.5000,audit,top_sense=bird | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=crane | cue=bird -> bird | positive_cue=bird -> bird | cue=lake -> bird | positive_cue=lake -> bird | cue=operator -> machine | positive_cue=operator -> machine | conflict_detected
v1-081,The bank was not beside a river so the clerk prepared to,bank,financial_institution,negation,Negated river cue should not trigger river edge,,,0.0000,audit,all_sense_scores_zero | audit_reason=only_negated_evidence,term=bank | negated_cue=river -> river_edge
v1-082,The bank was not a place for money as the hikers slid down to,bank,river_edge,negation,Negated money cue should not trigger finance,,,0.0000,audit,all_sense_scores_zero | audit_reason=anti_cue_conflict,term=bank | cue=money -> financial_institution | positive_cue=money -> financial_institution | anti_cue=not a place for money -> financial_institution
v1-083,The bat was not an animal because the batter raised it to,bat,sports_equipment,negation,Negated animal cue should not override batter context,,,0.0000,audit,all_sense_scores_zero | audit_reason=anti_cue | audit_reason=only_negated_evidence,term=bat | negated_cue=animal -> animal | anti_cue=not an animal -> animal
v1-084,The bat was not for a game as it tucked its wings and,bat,animal,negation,Negated game cue should not override wings,The bat was not for a game as it tucked its wings and flew into the dark cave,animal,0.5000,continue,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bat | cue=wings -> animal | positive_cue=wings -> animal | negated_cue=game -> sports_equipment | selected_sense=animal
