id,category,question,current_decision,missing_knowledge_type,needed_evidence_type,candidate_subject,candidate_relation,candidate_object,suggested_source_topic,risk_level,activation_status,must_remain_audit_until_supported
ckr-0013,missing_policy_explanation,Is Forbes the same as Bloomberg News?,audit,missing_policy_explanation,policy_documentation_and_regression_tests,,policy_explanation,,missing knowledge: Is Forbes the same as Bloomberg News?,low,requires_regression_gate,True
ckr-0014,missing_product_relation,How is Elon Musk connected to Starlink?,audit,missing_product_relation,ORG -> develops/produces/operates -> PRODUCT,Elon Musk,develops/produces/operates,Starlink,Elon Musk and Starlink relationship,medium,requires_local_source_doc,True
ckr-0015,missing_organization_relation,How is Tesla connected to Forbes?,audit,missing_organization_relation,explicit_org_relation (founder_of/leader_of/owned_by/subsidiary_of/operates/publishes),Tesla,founder_of/leader_of/owned_by/subsidiary_of/operates/publishes,Forbes,Tesla and Forbes relationship,medium,requires_local_source_doc,True
ckr-0016,missing_source_qualified_fact,How is Starlink connected to net worth?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,Starlink,source_qualified_fact,net worth,Starlink and net worth relationship,high,requires_quarantine_review,True
ckr-0017,missing_product_relation,How is Bloomberg News connected to SpaceX rockets?,audit,missing_product_relation,ORG -> develops/produces/operates -> PRODUCT,Bloomberg News,develops/produces/operates,SpaceX rockets,Bloomberg News and SpaceX rockets relationship,medium,requires_local_source_doc,True
ckr-0018,missing_organization_relation,How is Bloomberg News connected to Bloomberg LP?,audit,missing_organization_relation,explicit_org_relation (founder_of/leader_of/owned_by/subsidiary_of/operates/publishes),Bloomberg News,founder_of/leader_of/owned_by/subsidiary_of/operates/publishes,Bloomberg LP,Bloomberg News and Bloomberg LP relationship,medium,requires_local_source_doc,True
ckr-0019,missing_product_relation,How is Tesla connected to lithium-ion batteries?,audit,missing_product_relation,ORG -> develops/produces/operates -> PRODUCT,Tesla,develops/produces/operates,lithium-ion batteries,Tesla and lithium-ion batteries relationship,medium,requires_local_source_doc,True
ckr-0020,missing_organization_relation,How is Forbes connected to SpaceX?,audit,missing_organization_relation,explicit_org_relation (founder_of/leader_of/owned_by/subsidiary_of/operates/publishes),Forbes,founder_of/leader_of/owned_by/subsidiary_of/operates/publishes,SpaceX,Forbes and SpaceX relationship,medium,requires_local_source_doc,True
ckr-0021,missing_organization_relation,How is Tesla connected to NASA?,audit,missing_organization_relation,explicit_org_relation (founder_of/leader_of/owned_by/subsidiary_of/operates/publishes),Tesla,founder_of/leader_of/owned_by/subsidiary_of/operates/publishes,NASA,Tesla and NASA relationship,medium,requires_local_source_doc,True
ckr-0022,missing_product_relation,How is Reuters connected to rockets?,audit,missing_product_relation,ORG -> develops/produces/operates -> PRODUCT,Reuters,develops/produces/operates,rockets,Reuters and rockets relationship,medium,requires_local_source_doc,True
ckr-0023,missing_product_relation,What path connects Elon Musk to Starlink?,audit,missing_product_relation,ORG -> develops/produces/operates -> PRODUCT,Elon Musk,develops/produces/operates,Starlink,Elon Musk and Starlink relationship,medium,requires_local_source_doc,True
ckr-0024,missing_product_relation,What path connects SpaceX to reusable rockets?,audit,missing_product_relation,ORG -> develops/produces/operates -> PRODUCT,SpaceX,develops/produces/operates,reusable rockets,SpaceX and reusable rockets relationship,medium,requires_local_source_doc,True
ckr-0025,missing_organization_relation,What path connects Tesla to Forbes?,audit,missing_organization_relation,explicit_org_relation (founder_of/leader_of/owned_by/subsidiary_of/operates/publishes),Tesla,founder_of/leader_of/owned_by/subsidiary_of/operates/publishes,Forbes,Tesla and Forbes relationship,medium,requires_local_source_doc,True
ckr-0026,missing_source_qualified_fact,What path connects Starlink to net worth?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,Starlink,source_qualified_fact,net worth,Starlink and net worth relationship,high,requires_quarantine_review,True
ckr-0027,missing_source_qualified_fact,Does Tesla prove Musk's net worth?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: Does Tesla prove Musk's net worth?,high,requires_quarantine_review,True
ckr-0028,missing_source_qualified_fact,What is SpaceX's current valuation in the overlay?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: What is SpaceX's current valuation in the overlay?,high,requires_quarantine_review,True
ckr-0029,missing_source_qualified_fact,What is Tesla's latest quarterly revenue from the overlay?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: What is Tesla's latest quarterly revenue from the overlay?,high,requires_quarantine_review,True
