fact_index,classification,primary_reason,fact_kind,subject,predicate,object,source_page,risk,stability,qa_covered,qa_current,duplicate_of_text
55,promotion_candidate,stable_complete_definition,definition,Bloomberg Markets,is_a,magazine published six times a year by Bloomberg L,Bloomberg Markets,low,stable,True,True,
57,promotion_candidate,stable_complete_definition,definition,Bloomberg Radio,is_a,radio service of Bloomberg L,Bloomberg Radio,low,stable,True,True,
59,promotion_candidate,stable_complete_definition,definition,Blue Origin NS-16,is_a,sub-orbital spaceflight mission,Blue Origin NS-16,low,stable,True,True,
60,promotion_candidate,stable_complete_definition,definition,Blue Origin NS-17,is_a,sub-orbital spaceflight cargo mission of Blue Origin's New Shepard rocket,Blue Origin NS-17,low,stable,True,True,
61,promotion_candidate,stable_complete_definition,definition,Blue Origin NS-18,is_a,sub-orbital spaceflight mission,Blue Origin NS-18,low,stable,True,True,
62,promotion_candidate,stable_complete_definition,definition,Blue Origin NS-19,is_a,New Shepard sub-orbital spaceflight mission,Blue Origin NS-19,low,stable,True,True,
63,promotion_candidate,stable_complete_definition,definition,Blue Origin NS-20,is_a,sub-orbital spaceflight mission,Blue Origin NS-20,low,stable,True,True,
64,promotion_candidate,stable_complete_definition,definition,Blue Origin NS-21,is_a,sub-orbital spaceflight mission,Blue Origin NS-21,low,stable,True,True,
65,promotion_candidate,stable_complete_definition,definition,Blue Origin NS-23,is_a,sub-orbital cargo spaceflight mission of Blue Origin's New Shepard rocket,Blue Origin NS-23,low,stable,True,True,
70,promotion_candidate,stable_trustworthy_predicate,relation,Bombay Stock Exchange,founded_by,Premchand Roychand,Bombay Stock Exchange,medium,semi_stable,True,True,
71,promotion_candidate,stable_complete_definition,definition,Buttonwood Agreement,is_a,founding document of what is now the New York Stock Exchange,Buttonwood Agreement,low,stable,True,True,
72,promotion_candidate,stable_complete_definition,definition,CBS News,is_a,news division of the American television broadcaster CBS,CBS News,low,stable,True,True,
73,promotion_candidate,stable_complete_definition,definition,Canada,is_a,country in North America,Canada,low,stable,True,True,
76,promotion_candidate,stable_complete_definition,definition,Carson City,is_a,independent city,Carson City,low,stable,True,True,
77,promotion_candidate,stable_complete_definition,definition,Cerberus Fossae,is_a,series of semi-parallel fissures on Mars formed by faults,Cerberus Fossae,low,stable,True,True,
78,promotion_candidate,stable_complete_definition,definition,Chevrolet Volt,is_a,plug-in hybrid electric vehicle car,Chevrolet Volt,low,stable,True,True,
79,promotion_candidate,stable_complete_definition,definition,Commercial Orbital Transportation Services,is_a,NASA program to spur the development of private spacecraft,Commercial Orbital Transportation Services,low,stable,True,True,
80,promotion_candidate,stable_complete_definition,definition,Companies Act,is_a,stock short title used for legislation in Botswana,Companies Act,low,stable,True,True,
84,promotion_candidate,stable_complete_definition,definition,Dawn Aerospace,is_a,space transportation company building both in-space propulsion systems,Dawn Aerospace,low,stable,True,True,
85,promotion_candidate,stable_complete_definition,definition,Delta IV,is_a,group of five expendable launch systems in the Delta rocket family,Delta IV,low,stable,True,True,
86,promotion_candidate,stable_complete_definition,definition,Dow Jones,is_a,combination of the names of business partners Charles Dow,Dow Jones,low,stable,True,True,
87,promotion_candidate,stable_complete_definition,definition,Dragon Spacecraft Qualification Unit,is_a,boilerplate version of the Dragon spacecraft,Dragon Spacecraft Qualification Unit,low,stable,True,True,
88,promotion_candidate,stable_complete_definition,definition,Duke University,is_a,private research university in Durham,Duke University,low,stable,True,True,
89,promotion_candidate,stable_complete_definition,definition,Earth,is_a,third planet from the Sun,Earth,low,stable,True,True,
90,promotion_candidate,stable_complete_definition,definition,Engineering,is_a,practice of systematically applying natural science,Engineering,low,stable,True,True,
95,promotion_candidate,stable_complete_definition,definition,February,is_a,second month of the year in the Julian,February,low,stable,True,True,
96,promotion_candidate,stable_complete_definition,definition,Federal Communications Commission,is_a,independent agency of the United States federal government,Federal Communications Commission,low,stable,True,True,
97,promotion_candidate,stable_complete_definition,definition,Financial Industry Regulatory Authority,is_a,private American corporation,Financial Industry Regulatory Authority,low,stable,True,True,
100,promotion_candidate,stable_complete_definition,definition,Foothill Transit,is_a,public transit agency,Foothill Transit,low,stable,True,True,
101,promotion_candidate,stable_complete_definition,definition,Fort Lauderdale,is_a,coastal city,Fort Lauderdale,low,stable,True,True,
102,promotion_candidate,stable_complete_definition,definition,Foundation series,is_a,science fiction novel series written by American author Isaac Asimov,Foundation Series,low,stable,True,True,
107,promotion_candidate,stable_complete_definition,definition,Goddard Space Flight Center,is_a,major NASA space research laboratory,Goddard Space Flight Center,low,stable,True,True,
108,promotion_candidate,stable_complete_definition,definition,Google Cloud,is_a,suite of cloud computing services offered by Google,Google Cloud,low,stable,True,True,
109,promotion_candidate,stable_complete_definition,definition,Great Depression,is_a,severe global economic downturn from 1929 to 1939,Great Depression,low,stable,True,True,
112,promotion_candidate,stable_complete_definition,definition,Harvard Business School,is_a,graduate business school of Harvard University,Harvard Business School,low,stable,True,True,
113,promotion_candidate,stable_complete_definition,definition,Harvard University,is_a,private Ivy League research university in Cambridge,Harvard University,low,stable,True,True,
114,promotion_candidate,stable_complete_definition,definition,Henrik Fisker,is_a,Danish automotive designer,Henrik Fisker,low,stable,True,True,
115,promotion_candidate,stable_complete_definition,definition,Hong Kong,is_a,special administrative region of China,Hong Kong,low,stable,True,True,
117,promotion_candidate,stable_complete_definition,definition,Hubble Space Telescope,is_a,space telescope,Hubble Space Telescope,low,stable,True,True,
120,promotion_candidate,stable_complete_definition,definition,Integrate-Transfer-Launch Complex,is_a,rocket launch site,Integrate-Transfer-Launch Complex,low,stable,True,True,
121,promotion_candidate,stable_complete_definition,definition,Intel Corporation,is_a,American multinational technology company,Intel Corporation,low,stable,True,True,
122,promotion_candidate,stable_trustworthy_predicate,relation,Intel,founded_by,Gordon Moore,Intel Corporation,medium,semi_stable,True,True,
123,promotion_candidate,stable_trustworthy_predicate,relation,Intel,founded_by,Robert Noyce,Intel Corporation,medium,semi_stable,True,True,
124,promotion_candidate,stable_complete_definition,definition,International Energy Agency,is_a,Paris-based autonomous intergovernmental organization,International Energy Agency,low,stable,True,True,
125,promotion_candidate,stable_complete_definition,definition,Internet,is_a,global system of interconnected computer networks,Internet,low,stable,True,True,
129,promotion_candidate,stable_complete_definition,definition,January,is_a,first month of the year in the Julian,January,low,stable,True,True,
130,promotion_candidate,stable_complete_definition,definition,Japan,is_a,island country in East Asia,Japan,low,stable,True,True,
133,promotion_candidate,stable_complete_definition,definition,Land Rover,is_a,brand of predominantly four-wheel drive,Land Rover,low,stable,True,True,
134,promotion_candidate,stable_complete_definition,definition,London Stock Exchange,is_a,global stock exchange,London Stock Exchange,low,stable,True,True,
135,promotion_candidate,stable_trustworthy_predicate,relation,Royal Exchange,founded_by,Thomas Gresham,London Stock Exchange,medium,semi_stable,True,True,
136,promotion_candidate,stable_trustworthy_predicate,relation,Royal Exchange,founded_by,Sir Richard Clough,London Stock Exchange,medium,semi_stable,True,True,
137,promotion_candidate,stable_complete_definition,definition,Lotus Esprit,is_a,sports car built by Lotus Cars from 1976 to 2004 at their Hethel,Lotus Esprit,low,stable,True,True,
139,promotion_candidate,stable_complete_definition,definition,Major general,is_a,military rank used in many countries,Major General,low,stable,True,True,
140,promotion_candidate,stable_complete_definition,definition,March,is_a,third month of the year in both the Julian,March,low,stable,True,True,
143,promotion_candidate,stable_complete_definition,definition,Merlin,is_a,mythical figure prominently featured in the legend of King Arthur,Merlin,low,stable,True,True,
144,promotion_candidate,stable_complete_definition,definition,Merritt Island,is_a,peninsula in Brevard County,Merritt Island,low,stable,True,True,
145,promotion_candidate,stable_complete_definition,definition,Michael Liebreich,is_a,businessman in the field of clean energy,Michael Liebreich,low,stable,True,True,
146,promotion_candidate,stable_complete_definition,definition,Microsoft Corporation,is_a,American multinational technology company,Microsoft Corporation,low,stable,True,True,
147,promotion_candidate,stable_complete_definition,definition,Middle East,is_a,geo-political region,Middle East,low,stable,True,True,
148,promotion_candidate,stable_complete_definition,definition,Millennium Falcon,is_a,fictional starship in the Star Wars franchise,Millennium Falcon,low,stable,True,True,
149,promotion_candidate,stable_complete_definition,definition,Moon,is_a,only natural satellite of Earth,Moon,low,stable,True,True,
150,promotion_candidate,stable_complete_definition,definition,Municipal Securities Rulemaking Board,is_a,United States self-regulatory financial organization,Municipal Securities Rulemaking Board,low,stable,True,True,
151,promotion_candidate,stable_complete_definition,definition,Musk,is_a,class of aromatic substances commonly used as base notes in perfumery,Musk,low,stable,True,True,
153,promotion_candidate,stable_complete_definition,definition,NASDAQ Composite,is_a,stock market index,Nasdaq Composite,low,stable,True,True,
154,promotion_candidate,stable_complete_definition,definition,National Affairs,is_a,quarterly magazine in the United States about political affairs,National Affairs,low,stable,True,True,
155,promotion_candidate,stable_complete_definition,definition,New Glenn,is_a,family of launch vehicles,New Glenn,low,stable,True,True,
156,promotion_candidate,stable_complete_definition,definition,New Horizons,is_a,interplanetary space probe launched as a part of NASA's New Frontiers program,New Horizons,low,stable,True,True,
157,promotion_candidate,stable_complete_definition,definition,New Mexico,is_a,landlocked state in the Southwestern region of the United States,New Mexico,low,stable,True,True,
159,promotion_candidate,stable_complete_definition,definition,Nikola Tesla,is_a,Serbian-American engineer,Nikola Tesla,low,stable,True,True,
160,promotion_candidate,stable_complete_definition,definition,Noah Glass,is_a,American tech entrepreneur,Noah Glass,low,stable,True,True,
162,promotion_candidate,stable_complete_definition,definition,Olympus Mons,is_a,large shield volcano on Mars,Olympus Mons,low,stable,True,True,
164,promotion_candidate,stable_complete_definition,definition,Oxford English Dictionary,is_a,principal historical dictionary of the English language,Oxford English Dictionary,low,stable,True,True,
167,promotion_candidate,stable_complete_definition,definition,Princeton University,is_a,private Ivy League research university in Princeton,Princeton University,low,stable,True,True,
168,promotion_candidate,stable_complete_definition,definition,Project Gemini,is_a,second United States human spaceflight program to fly,Project Gemini,low,stable,True,True,
169,promotion_candidate,stable_complete_definition,definition,Project Juno,is_a,privately funded campaign,Project Juno,low,stable,True,True,
170,promotion_candidate,stable_complete_definition,definition,Project Mercury,is_a,first human spaceflight program of the United States,Project Mercury,low,stable,True,True,
172,promotion_candidate,stable_complete_definition,definition,Redwood Shores,is_a,waterfront community in Redwood City,Redwood Shores,low,stable,True,True,
176,promotion_candidate,stable_complete_definition,definition,Robert Zubrin,is_a,American aerospace engineer,Robert Zubrin,low,stable,True,True,
177,promotion_candidate,stable_trustworthy_predicate,relation,Rocket Science Games,founded_by,Steve Blank,Rocket Science Games,medium,semi_stable,True,True,
179,promotion_candidate,stable_complete_definition,definition,Roots Blower Company,is_a,American engineering company,Roots Blower Company,low,stable,True,True,
181,promotion_candidate,stable_complete_definition,definition,Royal Navy,is_a,naval warfare force of the United Kingdom,Royal Navy,low,stable,True,True,
182,promotion_candidate,stable_complete_definition,definition,SMS Amazone,is_a,sixth member of the ten-ship Gazelle class of light cruisers,SMS Amazone,low,stable,True,True,
184,promotion_candidate,stable_complete_definition,definition,San Francisco Bay Area,is_a,region of California surrounding,San Francisco Bay Area,low,stable,True,True,
185,promotion_candidate,stable_trustworthy_predicate,relation,XM,founded_by,Lon Levin,Satellite Radio,medium,semi_stable,True,True,
186,promotion_candidate,stable_trustworthy_predicate,relation,XM,founded_by,Gary Parsons,Satellite Radio,medium,semi_stable,True,True,
191,promotion_candidate,stable_trustworthy_predicate,relation,Saudi Arabia,founded_by,King Abdulaziz,Saudi Arabia,medium,semi_stable,True,True,
192,promotion_candidate,stable_complete_definition,definition,September,is_a,ninth month of the year in the Julian,September,low,stable,True,True,
194,promotion_candidate,stable_complete_definition,definition,Smith Electric Vehicles,is_a,manufacturer of electric trucks,Smith Electric Vehicles,low,stable,True,True,
195,promotion_candidate,stable_complete_definition,definition,Software development,is_a,process of designing,Software Development,low,stable,True,True,
197,promotion_candidate,stable_complete_definition,definition,South America,is_a,continent entirely in the Western Hemisphere,South America,low,stable,True,True,
198,promotion_candidate,stable_complete_definition,definition,South Carolina,is_a,state in the Southeastern,South Carolina,low,stable,True,True,
199,promotion_candidate,stable_complete_definition,definition,South Sea Company,is_a,British joint-stock company,South Sea Company,low,stable,True,True,
200,promotion_candidate,stable_complete_definition,definition,Soyuz MS-17,is_a,Soyuz spaceflight,Soyuz MS-17,low,stable,True,True,
201,promotion_candidate,stable_complete_definition,definition,Space,is_a,three-dimensional continuum containing positions,Space,low,stable,True,True,
203,promotion_candidate,stable_complete_definition,definition,SpaceX Crew-2,is_a,second operational flight of a Crew Dragon spacecraft,SpaceX Crew-2,low,stable,True,True,
204,promotion_candidate,stable_complete_definition,definition,SpaceX Crew-3,is_a,Crew Dragon's third NASA Commercial Crew operational flight,SpaceX Crew-3,low,stable,True,True,
206,promotion_candidate,stable_complete_definition,definition,Space Age,is_a,period encompassing the activities related to the Space Race,Space Age,low,stable,True,True,
207,promotion_candidate,stable_complete_definition,definition,Spaceflight,is_a,application of astronautics to fly objects,Spaceflight,low,stable,True,True,
208,promotion_candidate,stable_complete_definition,definition,Sperry Corporation,is_a,major American equipment,Sperry Corporation,low,stable,True,True,
210,promotion_candidate,stable_complete_definition,definition,Stennis Space Center,is_a,NASA rocket testing facility in Hancock County,Stennis Space Center,low,stable,True,True,
212,promotion_candidate,stable_complete_definition,definition,Strategic Air Command,is_a,Cold War-era United States Department of Defense Specified Command,Strategic Air Command,low,stable,True,True,
213,promotion_candidate,stable_complete_definition,definition,Sustainable development,is_a,approach to growth,Sustainable Development,low,stable,True,True,
215,promotion_candidate,stable_complete_definition,definition,Tesla Powerpack,is_a,rechargeable lithium-ion battery stationary energy storage item,Tesla Powerpack,low,stable,True,True,
216,promotion_candidate,stable_complete_definition,definition,Tesla Robotaxi,is_a,ride-hailing service,Tesla Robotaxi,low,stable,True,True,
217,promotion_candidate,stable_complete_definition,definition,Tesla Semi,is_a,battery electric semi-trailer truck built by Tesla,Tesla Semi,low,stable,True,True,
219,promotion_candidate,stable_complete_definition,definition,Texas,is_a,most populous state in the Southern United States,Texas,low,stable,True,True,
220,promotion_candidate,stable_complete_definition,definition,Thomas Pink,is_a,British clothing company,Thomas Pink,low,stable,True,True,
221,promotion_candidate,stable_complete_definition,definition,Titan IV,is_a,family of heavy-lift space launch vehicles,Titan IV,low,stable,True,True,
223,promotion_candidate,stable_complete_definition,definition,UAL Corporation,is_a,former name of United Airlines Holdings,UAL Corporation,low,stable,True,True,
224,promotion_candidate,stable_complete_definition,definition,USS Amazon,is_a,wooden-hulled bark of 318 tons,USS Amazon,low,stable,True,True,
231,promotion_candidate,stable_complete_definition,definition,Volvo Amazon,is_a,mid-sized car,Volvo Amazon,low,stable,True,True,
232,promotion_candidate,stable_complete_definition,definition,Vulcan Centaur,is_a,heavy-lift launch vehicle,Vulcan Centaur,low,stable,True,True,
233,promotion_candidate,stable_complete_definition,definition,Wall Street,is_a,street in the Financial District of Lower Manhattan in New York City,Wall Street,low,stable,True,True,
234,promotion_candidate,stable_complete_definition,definition,Wayback Machine,is_a,digital archive of the World Wide Web,Wayback Machine,low,stable,True,True,
235,promotion_candidate,stable_complete_definition,definition,White Sands Missile Range,is_a,United States Army military testing area,White Sands Missile Range,low,stable,True,True,
236,promotion_candidate,stable_complete_definition,definition,Wojciech Zaremba,is_a,Polish computer scientist,Wojciech Zaremba,low,stable,True,True,
238,promotion_candidate,stable_complete_definition,definition,World Economic Forum,is_a,international advocacy non-governmental organization,World Economic Forum,low,stable,True,True,
239,promotion_candidate,stable_trustworthy_predicate,relation,WEF,founded_by,Klaus Schwab,World Economic Forum,medium,semi_stable,True,True,
242,promotion_candidate,stable_complete_definition,definition,World Values Survey,is_a,global research project,World Values Survey,low,stable,True,True,
243,promotion_candidate,stable_complete_definition,definition,World government,is_a,theoretical single political authority,World Government,low,stable,True,True,
247,promotion_candidate,stable_trustworthy_predicate,relation,Exos Aerospace Systems & Technologies,is_a,Aerospace manufacturer,Exos Aerospace,low,stable,True,True,
